variant,region_weights,country_weights,quarter,region,relative_z
base,base,judgement,1Q26,apac,0.008
base,base,judgement,1Q26,emea,-0.133
base,base,judgement,1Q26,latam,0.565
base,base,judgement,1Q26,na,-0.145
base,base,judgement,2Q26,apac,-0.056
base,base,judgement,2Q26,emea,0.006
base,base,judgement,2Q26,latam,0.292
base,base,judgement,2Q26,na,-0.15
base,base,judgement,3Q26,apac,-0.02
base,base,judgement,3Q26,emea,0.162
base,base,judgement,3Q26,latam,0.154
base,base,judgement,3Q26,na,-0.3
base,tilt_na_down,judgement,1Q26,apac,0.003
base,tilt_na_down,judgement,1Q26,emea,-0.139
base,tilt_na_down,judgement,1Q26,latam,0.56
base,tilt_na_down,judgement,1Q26,na,-0.15
base,tilt_na_down,judgement,2Q26,apac,-0.061
base,tilt_na_down,judgement,2Q26,emea,0.001
base,tilt_na_down,judgement,2Q26,latam,0.287
base,tilt_na_down,judgement,2Q26,na,-0.156
base,tilt_na_down,judgement,3Q26,apac,-0.032
base,tilt_na_down,judgement,3Q26,emea,0.15
base,tilt_na_down,judgement,3Q26,latam,0.142
base,tilt_na_down,judgement,3Q26,na,-0.312
base,equal,judgement,1Q26,apac,-0.066
base,equal,judgement,1Q26,emea,-0.207
base,equal,judgement,1Q26,latam,0.491
base,equal,judgement,1Q26,na,-0.218
base,equal,judgement,2Q26,apac,-0.079
base,equal,judgement,2Q26,emea,-0.017
base,equal,judgement,2Q26,latam,0.269
base,equal,judgement,2Q26,na,-0.173
base,equal,judgement,3Q26,apac,-0.019
base,equal,judgement,3Q26,emea,0.163
base,equal,judgement,3Q26,latam,0.155
base,equal,judgement,3Q26,na,-0.299
no_cpi,base,judgement,1Q26,apac,0.161
no_cpi,base,judgement,1Q26,emea,-0.158
no_cpi,base,judgement,1Q26,latam,0.606
no_cpi,base,judgement,1Q26,na,-0.202
no_cpi,base,judgement,2Q26,apac,0.167
no_cpi,base,judgement,2Q26,emea,-0.056
no_cpi,base,judgement,2Q26,latam,0.297
no_cpi,base,judgement,2Q26,na,-0.167
no_cpi,base,judgement,3Q26,apac,0.154
no_cpi,base,judgement,3Q26,emea,0.125
no_cpi,base,judgement,3Q26,latam,0.172
no_cpi,base,judgement,3Q26,na,-0.337
no_cpi,tilt_na_down,judgement,1Q26,apac,0.153
no_cpi,tilt_na_down,judgement,1Q26,emea,-0.167
no_cpi,tilt_na_down,judgement,1Q26,latam,0.598
no_cpi,tilt_na_down,judgement,1Q26,na,-0.21
no_cpi,tilt_na_down,judgement,2Q26,apac,0.16
no_cpi,tilt_na_down,judgement,2Q26,emea,-0.064
no_cpi,tilt_na_down,judgement,2Q26,latam,0.289
no_cpi,tilt_na_down,judgement,2Q26,na,-0.174
no_cpi,tilt_na_down,judgement,3Q26,apac,0.139
no_cpi,tilt_na_down,judgement,3Q26,emea,0.11
no_cpi,tilt_na_down,judgement,3Q26,latam,0.158
no_cpi,tilt_na_down,judgement,3Q26,na,-0.351
no_cpi,equal,judgement,1Q26,apac,0.059
no_cpi,equal,judgement,1Q26,emea,-0.26
no_cpi,equal,judgement,1Q26,latam,0.505
no_cpi,equal,judgement,1Q26,na,-0.304
no_cpi,equal,judgement,2Q26,apac,0.107
no_cpi,equal,judgement,2Q26,emea,-0.117
no_cpi,equal,judgement,2Q26,latam,0.236
no_cpi,equal,judgement,2Q26,na,-0.227
no_cpi,equal,judgement,3Q26,apac,0.125
no_cpi,equal,judgement,3Q26,emea,0.096
no_cpi,equal,judgement,3Q26,latam,0.144
no_cpi,equal,judgement,3Q26,na,-0.365
no_saving,base,judgement,1Q26,apac,0.023
no_saving,base,judgement,1Q26,emea,-0.038
no_saving,base,judgement,1Q26,latam,0.56
no_saving,base,judgement,1Q26,na,-0.278
no_saving,base,judgement,2Q26,apac,-0.056
no_saving,base,judgement,2Q26,emea,0.006
no_saving,base,judgement,2Q26,latam,0.292
no_saving,base,judgement,2Q26,na,-0.15
no_saving,base,judgement,3Q26,apac,-0.02
no_saving,base,judgement,3Q26,emea,0.162
no_saving,base,judgement,3Q26,latam,0.154
no_saving,base,judgement,3Q26,na,-0.3
no_saving,tilt_na_down,judgement,1Q26,apac,0.012
no_saving,tilt_na_down,judgement,1Q26,emea,-0.049
no_saving,tilt_na_down,judgement,1Q26,latam,0.549
no_saving,tilt_na_down,judgement,1Q26,na,-0.289
no_saving,tilt_na_down,judgement,2Q26,apac,-0.061
no_saving,tilt_na_down,judgement,2Q26,emea,0.001
no_saving,tilt_na_down,judgement,2Q26,latam,0.287
no_saving,tilt_na_down,judgement,2Q26,na,-0.156
no_saving,tilt_na_down,judgement,3Q26,apac,-0.032
no_saving,tilt_na_down,judgement,3Q26,emea,0.15
no_saving,tilt_na_down,judgement,3Q26,latam,0.142
no_saving,tilt_na_down,judgement,3Q26,na,-0.312
no_saving,equal,judgement,1Q26,apac,-0.043
no_saving,equal,judgement,1Q26,emea,-0.105
no_saving,equal,judgement,1Q26,latam,0.493
no_saving,equal,judgement,1Q26,na,-0.345
no_saving,equal,judgement,2Q26,apac,-0.079
no_saving,equal,judgement,2Q26,emea,-0.017
no_saving,equal,judgement,2Q26,latam,0.269
no_saving,equal,judgement,2Q26,na,-0.173
no_saving,equal,judgement,3Q26,apac,-0.019
no_saving,equal,judgement,3Q26,emea,0.163
