country,indicator,n,first,last,region
ARG,cpi_yoy,103,2018-01-31,2026-07-31,latam
AUS,cci,104,2018-01-31,2026-08-31,apac
AUS,cpi_yoy,16,2025-04-30,2026-07-31,apac
AUS,equity_yoy,104,2018-01-31,2026-08-31,apac
AUS,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,apac
AUS,real_hh_income_pc_yoy,99,2018-01-31,2026-03-31,apac
AUS,saving_rate,99,2018-01-31,2026-03-31,apac
AUS,unemp_rate,103,2018-01-31,2026-07-31,apac
BRA,cci,104,2018-01-31,2026-08-31,latam
BRA,cpi_yoy,103,2018-01-31,2026-07-31,latam
BRA,equity_yoy,104,2018-01-31,2026-08-31,latam
BRA,retail_vol_yoy,102,2018-01-31,2026-06-30,latam
CAN,cpi_yoy,103,2018-01-31,2026-07-31,na
CAN,equity_yoy,104,2018-01-31,2026-08-31,na
CAN,hearn_yoy,100,2018-01-31,2026-04-30,na
CAN,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,na
CAN,real_hh_income_pc_yoy,99,2018-01-31,2026-03-31,na
CAN,real_wage_yoy,100,2018-01-31,2026-04-30,na
CAN,retail_vol_yoy,102,2018-01-31,2026-06-30,na
CAN,saving_rate,99,2018-01-31,2026-03-31,na
CAN,unemp_rate,104,2018-01-31,2026-08-31,na
CHE,cci,99,2018-01-31,2026-03-31,emea
CHE,cpi_yoy,96,2018-01-31,2025-12-31,emea
CHE,equity_yoy,104,2018-01-31,2026-08-31,emea
CHE,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,emea
CHE,retail_vol_yoy,103,2018-01-31,2026-07-31,emea
CHL,cci,103,2018-01-31,2026-07-31,latam
CHL,cpi_yoy,72,2018-01-31,2023-12-31,latam
CHL,equity_yoy,104,2018-01-31,2026-08-31,latam
CHL,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,latam
CHL,real_hh_income_pc_yoy,99,2018-01-31,2026-03-31,latam
CHL,unemp_rate,102,2018-01-31,2026-06-30,latam
CHN,cci,103,2018-01-31,2026-07-31,apac
CHN,cpi_yoy,104,2018-01-31,2026-08-31,apac
CHN,equity_yoy,104,2018-01-31,2026-08-31,apac
COL,cci,103,2018-01-31,2026-07-31,latam
COL,cpi_yoy,103,2018-01-31,2026-07-31,latam
COL,equity_yoy,103,2018-01-31,2026-07-31,latam
COL,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,latam
COL,retail_vol_yoy,102,2018-01-31,2026-06-30,latam
COL,unemp_rate,103,2018-01-31,2026-07-31,latam
CRI,cci,99,2018-01-31,2026-03-31,latam
CRI,cpi_yoy,49,2018-01-31,2022-01-31,latam
CRI,hearn_yoy,100,2018-01-31,2026-04-30,latam
CRI,real_wage_yoy,49,2018-01-31,2022-01-31,latam
CRI,unemp_rate,102,2018-01-31,2026-06-30,latam
DEU,cci,104,2018-01-31,2026-08-31,emea
DEU,cpi_yoy,104,2018-01-31,2026-08-31,emea
DEU,equity_yoy,104,2018-01-31,2026-08-31,emea
DEU,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,emea
DEU,real_hh_income_pc_yoy,99,2018-01-31,2026-03-31,emea
DEU,retail_vol_yoy,102,2018-01-31,2026-06-30,emea
DEU,saving_rate,99,2018-01-31,2026-03-31,emea
DEU,unemp_rate,103,2018-01-31,2026-07-31,emea
ESP,cci,104,2018-01-31,2026-08-31,emea
ESP,cpi_yoy,96,2018-01-31,2025-12-31,emea
ESP,equity_yoy,104,2018-01-31,2026-08-31,emea
ESP,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,emea
ESP,real_hh_income_pc_yoy,99,2018-01-31,2026-03-31,emea
ESP,retail_vol_yoy,103,2018-01-31,2026-07-31,emea
ESP,saving_rate,99,2018-01-31,2026-03-31,emea
ESP,unemp_rate,103,2018-01-31,2026-07-31,emea
FRA,cci,104,2018-01-31,2026-08-31,emea
FRA,cpi_yoy,96,2018-01-31,2025-12-31,emea
FRA,equity_yoy,104,2018-01-31,2026-08-31,emea
FRA,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,emea
FRA,real_hh_income_pc_yoy,99,2018-01-31,2026-03-31,emea
FRA,retail_vol_yoy,103,2018-01-31,2026-07-31,emea
FRA,saving_rate,99,2018-01-31,2026-03-31,emea
FRA,unemp_rate,103,2018-01-31,2026-07-31,emea
GBR,cci,104,2018-01-31,2026-08-31,emea
GBR,cpi_yoy,103,2018-01-31,2026-07-31,emea
GBR,equity_yoy,104,2018-01-31,2026-08-31,emea
GBR,hearn_yoy,99,2018-01-31,2026-03-31,emea
GBR,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,emea
GBR,real_hh_income_pc_yoy,99,2018-01-31,2026-03-31,emea
GBR,real_wage_yoy,99,2018-01-31,2026-03-31,emea
GBR,retail_vol_yoy,103,2018-01-31,2026-07-31,emea
GBR,saving_rate,99,2018-01-31,2026-03-31,emea
GBR,unemp_rate,101,2018-01-31,2026-05-31,emea
IDN,cci,103,2018-01-31,2026-07-31,apac
IDN,cpi_yoy,104,2018-01-31,2026-08-31,apac
IDN,equity_yoy,104,2018-01-31,2026-08-31,apac
IND,cpi_yoy,103,2018-01-31,2026-07-31,apac
IND,equity_yoy,104,2018-01-31,2026-08-31,apac
IRL,cci,104,2018-01-31,2026-08-31,emea
IRL,cpi_yoy,96,2018-01-31,2025-12-31,emea
IRL,equity_yoy,104,2018-01-31,2026-08-31,emea
IRL,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,emea
IRL,real_hh_income_pc_yoy,99,2018-01-31,2026-03-31,emea
IRL,retail_vol_yoy,45,2022-01-31,2026-07-31,emea
IRL,saving_rate,99,2018-01-31,2026-03-31,emea
IRL,unemp_rate,103,2018-01-31,2026-07-31,emea
ISR,cci,103,2018-01-31,2026-07-31,emea
ISR,cpi_yoy,103,2018-01-31,2026-07-31,emea
ISR,equity_yoy,104,2018-01-31,2026-08-31,emea
ISR,hearn_yoy,97,2018-01-31,2026-01-31,emea
ISR,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,emea
ISR,real_wage_yoy,97,2018-01-31,2026-01-31,emea
ISR,retail_vol_yoy,102,2018-01-31,2026-06-30,emea
ISR,unemp_rate,103,2018-01-31,2026-07-31,emea
ITA,cci,103,2018-01-31,2026-08-31,emea
ITA,cpi_yoy,96,2018-01-31,2025-12-31,emea
ITA,equity_yoy,104,2018-01-31,2026-08-31,emea
ITA,hearn_yoy,101,2018-01-31,2026-05-31,emea
ITA,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,emea
ITA,real_hh_income_pc_yoy,99,2018-01-31,2026-03-31,emea
ITA,real_wage_yoy,96,2018-01-31,2025-12-31,emea
ITA,retail_vol_yoy,103,2018-01-31,2026-07-31,emea
ITA,saving_rate,99,2018-01-31,2026-03-31,emea
ITA,unemp_rate,103,2018-01-31,2026-07-31,emea
JPN,cci,104,2018-01-31,2026-08-31,apac
JPN,cpi_yoy,42,2018-01-31,2021-06-30,apac
JPN,equity_yoy,104,2018-01-31,2026-08-31,apac
JPN,hearn_yoy,102,2018-01-31,2026-06-30,apac
JPN,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,apac
JPN,real_hh_income_pc_yoy,87,2018-01-31,2025-03-31,apac
JPN,real_wage_yoy,42,2018-01-31,2021-06-30,apac
JPN,retail_vol_yoy,102,2018-01-31,2026-06-30,apac
JPN,unemp_rate,103,2018-01-31,2026-07-31,apac
KOR,cci,104,2018-01-31,2026-08-31,apac
KOR,cpi_yoy,104,2018-01-31,2026-08-31,apac
KOR,equity_yoy,104,2018-01-31,2026-08-31,apac
KOR,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,apac
KOR,retail_vol_yoy,103,2018-01-31,2026-07-31,apac
KOR,unemp_rate,103,2018-01-31,2026-07-31,apac
MEX,cci,103,2018-01-31,2026-07-31,latam
MEX,cpi_yoy,79,2018-01-31,2024-07-31,latam
MEX,equity_yoy,104,2018-01-31,2026-08-31,latam
MEX,hearn_yoy,102,2018-01-31,2026-06-30,latam
MEX,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,latam
MEX,real_wage_yoy,79,2018-01-31,2024-07-31,latam
MEX,retail_vol_yoy,102,2018-01-31,2026-06-30,latam
MEX,saving_rate,96,2018-01-31,2025-12-31,latam
MEX,unemp_rate,103,2018-01-31,2026-07-31,latam
NLD,cci,104,2018-01-31,2026-08-31,emea
NLD,cpi_yoy,96,2018-01-31,2025-12-31,emea
NLD,equity_yoy,104,2018-01-31,2026-08-31,emea
NLD,hearn_yoy,102,2018-01-31,2026-06-30,emea
NLD,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,emea
NLD,real_hh_income_pc_yoy,99,2018-01-31,2026-03-31,emea
NLD,real_wage_yoy,96,2018-01-31,2025-12-31,emea
NLD,retail_vol_yoy,103,2018-01-31,2026-07-31,emea
NLD,saving_rate,99,2018-01-31,2026-03-31,emea
NLD,unemp_rate,103,2018-01-31,2026-07-31,emea
NZL,cci,99,2018-01-31,2026-03-31,apac
NZL,equity_yoy,104,2018-01-31,2026-08-31,apac
NZL,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,apac
POL,cci,104,2018-01-31,2026-08-31,emea
POL,cpi_yoy,96,2018-01-31,2025-12-31,emea
POL,equity_yoy,104,2018-01-31,2026-08-31,emea
POL,hearn_yoy,100,2018-01-31,2026-04-30,emea
POL,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,emea
POL,real_hh_income_pc_yoy,99,2018-01-31,2026-03-31,emea
POL,real_wage_yoy,96,2018-01-31,2025-12-31,emea
POL,retail_vol_yoy,103,2018-01-31,2026-07-31,emea
POL,saving_rate,99,2018-01-31,2026-03-31,emea
POL,unemp_rate,103,2018-01-31,2026-07-31,emea
PRT,cci,104,2018-01-31,2026-08-31,emea
PRT,cpi_yoy,96,2018-01-31,2025-12-31,emea
PRT,equity_yoy,104,2018-01-31,2026-08-31,emea
PRT,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,emea
PRT,real_hh_income_pc_yoy,99,2018-01-31,2026-03-31,emea
PRT,retail_vol_yoy,103,2018-01-31,2026-07-31,emea
PRT,saving_rate,99,2018-01-31,2026-03-31,emea
PRT,unemp_rate,103,2018-01-31,2026-07-31,emea
SWE,cci,104,2018-01-31,2026-08-31,emea
SWE,cpi_yoy,96,2018-01-31,2025-12-31,emea
SWE,equity_yoy,104,2018-01-31,2026-08-31,emea
SWE,hearn_yoy,100,2018-01-31,2026-04-30,emea
SWE,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,emea
SWE,real_hh_income_pc_yoy,99,2018-01-31,2026-03-31,emea
SWE,real_wage_yoy,96,2018-01-31,2025-12-31,emea
SWE,retail_vol_yoy,103,2018-01-31,2026-07-31,emea
SWE,saving_rate,99,2018-01-31,2026-03-31,emea
SWE,unemp_rate,103,2018-01-31,2026-07-31,emea
TUR,cci,104,2018-01-31,2026-08-31,emea
TUR,cpi_yoy,96,2018-01-31,2025-12-31,emea
TUR,equity_yoy,104,2018-01-31,2026-08-31,emea
TUR,real_hh_cons_pc_yoy,99,2018-01-31,2026-03-31,emea
TUR,retail_vol_yoy,102,2018-01-31,2026-06-30,emea
TUR,unemp_rate,103,2018-01-31,2026-07-31,emea
USA,cci,104,2018-01-31,2026-08-31,na
USA,cpi_yoy,102,2018-01-31,2026-07-31,na
USA,equity_yoy,104,2018-01-31,2026-08-31,na
