quarter,country_iso3,metric,value,value_kind,basis,source,quote,country,q,z_mean,z_chg2q,z_mean_lag1,z_mean_lag2,total_yoy,diff_pp
4Q23,CHN,origin_nights_yoy_pct,90.0,nearly,"stated as nearly X%, read at face value",4Q23 shareholder letter,in q4 2023 nights booked in china on an origin basis increased nearly 90% on a year over year basis,CHN,2023Q4,0.10196008784021493,-0.0027864199657144373,0.010699742396253265,0.10474650780592937,12.01814058956916,77.98185941043084
1Q24,CHN,origin_nights_yoy_pct,80.0,nearly,"stated as nearly X%, read at face value",1Q24 shareholder letter,in q1 2024 nights booked on an origin basis in china increased nearly 80% on a year over year basis,CHN,2024Q1,-0.1514437589989651,-0.16214350139521835,0.10196008784021493,0.010699742396253265,9.496284062758043,70.50371593724196
4Q24,BRA,origin_nights_yoy_pct,21.0,over20,"stated as over 20%, read as 21",4Q24 shareholder letter,origin nights booked in brazil grew over 20% for both q4 and full year 2024,BRA,2024Q4,0.38733402466758454,-0.34075595418505283,0.5503472076987005,0.7280899788526374,12.348178137651832,8.651821862348168
4Q24,CHN,origin_nights_yoy_pct,25.0,numeric,disclosed numeric,4Q24 shareholder letter,we are encouraged by the recovery of the china outbound business with nights booked growing 25% year over year in q4 2024,CHN,2024Q4,0.2545627078680471,0.4397577913137284,-0.34959419416339577,-0.18519508344568134,12.348178137651832,12.651821862348168
1Q25,BRA,origin_nights_yoy_pct,27.0,numeric,disclosed numeric,1Q25 shareholder letter,in brazil origin nights booked grew 27% in q1 2025,BRA,2025Q1,-0.2738402895553074,-0.824187497254008,0.38733402466758454,0.5503472076987005,7.918552036199089,19.081447963800912
2Q25,BRA,origin_nights_yoy_pct,18.0,high-teens,"bucket, mapped to 18",2Q25 shareholder letter,brazil continued to drive meaningful growth across the region with origin nights booked increasing at a high teens rate,BRA,2025Q2,-0.2280899028936154,-0.6154239275611999,-0.2738402895553074,0.38733402466758454,7.434052757793785,10.565947242206214
2Q25,DEU,origin_nights_yoy_pct,11.0,low-double digit,"stated as double digit, read as 11",2Q25 shareholder letter,we saw strong results in germany one of our expansion markets with double digit year over year growth of nights booked in q2 2025 representing an acceleration compared to q1 2025,DEU,2025Q2,0.1270988816381693,0.05353636381069446,0.12771220154758414,0.07356251782747483,7.434052757793785,3.5659472422062146
3Q25,BRA,origin_nights_yoy_pct,21.0,over20,"stated as over 20%, read as 21",3Q25 shareholder letter,brazil continued to drive meaningful growth across the region with origin nights booked increasing over 20% and the number of first time bookers increasing 17% in q3 2025 compared to q3 2024,BRA,2025Q3,-0.42332529866138574,-0.14948500910607831,-0.2280899028936154,-0.2738402895553074,8.794788273615639,12.205211726384361
4Q25,BRA,origin_nights_yoy_pct,21.0,over20,"stated as over 20%, read as 21",4Q25 shareholder letter,brazil continued to drive meaningful growth across the region with origin nights booked increasing over 20% and the number of first time bookers increasing 17% in q4 2025 compared to q4 2024,BRA,2025Q4,0.1371266853588898,0.3652165882525052,-0.42332529866138574,-0.2280899028936154,9.81981981981983,11.18018018018017
4Q25,MEX,origin_nights_yoy_pct,18.0,high-teens,"bucket, mapped to 18",4Q25 shareholder letter,we saw a strong sequential acceleration of growth in origin nights booked in mexico up high teens on a year over year basis in q4 2025,MEX,2025Q4,0.5235792322185343,0.4628572328178108,0.0715487781281079,0.06072199940072346,9.81981981981983,8.18018018018017
4Q25,IND,origin_nights_yoy_pct,50.0,numeric,disclosed numeric,4Q25 shareholder letter,q4 2025 nights booked on an origin basis in india grew 50% year over year,IND,2025Q4,0.4340149237550621,-0.05539317673880734,0.06801407252494883,0.48940810049386946,9.81981981981983,40.18018018018017
1Q26,BRA,origin_nights_yoy_pct,21.0,over20,"stated as over 20%, read as 21",1Q26 shareholder letter,brazil continued to drive meaningful growth with origin nights booked increasing over 20% for the third consecutive quarter,BRA,2026Q1,0.5926810133652238,1.0160063120266096,0.1371266853588898,-0.42332529866138574,9.15443745632425,11.84556254367575
1Q26,IND,origin_nights_yoy_pct,50.0,approximately,"stated as approximately X%, read at face value",1Q26 shareholder letter,in india origin nights booked grew approximately 50% year over year,IND,2026Q1,0.07186326842728231,0.0038491959023334854,0.4340149237550621,0.06801407252494883,9.15443745632425,40.845562543675754
1Q26,MEX,origin_nights_yoy_pct,11.0,low-double digit,"stated as double digit, read as 11",1Q26 shareholder letter,we saw continued double digit nights growth in mexico,MEX,2026Q1,0.8740414081943798,0.8024926300662719,0.5235792322185343,0.0715487781281079,9.15443745632425,1.8455625436757508
2Q26,BRA,origin_nights_yoy_pct,31.0,over30,"stated as over 30%, read as 31",2Q26 shareholder letter,brazil continued to see meaningful demand with origin net nights booked accelerating to over 30% year over year growth,BRA,2026Q2,0.35732924970646174,0.22020256434757193,0.5926810133652238,0.1371266853588898,10.342261904761907,20.657738095238095
2Q26,JPN,origin_nights_yoy_pct,18.0,high-teens,"bucket, mapped to 18",2Q26 shareholder letter,japan where in q2 2026 origin net nights booked grew in the high teens year over year driven by continued momentum for domestic travel,JPN,2026Q2,0.44685544982444664,0.7301642612138588,-0.039623005874093696,-0.2833088113894121,10.342261904761907,7.657738095238093
2Q26,IND,origin_nights_yoy_pct,60.0,numeric,disclosed numeric,2Q26 shareholder letter,we saw origin net nights booked in india accelerate to 60% year over year,IND,2026Q2,-0.7715538588990016,-1.2055687826540638,0.07186326842728231,0.4340149237550621,10.342261904761907,49.657738095238095
