sample,predictor,n,n_regions,slope_pp_per_z,t,r2_within,perm_p,loo_rmse_model,loo_rmse_naive,loo_improvement_pct,note
all_disclosed_3Q22_2Q26,relative_z,50,4,-8.037,-1.39,0.039,0.0428,5.87,5.92,0.8,
all_disclosed_3Q22_2Q26,relative_z_lag1,50,4,0.598,0.1,0.0,0.892,6.0,5.92,-1.5,
all_disclosed_3Q22_2Q26,relative_z_lag2,50,4,4.333,0.81,0.014,0.2654,5.97,5.92,-0.9,
all_disclosed_3Q22_2Q26,relative_z_chg2q,50,4,-6.498,-1.62,0.052,0.0286,5.85,5.92,1.2,
all_disclosed_3Q22_2Q26,relative_z_chg2q_lag1,50,4,-8.128,-2.32,0.101,0.001,5.73,5.92,3.2,
all_disclosed_3Q22_2Q26,relative_z_chg2q_lag2,50,4,-7.689,-2.04,0.08,0.005,5.7,5.92,3.7,
from_1Q24,relative_z,34,4,-4.195,-1.98,0.109,0.085,1.95,1.98,1.5,
from_1Q24,relative_z_lag1,34,4,-4.688,-2.18,0.13,0.0558,1.97,1.98,0.2,
from_1Q24,relative_z_lag2,34,4,-6.206,-2.46,0.159,0.0338,1.87,1.98,5.4,
from_1Q24,relative_z_chg2q,34,4,-0.055,-0.03,0.0,0.9781,2.05,1.98,-3.6,
from_1Q24,relative_z_chg2q_lag1,34,4,-2.545,-1.46,0.063,0.2026,2.0,1.98,-1.2,
from_1Q24,relative_z_chg2q_lag2,34,4,-2.382,-1.07,0.035,0.3516,2.01,1.98,-1.5,
bucket_era_4Q24_2Q26,relative_z,28,4,-5.803,-3.38,0.306,0.0098,1.58,1.77,10.9,
bucket_era_4Q24_2Q26,relative_z_lag1,28,4,-3.554,-1.78,0.108,0.166,1.8,1.77,-1.6,
bucket_era_4Q24_2Q26,relative_z_lag2,28,4,-4.032,-1.39,0.069,0.2784,1.76,1.77,0.7,
bucket_era_4Q24_2Q26,relative_z_chg2q,28,4,-3.169,-1.81,0.112,0.1546,1.78,1.77,-0.4,
bucket_era_4Q24_2Q26,relative_z_chg2q_lag1,28,4,-3.301,-2.08,0.143,0.103,1.77,1.77,0.2,
bucket_era_4Q24_2Q26,relative_z_chg2q_lag2,28,4,-2.818,-1.34,0.065,0.287,1.79,1.77,-0.6,
