sample,dropped_region,n,slope_pp_per_z,t,r2_within
all_disclosed_3Q22_2Q26,none,50,-8.037,-1.39,0.039
all_disclosed_3Q22_2Q26,apac,34,-7.365,-2.82,0.199
all_disclosed_3Q22_2Q26,emea,40,-6.622,-0.99,0.025
all_disclosed_3Q22_2Q26,latam,34,-15.473,-1.27,0.048
all_disclosed_3Q22_2Q26,na,42,-7.581,-1.13,0.031
bucket_era_4Q24_2Q26,none,28,-5.803,-3.38,0.306
bucket_era_4Q24_2Q26,apac,21,-5.564,-3.05,0.328
bucket_era_4Q24_2Q26,emea,21,-6.219,-3.37,0.375
bucket_era_4Q24_2Q26,latam,21,-10.116,-2.81,0.293
bucket_era_4Q24_2Q26,na,21,-4.508,-2.63,0.267
