quarter,country_iso3,metric,value,value_kind,basis,source,quote
4Q23,CHN,origin_nights_yoy_pct,90.0,nearly,"stated as nearly X%, read at face value",4Q23 shareholder letter,in q4 2023 nights booked in china on an origin basis increased nearly 90% on a year over year basis
1Q24,CHN,origin_nights_yoy_pct,80.0,nearly,"stated as nearly X%, read at face value",1Q24 shareholder letter,in q1 2024 nights booked on an origin basis in china increased nearly 80% on a year over year basis
4Q24,BRA,origin_nights_yoy_pct,21.0,over20,"stated as over 20%, read as 21",4Q24 shareholder letter,origin nights booked in brazil grew over 20% for both q4 and full year 2024
4Q24,CHN,origin_nights_yoy_pct,25.0,numeric,disclosed numeric,4Q24 shareholder letter,we are encouraged by the recovery of the china outbound business with nights booked growing 25% year over year in q4 2024
1Q25,BRA,origin_nights_yoy_pct,27.0,numeric,disclosed numeric,1Q25 shareholder letter,in brazil origin nights booked grew 27% in q1 2025
2Q25,BRA,origin_nights_yoy_pct,18.0,high-teens,"bucket, mapped to 18",2Q25 shareholder letter,brazil continued to drive meaningful growth across the region with origin nights booked increasing at a high teens rate
2Q25,DEU,origin_nights_yoy_pct,11.0,low-double digit,"stated as double digit, read as 11",2Q25 shareholder letter,we saw strong results in germany one of our expansion markets with double digit year over year growth of nights booked in q2 2025 representing an acceleration compared to q1 2025
3Q25,BRA,origin_nights_yoy_pct,21.0,over20,"stated as over 20%, read as 21",3Q25 shareholder letter,brazil continued to drive meaningful growth across the region with origin nights booked increasing over 20% and the number of first time bookers increasing 17% in q3 2025 compared to q3 2024
3Q25,JPN,origin_nights_yoy_pct,27.0,domestic,"DOMESTIC nights in that country, not total origin nights",3Q25 shareholder letter,in japan nights booked for domestic travel in q3 2025 increased 27% year over year representing the third consecutive quarter of acceleration
4Q25,BRA,origin_nights_yoy_pct,21.0,over20,"stated as over 20%, read as 21",4Q25 shareholder letter,brazil continued to drive meaningful growth across the region with origin nights booked increasing over 20% and the number of first time bookers increasing 17% in q4 2025 compared to q4 2024
4Q25,MEX,origin_nights_yoy_pct,18.0,high-teens,"bucket, mapped to 18",4Q25 shareholder letter,we saw a strong sequential acceleration of growth in origin nights booked in mexico up high teens on a year over year basis in q4 2025
4Q25,IND,origin_nights_yoy_pct,50.0,numeric,disclosed numeric,4Q25 shareholder letter,q4 2025 nights booked on an origin basis in india grew 50% year over year
1Q26,BRA,origin_nights_yoy_pct,21.0,over20,"stated as over 20%, read as 21",1Q26 shareholder letter,brazil continued to drive meaningful growth with origin nights booked increasing over 20% for the third consecutive quarter
1Q26,IND,origin_nights_yoy_pct,50.0,approximately,"stated as approximately X%, read at face value",1Q26 shareholder letter,in india origin nights booked grew approximately 50% year over year
1Q26,MEX,origin_nights_yoy_pct,11.0,low-double digit,"stated as double digit, read as 11",1Q26 shareholder letter,we saw continued double digit nights growth in mexico
2Q26,BRA,origin_nights_yoy_pct,31.0,over30,"stated as over 30%, read as 31",2Q26 shareholder letter,brazil continued to see meaningful demand with origin net nights booked accelerating to over 30% year over year growth
2Q26,JPN,origin_nights_yoy_pct,18.0,high-teens,"bucket, mapped to 18",2Q26 shareholder letter,japan where in q2 2026 origin net nights booked grew in the high teens year over year driven by continued momentum for domestic travel
2Q26,IND,origin_nights_yoy_pct,60.0,numeric,disclosed numeric,2Q26 shareholder letter,we saw origin net nights booked in india accelerate to 60% year over year
