quarter,region,metric,value,halfwidth_pp,basis,source,quote
3Q22,na,nights_yoy_pct_destination,20.0,0.5,disclosed numeric y/y,3Q22 shareholder letter (3Q22_d408297dex991.htm),north america remained strong with nights and experiences booked in q3 increasing 20% above the level achieved in the same quarter of 2021
3Q22,emea,nights_yoy_pct_destination,20.0,0.5,disclosed numeric y/y,3Q22 shareholder letter (3Q22_d408297dex991.htm),in emea nights and experiences booked grew 20% compared to q3 2021
3Q22,latam,nights_yoy_pct_destination,33.0,0.5,disclosed numeric y/y,3Q22 shareholder letter (3Q22_d408297dex991.htm),in latin america nights and experiences booked were 33% higher than q3 2021
3Q22,apac,nights_yoy_pct_destination,65.0,0.5,disclosed numeric y/y,3Q22 shareholder letter (3Q22_d408297dex991.htm),apac increased the most with 65% more nights and experiences booked
4Q22,emea,nights_yoy_pct_destination,25.0,0.5,disclosed numeric y/y,4Q22 shareholder letter (4Q22_d451233dex991.htm),in emea nights and experiences booked grew 25% compared to q4 2021
4Q22,latam,nights_yoy_pct_destination,23.0,0.5,disclosed numeric y/y,4Q22 shareholder letter (4Q22_d451233dex991.htm),in latin america nights and experiences booked were 23% higher than q4 2021
4Q22,apac,nights_yoy_pct_destination,40.0,0.5,disclosed numeric y/y,4Q22 shareholder letter (4Q22_d451233dex991.htm),asia pacific once again increased the most with 40% more nights and experiences booked
1Q23,emea,nights_yoy_pct_destination,21.0,0.5,disclosed numeric y/y,1Q23 shareholder letter (1Q23_d453262dex991.htm),in emea nights and experiences booked grew 21% compared to q1 2022
1Q23,latam,nights_yoy_pct_destination,22.0,0.5,disclosed numeric y/y,1Q23 shareholder letter (1Q23_d453262dex991.htm),in latin america nights and experiences booked were 22% higher than q1 2022
1Q23,apac,nights_yoy_pct_destination,48.0,0.5,disclosed numeric y/y,1Q23 shareholder letter (1Q23_d453262dex991.htm),48% growth in nights and experiences booked in q1 2023 compared to a year ago
2Q23,latam,nights_yoy_pct_destination,22.0,0.5,disclosed numeric y/y,2Q23 shareholder letter (2Q23_d446942dex991.htm),in latin america nights and experiences booked were 22% higher than q2 2022
2Q23,apac,nights_yoy_pct_destination,24.0,0.5,disclosed numeric y/y,2Q23 shareholder letter (2Q23_d446942dex991.htm),in asia pacific nights and experiences booked saw 24% year over year growth
3Q23,latam,nights_yoy_pct_destination,24.0,0.5,disclosed numeric y/y,3Q23 shareholder letter (3Q23_d481318dex991.htm),in latin america nights and experiences booked were 24% higher than q3 2022
3Q23,apac,nights_yoy_pct_destination,27.0,0.5,disclosed numeric y/y,3Q23 shareholder letter (3Q23_d481318dex991.htm),in asia pacific nights and experiences booked saw a sequential acceleration in year over year growth of 27%
4Q23,latam,nights_yoy_pct_destination,22.0,0.5,disclosed numeric y/y,4Q23 shareholder letter (4Q23_d646462dex991.htm),in latin america nights and experiences booked were 22% higher than q4 2022
4Q23,apac,nights_yoy_pct_destination,22.0,0.5,disclosed numeric y/y,4Q23 shareholder letter (4Q23_d646462dex991.htm),in asia pacific nights and experiences booked increased 22% on a year over year basis
1Q24,latam,nights_yoy_pct_destination,19.0,0.5,disclosed numeric y/y,1Q24 shareholder letter (1Q24_d813800dex991.htm),in latin america nights and experiences booked grew 19% in q1 2024 compared to q1 2023
1Q24,apac,nights_yoy_pct_destination,21.0,0.5,disclosed numeric y/y,1Q24 shareholder letter (1Q24_d813800dex991.htm),in asia pacific nights and experiences booked increased 21% on a year over year basis
2Q24,latam,nights_yoy_pct_destination,17.0,0.5,disclosed numeric y/y,2Q24 shareholder letter (2Q24_d831385dex991.htm),in latin america nights and experiences booked grew 17% in q2 2024 compared to q2 2023
2Q24,apac,nights_yoy_pct_destination,19.0,0.5,disclosed numeric y/y,2Q24 shareholder letter (2Q24_d831385dex991.htm),in asia pacific nights and experiences booked increased 19% on a year over year basis
3Q24,latam,nights_yoy_pct_destination,15.0,0.5,disclosed numeric y/y,3Q24 shareholder letter (3Q24_d886752dex991.htm),in latin america nights and experiences booked grew 15% in q3 2024 compared to q3 2023
3Q24,apac,nights_yoy_pct_destination,19.0,0.5,disclosed numeric y/y,3Q24 shareholder letter (3Q24_d886752dex991.htm),in asia pacific nights and experiences booked increased 19% on a year over year basis stable with the prior quarter
4Q24,na,nights_yoy_pct_destination,5.0,1.0,"qualitative bucket mid-single digit mapped to midpoint 5.0, researcher mapping, half-width 1.0pp",4Q24 shareholder letter (4Q24_d915198dex991.htm),in north america we saw mid single digits nights and experiences booked growth in q4 2024 compared to q4 2023
