construction,quarter,market,region,late,old
S,2Q26,los-angeles,na,2026-06-15,2025-07-01
S,3Q26,los-angeles,na,2026-08-10,2025-08-01
S,2Q26,chicago,na,2026-06-24,2025-05-14
S,3Q26,chicago,na,2026-08-27,2025-08-19
S,2Q26,austin,na,2026-06-22,2025-05-11
S,3Q26,austin,na,2026-08-25,2025-08-16
S,2Q26,nashville,na,2026-06-26,2025-05-17
S,3Q26,nashville,na,2026-08-27,2025-08-23
S,2Q26,new-orleans,na,2026-06-16,2025-07-05
S,3Q26,new-orleans,na,2026-08-15,2025-08-05
S,2Q26,san-diego,na,2026-06-27,2025-05-21
S,3Q26,san-diego,na,2026-08-29,2025-08-26
S,2Q26,paris,emea,2026-06-16,2025-05-03
S,3Q26,paris,emea,2026-08-15,2025-08-08
S,3Q26,london,emea,2026-08-18,2025-09-14
S,3Q26,barcelona,emea,2026-08-23,2025-08-10
S,2Q26,rome,emea,2026-06-20,2025-06-12
S,3Q26,rome,emea,2026-08-25,2025-08-15
S,3Q26,sydney,apac,2026-08-15,2025-08-05
S,2Q26,mexico-city,latam,2026-06-15,2025-06-25
S,3Q26,mexico-city,latam,2026-08-30,2025-08-29
S,2Q26,buenos-aires,latam,2026-06-29,2025-07-27
S,3Q26,buenos-aires,latam,2026-08-30,2025-08-29
S,2Q26,rio-de-janeiro,latam,2026-06-24,2025-06-24
S,3Q26,rio-de-janeiro,latam,2026-08-30,2025-08-28
S,2Q26,santiago,latam,2026-06-29,2025-07-27
S,3Q26,santiago,latam,2026-08-30,2025-08-29
S,2Q26,belize,latam,2026-06-29,2025-06-25
S,3Q26,belize,latam,2026-08-31,2025-08-30
S,2Q26,tokyo,apac,2026-06-30,2025-06-27
S,3Q26,tokyo,apac,2026-08-31,2025-08-30
S,2Q26,singapore,apac,2026-06-29,2025-06-25
S,3Q26,singapore,apac,2026-08-31,2025-08-30
S,2Q26,bangkok,apac,2026-06-29,2025-06-24
S,3Q26,bangkok,apac,2026-08-30,2025-08-28
S,2Q26,taipei,apac,2026-06-30,2025-06-29
S,3Q26,taipei,apac,2026-08-31,2025-08-31
S,2Q26,hong-kong,apac,2026-06-27,2025-05-18
S,3Q26,hong-kong,apac,2026-08-28,2025-08-24
S,3Q26,melbourne,apac,2026-08-15,2025-08-05
S,3Q26,brisbane,apac,2026-08-13,2025-08-04
S,2Q26,tasmania,apac,2026-06-15,2025-05-03
S,3Q26,tasmania,apac,2026-08-13,2025-08-04
S,2Q26,western-australia,apac,2026-06-28,2025-06-23
S,3Q26,western-australia,apac,2026-08-30,2025-08-28
S,3Q26,barossa-valley,apac,2026-08-30,2025-09-27
S,2Q26,sunshine-coast,apac,2026-06-30,2025-06-28
S,3Q26,sunshine-coast,apac,2026-08-31,2025-08-31
S,2Q26,mornington-peninsula,apac,2026-06-22,2025-05-13
S,3Q26,mornington-peninsula,apac,2026-08-26,2025-08-17
S,2Q26,northern-rivers,apac,2026-06-24,2025-05-14
S,3Q26,northern-rivers,apac,2026-08-27,2025-08-19
S,2Q26,mid-north-coast,apac,2026-06-19,2025-05-06
S,3Q26,mid-north-coast,apac,2026-08-18,2025-08-08
S,2Q26,barwon-south-west-vic,apac,2026-06-29,2025-06-25
S,3Q26,barwon-south-west-vic,apac,2026-08-31,2025-08-30
