market,dump,listings,hotel_room_listings,hotel_room_reviews_ltm,all_reviews_ltm,hotel_review_share
new-york-city,2025-10-01,36111,351,426,143852,0.0029613769707755194
new-york-city,2025-12-04,36261,331,499,140931,0.0035407397946512834
new-york-city,2026-01-15,36282,429,841,139169,0.006043012452485827
new-york-city,2026-02-13,36445,334,617,141503,0.0043603315830759775
new-york-city,2026-03-16,35979,336,617,140824,0.004381355450775436
new-york-city,2026-04-14,35036,371,663,140754,0.0047103457095357855
new-york-city,2026-05-14,28994,492,542,135696,0.003994222379436387
new-york-city,2026-06-08,4506,456,719,108746,0.0066117374432163025
new-york-city,2026-06-14,30259,520,730,133715,0.0054593725460868265
new-york-city,2026-07-12,30096,451,726,133791,0.005426373971343364
new-york-city,2026-08-10,30234,486,686,144693,0.004741072477590484
paris,2025-03-03,86064,681,2236,537867,0.004157161528779419
paris,2025-06-06,84055,685,3206,558402,0.005741383447767021
paris,2025-09-12,81853,664,3418,563724,0.006063250810680404
paris,2025-12-13,82045,632,3345,560682,0.005965948612582534
paris,2026-01-17,50705,320,3006,501485,0.005994197234214383
paris,2026-02-18,50954,331,2998,501761,0.005974956204248636
paris,2026-03-21,38075,269,2904,446262,0.006507388036624226
paris,2026-04-19,39191,270,2806,460012,0.006099840873716338
paris,2026-05-23,39793,334,2825,460215,0.006138435296546179
paris,2026-06-16,77679,410,2725,555497,0.0049055170414961735
paris,2026-07-15,78071,401,2657,553739,0.004798289446833255
paris,2026-08-15,78504,394,2615,557710,0.00468881676857148
london,2025-09-14,96871,109,457,553096,0.000826258009459479
london,2025-12-13,95688,170,350,553532,0.0006323031008144064
london,2026-01-17,61139,105,266,524072,0.0005075638461890733
london,2026-02-18,60374,105,278,515723,0.0005390490631598746
london,2026-03-21,53639,94,284,478137,0.0005939720205715099
london,2026-04-19,54538,115,266,482218,0.0005516177330584922
london,2026-05-24,57073,136,304,484022,0.0006280706248889513
london,2026-06-19,92638,180,318,566386,0.000561454555727013
london,2026-07-16,91965,161,320,571751,0.0005596841981911707
london,2026-08-18,92783,179,316,583379,0.0005416718805442088
rome,2025-03-05,34542,397,2602,506857,0.005133597839232762
rome,2025-06-12,36309,376,2526,521748,0.00484141769589917
rome,2025-09-14,37652,370,2497,532210,0.004691757013209071
rome,2025-12-16,37162,360,2725,551464,0.004941392366500805
rome,2026-01-18,37328,357,2715,553210,0.004907720395509843
rome,2026-02-18,32824,186,2262,525874,0.004301410604061049
rome,2026-03-24,30063,151,2185,511118,0.004274942381211384
rome,2026-04-20,29644,133,1577,513556,0.003070745936178333
rome,2026-05-25,36663,304,2621,559153,0.004687446906302926
rome,2026-06-20,37084,303,2671,563587,0.004739286037470701
rome,2026-07-18,37151,300,2667,567275,0.004701423471861091
rome,2026-08-25,37483,201,1977,570095,0.0034678430787851147
los-angeles,2025-03-01,45031,331,651,364732,0.0017848721801212945
los-angeles,2025-06-17,45421,367,782,356214,0.0021953095611065257
los-angeles,2025-09-01,45886,325,645,357167,0.0018058779226524286
los-angeles,2025-12-04,45585,302,844,357935,0.002357970022490117
los-angeles,2026-01-15,45893,298,918,359462,0.002553816536935754
los-angeles,2026-02-13,45906,300,971,364235,0.002665861325792414
los-angeles,2026-03-16,46088,267,725,370103,0.001958914140117751
los-angeles,2026-04-14,45295,361,830,373529,0.0022220496935980876
los-angeles,2026-05-23,41946,390,827,374623,0.002207552659607125
los-angeles,2026-06-15,43751,415,835,373559,0.00223525601042941
los-angeles,2026-07-12,43805,440,861,378400,0.002275369978858351
los-angeles,2026-08-10,43735,412,892,386762,0.002306327922598394
mexico-city,2025-06-25,26401,91,240,414793,0.0005786018568297922
mexico-city,2025-09-27,27051,86,233,424458,0.0005489353481380961
mexico-city,2025-12-29,23242,49,200,429336,0.00046583561592785137
mexico-city,2026-01-25,23783,51,205,439321,0.00046662918458257176
mexico-city,2026-02-26,24045,50,216,444864,0.00048554164868364264
mexico-city,2026-03-30,22770,53,169,428373,0.00039451599423866586
mexico-city,2026-04-29,23597,56,180,424388,0.0004241401736147111
mexico-city,2026-05-29,27493,83,238,467414,0.0005091845772698294
mexico-city,2026-06-15,31430,86,246,487065,0.0005050660589449047
mexico-city,2026-07-14,31244,83,248,494584,0.0005014315060737913
mexico-city,2026-08-30,30621,86,262,506063,0.0005177221017936502
barcelona,2025-09-14,19410,94,2068,220224,0.009390438825922698
barcelona,2025-12-14,18177,102,2238,203594,0.010992465396819159
barcelona,2026-01-18,17099,103,2392,204367,0.011704433690370754
barcelona,2026-02-18,12786,51,2107,182711,0.011531872738915556
barcelona,2026-03-21,16107,73,2473,198456,0.01246120046760995
barcelona,2026-04-20,7277,47,1886,178632,0.010558018720050159
barcelona,2026-05-24,14399,82,2551,202030,0.012626837598376479
barcelona,2026-06-24,15293,68,2005,201980,0.009926725418358253
barcelona,2026-07-16,15777,67,2030,204982,0.00990330858319267
barcelona,2026-08-23,16227,79,2123,216064,0.009825792357819906
