construction,quarter,market,region,late_v1,late_v2,old_v1,old_v2,gap_days,len_late,len_old
F,2Q26,los-angeles,na,2026-03-16,2026-06-15,2025-04-01,2025-07-01,30,91,91
F,3Q26,los-angeles,na,2026-06-15,2026-08-10,2025-07-01,2025-09-01,36,56,62
F,2Q26,chicago,na,2026-03-27,2026-06-24,2025-04-17,2025-07-20,45,89,94
F,3Q26,chicago,na,2026-06-24,2026-08-27,2025-07-20,2025-09-22,50,64,64
F,2Q26,austin,na,2026-03-25,2026-06-22,2025-04-12,2025-07-11,35,89,90
F,3Q26,austin,na,2026-06-22,2026-08-25,2025-07-11,2025-09-16,39,64,67
F,2Q26,nashville,na,2026-03-28,2026-06-26,2025-04-18,2025-07-22,45,90,95
F,3Q26,nashville,na,2026-06-26,2026-08-27,2025-07-22,2025-09-23,51,62,63
F,3Q26,new-orleans,na,2026-06-16,2026-08-15,2025-07-05,2025-09-11,44,60,68
F,2Q26,san-diego,na,2026-03-29,2026-06-27,2025-04-21,2025-07-25,49,90,95
F,3Q26,san-diego,na,2026-06-27,2026-08-29,2025-07-25,2025-09-25,53,63,62
F,2Q26,paris,emea,2026-03-21,2026-06-16,2025-04-07,2025-07-07,36,87,91
F,3Q26,paris,emea,2026-06-16,2026-08-15,2025-07-07,2025-09-12,47,60,67
F,2Q26,rome,emea,2026-03-24,2026-06-20,2025-03-05,2025-06-12,29,88,99
F,3Q26,rome,emea,2026-06-20,2026-08-25,2025-06-12,2025-08-15,20,66,64
F,3Q26,mexico-city,latam,2026-06-15,2026-08-30,2025-06-25,2025-08-29,11,76,65
F,3Q26,buenos-aires,latam,2026-06-29,2026-08-30,2025-07-27,2025-09-27,54,62,62
F,3Q26,rio-de-janeiro,latam,2026-06-24,2026-08-30,2025-06-24,2025-08-28,4,67,65
F,3Q26,santiago,latam,2026-06-29,2026-08-30,2025-07-27,2025-09-27,54,62,62
F,2Q26,belize,latam,2026-03-30,2026-06-29,2025-03-23,2025-06-25,13,91,94
F,3Q26,belize,latam,2026-06-29,2026-08-31,2025-06-25,2025-08-30,7,63,66
F,2Q26,tokyo,apac,2026-03-30,2026-06-30,2025-03-23,2025-06-27,12,92,96
F,3Q26,tokyo,apac,2026-06-30,2026-08-31,2025-06-27,2025-08-30,6,62,64
F,2Q26,singapore,apac,2026-03-30,2026-06-29,2025-03-21,2025-06-25,15,91,96
F,3Q26,singapore,apac,2026-06-29,2026-08-31,2025-06-25,2025-08-30,7,63,66
F,2Q26,bangkok,apac,2026-03-30,2026-06-29,2025-03-19,2025-06-24,18,91,97
F,3Q26,bangkok,apac,2026-06-29,2026-08-30,2025-06-24,2025-08-28,9,62,65
F,3Q26,taipei,apac,2026-06-30,2026-08-31,2025-06-29,2025-08-31,3,62,63
F,2Q26,hong-kong,apac,2026-03-29,2026-06-27,2025-04-20,2025-07-24,47,90,95
F,3Q26,hong-kong,apac,2026-06-27,2026-08-28,2025-07-24,2025-09-23,51,62,61
F,2Q26,tasmania,apac,2026-03-19,2026-06-15,2025-04-05,2025-07-05,35,88,91
F,3Q26,tasmania,apac,2026-06-15,2026-08-13,2025-07-05,2025-09-11,47,59,68
F,2Q26,western-australia,apac,2026-03-29,2026-06-28,2025-03-18,2025-06-23,18,91,97
F,3Q26,western-australia,apac,2026-06-28,2026-08-30,2025-06-23,2025-08-28,9,63,66
F,3Q26,sunshine-coast,apac,2026-06-30,2026-08-31,2025-06-28,2025-08-31,4,62,64
F,2Q26,mornington-peninsula,apac,2026-03-25,2026-06-22,2025-04-14,2025-07-17,43,89,94
F,3Q26,mornington-peninsula,apac,2026-06-22,2026-08-26,2025-07-17,2025-09-18,46,65,63
F,2Q26,northern-rivers,apac,2026-03-27,2026-06-24,2025-04-17,2025-07-20,45,89,94
F,3Q26,northern-rivers,apac,2026-06-24,2026-08-27,2025-07-20,2025-09-22,50,64,64
F,2Q26,mid-north-coast,apac,2026-03-21,2026-06-19,2025-04-07,2025-07-07,33,90,91
F,2Q26,barwon-south-west-vic,apac,2026-03-30,2026-06-29,2025-03-21,2025-06-25,15,91,96
F,3Q26,barwon-south-west-vic,apac,2026-06-29,2026-08-31,2025-06-25,2025-08-30,7,63,66
