market,group,window,side,win_start,win_end,n_runs,n_listings,n_runs_over90,nights,mean_run,nights_lt7,nights_n7_27,nights_ge28,w_nights_lt7,w_nights_n7_27,w_nights_ge28
los-angeles,host,tournament,late,2026-07-07,2026-07-19,11353,8370,278,83766.0,7.378314101999472,25583.0,39451.0,18732.0,678241.9344423712,424121.00615835655,57428.05939927225
los-angeles,host,tournament,old,2025-07-08,2025-07-20,12364,8728,253,91077.0,7.366305402782271,27666.0,42686.0,20725.0,668991.6498983788,455950.86207401403,66099.4880276072
los-angeles,host,post,late,2026-08-01,2026-09-15,22608,9519,4168,150495.0,6.656714437367303,53465.0,63978.0,33052.0,742058.985522626,473307.8954303005,88765.11904707353
los-angeles,host,post,old,2025-08-02,2025-09-16,20396,8692,1240,133617.0,6.551137477936851,47870.0,55837.0,29910.0,720216.7171977161,419733.54471060896,90241.73809167495
chicago,control,tournament,late,2026-07-01,2026-07-19,8703,4298,531,59933.0,6.886475927840975,20851.0,25428.0,13654.0,307414.84934371186,242043.79193994004,43523.35871634809
chicago,control,tournament,old,2025-07-02,2025-07-20,4717,2697,71,27169.0,5.759804960780157,12702.0,9700.0,4767.0,272585.1865542841,106051.22902211796,16888.584423597924
chicago,control,post,late,2026-08-01,2026-09-15,12629,3959,347,68000.0,5.384432655000396,35459.0,21185.0,11356.0,385985.83015195973,139416.30925713122,31031.860590909037
chicago,control,post,old,2025-08-02,2025-09-16,6019,2547,789,31705.0,5.26748629340422,16930.0,8980.0,5795.0,278226.9499535017,73095.25856243123,18912.791484067067
austin,control,tournament,late,2026-06-29,2026-07-19,6703,3713,884,41514.0,6.193346262867373,16630.0,11790.0,13094.0,328684.91658900154,109945.29586462297,32993.78754637551
austin,control,tournament,old,2025-06-30,2025-07-20,2824,1880,220,16594.0,5.876062322946176,7489.0,4242.0,4863.0,196214.42940506616,42392.99997714513,12320.570617788711
austin,control,post,late,2026-08-01,2026-09-15,6600,2941,617,34344.0,5.203636363636364,17806.0,7745.0,8793.0,301166.5188777084,56249.85699516033,20074.624127131287
austin,control,post,old,2025-08-02,2025-09-16,3073,1613,1596,21932.0,7.136999674585096,7947.0,3672.0,10313.0,153237.60640308133,28946.872377737625,21368.52121918105
nashville,control,tournament,late,2026-07-03,2026-07-19,10108,5645,609,49590.0,4.906015037593985,26211.0,18607.0,4772.0,535974.8006820986,189921.0919866319,12612.107331269448
nashville,control,tournament,old,2025-07-04,2025-07-20,5845,3789,59,26196.0,4.481779298545765,16611.0,8287.0,1298.0,412142.02004572307,102008.60136644685,4235.3785878300805
nashville,control,post,late,2026-08-01,2026-09-15,16924,5529,389,69893.0,4.129815646419286,48878.0,15883.0,5132.0,608834.9497592967,113190.6194714372,12174.430769266059
nashville,control,post,old,2025-08-02,2025-09-16,8965,3588,598,37544.0,4.187841606246514,26147.0,7862.0,3535.0,410572.671076226,66280.09896788254,9128.229955891487
new-orleans,control,tournament,late,2026-07-11,2026-07-19,1514,1368,31,7345.0,4.851387054161163,3996.0,2934.0,415.0,198458.85098663732,54401.14901336269,1396.0
new-orleans,control,tournament,old,2025-07-12,2025-07-20,2225,2020,20,10687.0,4.803146067415731,5837.0,3851.0,999.0,285113.72326335945,72386.67673664055,4039.6
new-orleans,control,post,late,2026-08-01,2026-09-15,4260,1891,575,20036.0,4.703286384976526,12226.0,5139.0,2671.0,271080.3168227247,60505.33317838066,11015.349998894631
new-orleans,control,post,old,2025-08-02,2025-09-16,5261,2206,206,24152.0,4.590762212507128,15134.0,5801.0,3217.0,313530.73483100923,68575.00150021318,11571.263668777588
san-diego,control,tournament,late,2026-07-04,2026-07-19,8565,5725,111,69463.0,8.11009924109749,17929.0,38526.0,13008.0,359608.570308431,371940.3802685599,38674.04942300912
san-diego,control,tournament,old,2025-07-05,2025-07-20,5928,4261,124,45190.0,7.623144399460189,13380.0,23572.0,8238.0,321910.54169669637,242468.64037466396,24069.81792863971
san-diego,control,post,late,2026-08-01,2026-09-15,15993,5849,797,100843.0,6.305446132683048,41002.0,41797.0,18044.0,491277.5745496528,271629.6899227105,47447.7355276367
san-diego,control,post,old,2025-08-02,2025-09-16,8077,3751,1731,50347.0,6.233378729726383,21204.0,18965.0,10178.0,338293.19306621735,150942.8666527553,26318.940281027313
mexico-city,host,tournament,late,2026-07-01,2026-07-19,13675,9396,1904,90818.0,6.641170018281536,31842.0,35585.0,23391.0,886479.8745580992,363440.8167178289,54572.30872407189
mexico-city,host,tournament,old,2025-07-02,2025-07-20,14970,9120,314,101943.0,6.809819639278557,33571.0,43390.0,24982.0,796455.8224051112,448639.46737210953,63963.71022277935
mexico-city,host,post,late,2026-08-01,2026-09-15,17501,8529,2946,107563.0,6.146105936803611,44259.0,36670.0,26634.0,851801.0012216992,320534.7952912756,58318.20348702524
mexico-city,host,post,old,2025-08-02,2025-09-16,15424,6949,518,91886.0,5.957339211618257,38530.0,34680.0,18676.0,690957.0242006903,292728.50987434044,45882.46592496918
rio-de-janeiro,control,tournament,late,2026-07-01,2026-07-19,19127,12752,3713,167128.0,8.73780519684216,40032.0,82588.0,44508.0,720717.4284991127,684923.2964943527,87692.2750065345
rio-de-janeiro,control,tournament,old,2025-07-02,2025-07-20,17149,11249,745,142774.0,8.325500029156219,34753.0,75945.0,32076.0,580504.9526192128,623229.7896731124,73968.25770767474
rio-de-janeiro,control,post,late,2026-08-01,2026-09-15,34290,16739,2561,242651.0,7.076436278798483,84020.0,108527.0,50104.0,951753.9347410115,640551.1368645169,87646.9283944717
rio-de-janeiro,control,post,old,2025-08-02,2025-09-16,16497,8352,1949,130924.0,7.936230829847851,38220.0,61240.0,31464.0,507352.0860766915,408825.19362679374,57825.72029651478
belize,control,tournament,late,2026-07-06,2026-07-19,1493,1143,3,8859.0,5.9336905559276625,3525.0,4629.0,705.0,48191.80575804349,27571.023971686238,1318.1702702702703
belize,control,tournament,old,2025-07-07,2025-07-20,1326,1014,6,8058.0,6.076923076923077,3007.0,4651.0,400.0,47027.082552939726,26074.917447060277,440.0
