construction,quarter,market,region,side,vintage,weights_src,n_runs,n_listings,n_runs_over90,nights,mean_run,nights_lt7,nights_n7_27,nights_ge28,w_nights_lt7,w_nights_n7_27,w_nights_ge28,share_lt7,w_share_lt7,share_n7_27,w_share_n7_27,share_ge28,w_share_ge28,n_edge_dropped,n_closed_listings
S,2Q26,los-angeles,na,late,2026-06-15,14c:2026-06-15,63527,15359,9812,461371.0,7.26259700599745,149453.0,194006.0,117912.0,917810.3061371567,758616.9523741289,277900.74148871447,0.32393236679375165,0.4696296149557069,0.42049890435246257,0.38817279001996025,0.2555687288537858,0.1421975950243329,,
S,2Q26,los-angeles,na,old,2025-07-01,listings:2025-06-17,48924,12799,5604,335893.0,6.865607881612297,114908.0,141153.0,79832.0,848980.1314064318,641749.8280551177,214538.04053845053,0.34209703685399817,0.49785730536574413,0.4202320381788248,0.3763337071094501,0.23767092496717704,0.1258089875248058,,
S,3Q26,los-angeles,na,late,2026-08-10,14c:2026-08-10,56634,13973,5080,353581.0,6.243263763816788,139786.0,135252.0,78543.0,1040765.6178833835,639487.5250713804,181012.85704523604,0.3953436412024402,0.5591708105576438,0.38252055398904355,0.3435766435702261,0.2221358048085163,0.09725254587213007,,
S,3Q26,los-angeles,na,old,2025-08-01,listings:2025-09-01,45367,12497,5380,295219.0,6.507351158330946,109617.0,108810.0,76792.0,949229.6065730584,572987.9293599469,199616.46406699473,0.3713074023013424,0.5512898494123466,0.3685738384047097,0.332777683191264,0.2601187592939479,0.11593246739638939,,
S,2Q26,chicago,na,late,2026-06-24,14c:2026-06-24,29886,5135,1326,176811.0,5.916181489660711,80919.0,64451.0,31441.0,383890.5956425259,230700.6922765049,71899.71208096923,0.457658177375842,0.5592070335117661,0.3645191758431319,0.33605785403815186,0.17782264678102608,0.10473511245008198,,
S,2Q26,chicago,na,old,2025-05-14,listings:2025-06-17,27740,4873,1107,170975.0,6.163482335976928,75859.0,57873.0,37243.0,361166.4399130876,203186.99148586043,75310.56860105203,0.4436847492323439,0.5646189873325489,0.3384880830530779,0.31764643857690983,0.21782716771457816,0.11773457409054133,,
S,3Q26,chicago,na,late,2026-08-27,14c:2026-08-27,26615,5259,1040,150716.0,5.662821717076836,72305.0,55827.0,22584.0,427137.9499212004,247358.72806029994,48909.32201849969,0.4797433583693835,0.5904539773255965,0.37041190052814565,0.34193624059006966,0.14984474110247087,0.06760978208433395,,
S,3Q26,chicago,na,old,2025-08-19,listings:2025-09-22,23576,4876,1058,129862.0,5.508228707159824,66258.0,41287.0,22317.0,421631.0681638823,186870.38164798974,54003.550188127985,0.5102185396805841,0.6364194506666097,0.31792980240563057,0.28206637179793315,0.1718516579137854,0.08151417753545706,,
S,2Q26,austin,na,late,2026-06-22,14c:2026-06-22,17759,4683,2285,100037.0,5.6330311391407175,45911.0,26724.0,27402.0,381746.88323016727,132892.8488377824,58257.26793205034,0.4589401921289123,0.666344706343666,0.2671411577716245,0.23196638983583856,0.2739186500994632,0.10168890382049538,,
S,2Q26,austin,na,old,2025-05-11,listings:2025-06-13,18165,5195,2083,112318.0,6.1832094687586014,48331.0,27419.0,36568.0,430564.79778369586,140811.51352657352,68481.68868973058,0.43030502679891025,0.6729067977327717,0.24411937534500258,0.22006681721033966,0.3255755978560872,0.10702638505688854,,
S,3Q26,austin,na,late,2026-08-25,14c:2026-08-25,29731,5954,1408,146675.0,4.933402845514783,84257.0,37662.0,24756.0,487519.187028316,138637.5380279305,43352.27494375347,0.5744469064257712,0.728174209798996,0.2567717743310039,0.20707344939041972,0.16878131924322481,0.06475234081058429,,
