source_id,provider,valid_observations,min_reference_period,max_reference_period,distinct_geographies,distinct_metrics,pit_treatment
EUROSTAT_PLATFORM_NIGHTS_COUNTRY,Eurostat,3424,2018,2026-03,32,1,current_snapshot_prospective_only
EUROSTAT_PLATFORM_NIGHTS_NUTS3,Eurostat,2478,2024,2025,1294,1,current_snapshot_prospective_only
EUROSTAT_PLATFORM_NIGHTS_REGION,Eurostat,10032,2024,2025-12,394,1,current_snapshot_prospective_only
EUROSTAT_TOURISM_NIGHTS,Eurostat,1628,2023-01,2026-06,40,1,current_snapshot_prospective_only
SFO_AIR_PASSENGERS,City and County of San Francisco,441,2020-01,2026-06,1,1,current_snapshot_prospective_only
STATCAN_ACCOM_PRICE,Statistics Canada,1440,2018-01,2019-12,20,1,current_snapshot_prospective_only
STATCAN_TRAVELLERS,Statistics Canada,13056,2018-01,2026-06,4,17,current_snapshot_prospective_only
TORONTO_STR_PROGRAM,City of Toronto,797,2020-01,2026-08,1,13,current_snapshot_prospective_only
UK_CAA_AIRPORT_PASSENGERS,UK Civil Aviation Authority,51,2026-05,2026-05,51,1,current_release
EUROSTAT_TOUR_CE_OARC,Eurostat,2430,2025,2025,270,1,current_snapshot_prospective_only
EUROSTAT_TOUR_CE_OAR,Eurostat,1822,2025,2025,32,1,current_snapshot_prospective_only
EUROSTAT_TOUR_CE_OAW,Eurostat,3483,2025,2025,387,1,current_snapshot_prospective_only
EUROSTAT_TOUR_CE_OAM,Eurostat,96,2025,2025,32,1,current_snapshot_prospective_only
EUROSTAT_TOUR_CE_OASC,Eurostat,96,2025,2025,32,1,current_snapshot_prospective_only
EUROSTAT_TOUR_OCC_ARM,Eurostat,150,2026-07,2026-07,5,1,current_snapshot_prospective_only
EUROSTAT_TOUR_OCC_MNOR,Eurostat,10,2026-07,2026-07,5,1,current_snapshot_prospective_only
EUROSTAT_TOUR_OCC_NINAT,Eurostat,455,2025,2025,13,1,current_snapshot_prospective_only
EUROSTAT_TOUR_OCC_NINRAW,Eurostat,7965,2025,2025,13,1,current_snapshot_prospective_only
EUROSTAT_TOUR_OCC_NINATS,Eurostat,318,2025,2025,13,1,current_snapshot_prospective_only
EUROSTAT_TOUR_OCC_NIN2M,Eurostat,74016,2025,2025-12,435,1,current_snapshot_prospective_only
EUROSTAT_TOUR_OCC_NIN3,Eurostat,4599,2025,2025,461,1,current_snapshot_prospective_only
EUROSTAT_TOUR_OCC_NINC,Eurostat,2568,2025,2025,289,1,current_snapshot_prospective_only
EUROSTAT_TOUR_OCC_NINATDC,Eurostat,2589,2025,2025,13,1,current_snapshot_prospective_only
EUROSTAT_TOUR_OCC_NIN2DC,Eurostat,8173,2025,2025,178,1,current_snapshot_prospective_only
EUROSTAT_TOUR_OCC_ARNAT,Eurostat,390,2025,2025,13,1,current_snapshot_prospective_only
EUROSTAT_TOUR_OCC_ARN2,Eurostat,5280,2025,2025,178,1,current_snapshot_prospective_only
EUROSTAT_TOUR_OCC_ARNRAW,Eurostat,7965,2025,2025,13,1,current_snapshot_prospective_only
EUROSTAT_TOUR_OCC_ANOR,Eurostat,106,2025,2025,13,1,current_snapshot_prospective_only
EUROSTAT_TOUR_OCC_ANOR2,Eurostat,356,2025,2025,178,1,current_snapshot_prospective_only
EUROSTAT_TOUR_CAP_NAT,Eurostat,22,2026,2026,1,1,current_snapshot_prospective_only
EUROSTAT_TOUR_CAP_NUTS2,Eurostat,888,2026,2026,42,1,current_snapshot_prospective_only
EUROSTAT_TOUR_CAP_NATS,Eurostat,36,2026,2026,1,1,current_snapshot_prospective_only
EUROSTAT_TOUR_CAP_NATDC,Eurostat,132,2026,2026,1,1,current_snapshot_prospective_only
EUROSTAT_TOUR_CAP_NUTS2DC,Eurostat,5104,2026,2026,42,1,current_snapshot_prospective_only
EUROSTAT_AVIA_TF_CM,Eurostat,456,2026-07,2026-07,38,1,current_snapshot_prospective_only
EUROSTAT_AVIA_TF_AIRPM,Eurostat,8588,2026-07,2026-07,860,1,current_snapshot_prospective_only
EUROSTAT_AVIA_PAOC,Eurostat,6768,2026-04,2026-Q2,17,1,current_snapshot_prospective_only
EUROSTAT_AVIA_PAOA,Eurostat,37872,2026-04,2026-Q2,130,1,current_snapshot_prospective_only
EUROSTAT_AVIA_PAOCC,Eurostat,47124,2026-04,2026-Q2,17,1,current_snapshot_prospective_only
EUROSTAT_AVIA_PAOAC,Eurostat,45549,2026-04,2026-Q2,130,1,current_snapshot_prospective_only
EUROSTAT_AVIA_PAODIS,Eurostat,54096,2024,2024,35,1,current_snapshot_prospective_only
EUROSTAT_AVIA_PAEXCC,Eurostat,68688,2026-04,2026-Q2,15,1,current_snapshot_prospective_only
EUROSTAT_AVIA_PAEXAC,Eurostat,1071,2026-04,2026-Q2,68,1,current_snapshot_prospective_only
EUROSTAT_AVIA_PAR_IE,Eurostat,8242,2024-10,2024-Q4,188,1,current_snapshot_prospective_only
EUROSTAT_AVIA_PAR_ES,Eurostat,52231,2024-10,2024-Q4,1143,1,current_snapshot_prospective_only
EUROSTAT_AVIA_PAR_FR,Eurostat,39308,2024-10,2024-Q4,868,1,current_snapshot_prospective_only
EUROSTAT_AVIA_PAR_IT,Eurostat,48028,2024-10,2024-Q4,1078,1,current_snapshot_prospective_only
