region,lang,reviews_ltm_2024,reviews_ltm_2025,reviews_ltm_2026,share_pct_2024,share_pct_2025,share_pct_2026,growth_pct_24_26,growth_pct_25_26
APAC,de,12038,20621,32524,1.024097513003265,1.3500101474988053,1.6702331927777974,170.17777039375312,57.72270985888173
APAC,en,957085,1214226,1520068,81.4211968958905,79.49262505973931,78.06137095312265,58.82267510200243,25.188226903393595
APAC,es,14590,25408,41239,1.2412014217243428,1.6634041912443451,2.117782149703714,182.65250171350237,62.307147355163735
APAC,fr,9011,15046,22192,0.766584373622896,0.9850275291822426,1.1396450317957472,146.27677283320386,47.494350657982196
APAC,it,615,1158,1915,0.05231931969571424,0.07581163623508154,0.09834265662801261,211.3821138211382,65.3713298791019
APAC,other,55898,78192,108614,4.755358263985422,5.119053074692138,5.577748985375959,94.3074886400229,38.90679353386535
APAC,pt,494,875,1762,0.042025599885663144,0.05728426744878787,0.09048551487130978,256.68016194331983,101.37142857142858
APAC,zh_ja_ko,125743,171944,218959,10.697216612192188,11.256784093959292,11.24439151572481,74.13215845017218,27.343204764341888
APAC,ALL_NON_EN,218389,313244,427205,18.57880310410949,20.507374940260693,21.938629046877352,95.61653746296746,36.380904342940326
APAC,TOTAL,1175474,1527470,1947273,100.0,100.0,100.0,65.65853434444318,27.483551231775415
EMEA,de,337729,441019,556516,6.216545451064876,6.667705836516106,7.020748648907437,64.78182211181154,26.188667608425042
EMEA,en,2994542,3456477,3938424,55.12024862574051,52.258002187397096,49.685336947769024,31.52007886347896,13.943301228389494
EMEA,es,926933,1183361,1462199,17.061967212149145,17.891072825446376,18.446426793989403,57.7459212262375,23.563223733078907
EMEA,fr,404517,496810,581439,7.445905789045094,7.511202321531649,7.335165698150802,43.73660439487092,17.034479982287
EMEA,it,88642,113796,132904,1.6316248289998572,1.7204661326885844,1.6766554392585193,49.93344012996097,16.79145136911666
EMEA,other,542381,742500,1013213,9.983555271516567,11.225755769282522,12.782226927537486,86.80835058750213,36.459663299663305
EMEA,pt,42941,58260,86390,0.790410886285089,0.8808249577352185,1.0898563128088206,101.18301856035026,48.283556470992096
EMEA,zh_ja_ko,95059,122031,155648,1.7497419351988608,1.844969969402445,1.9635832315785078,63.73830989175144,27.547918151944994
EMEA,ALL_NON_EN,2438202,3157777,3988309,44.87975137425949,47.741997812602904,50.314663052230976,63.575823496166436,26.30116059493752
