quarter,subgeo_pp,part_NAM,part_EMEA,part_LatAm,part_APAC,shares_fy,variant,horizon
1Q16,-0.3544950735120118,-0.3060110000234489,-0.0565255035462954,0.26529720066110746,-0.25725577060337496,2025,panel_shares/panel_growth/median,history
2Q16,0.4401922695247845,-0.06634786237677216,0.25144166140742513,0.47382020178307305,-0.21872173128894146,2025,panel_shares/panel_growth/median,history
3Q16,-0.13550174903792503,-0.12461039225896965,0.06975829573298199,0.14122525218449292,-0.2218749046964303,2025,panel_shares/panel_growth/median,history
4Q16,-0.029157072934213046,-0.12976597595599307,-0.03294895550766573,0.320722800421304,-0.18716494189185828,2025,panel_shares/panel_growth/median,history
1Q17,-0.0036922434091362366,-0.09298933210480141,-0.1210680656928637,0.38933864983820926,-0.1789734954496804,2025,panel_shares/panel_growth/median,history
2Q17,-0.1474087075847827,-0.26303921665775387,-0.11406717285525902,0.3812198144997899,-0.15152213257155972,2025,panel_shares/panel_growth/median,history
3Q17,-0.16247401077400841,-0.18823549655048746,-0.2291304030865326,0.574709409967983,-0.31981752110497136,2025,panel_shares/panel_growth/median,history
4Q17,-0.7271010673331988,-0.23316426924057057,-0.5178901624204261,0.23871656456722784,-0.21476320023942994,2025,panel_shares/panel_growth/median,history
1Q18,-0.35268338632966545,-0.16535314222936104,-0.3163660993980696,0.33597943028287136,-0.2069435749851062,2025,panel_shares/panel_growth/median,history
2Q18,0.06705939411404285,-0.08845408240218709,0.022619367257751502,0.2807261697823987,-0.14783206052392028,2025,panel_shares/panel_growth/median,history
3Q18,0.378827098741722,-0.05094007384458289,0.10404360469039127,0.3849992487305685,-0.059275680834654884,2025,panel_shares/panel_growth/median,history
4Q18,0.04994304184414655,-0.12692946249702972,0.21272665058888288,0.13487601969740384,-0.17073016594511045,2025,panel_shares/panel_growth/median,history
1Q19,0.02678912926161814,-0.13239178138019686,0.17393148299258923,0.11626721084919146,-0.1310177831999657,2025,panel_shares/panel_growth/median,history
2Q19,-0.6357888650402845,-0.14499355382333998,-0.25712375672793153,-0.08206611880008166,-0.1516054356889314,2025,panel_shares/panel_growth/median,history
3Q19,-0.6093368369655426,-0.09020799019806641,-0.3027827043354167,-0.08942881756927554,-0.12691732486278395,2025,panel_shares/panel_growth/median,history
4Q19,-0.686715029508695,-0.06901636074385757,-0.40698981118958155,-0.16134204861785764,-0.04936680895739816,2025,panel_shares/panel_growth/median,history
1Q20,-0.5730463008923325,-0.1791461862122234,-0.35180236451932023,-0.08857497608489992,0.046477225924111076,2025,panel_shares/panel_growth/median,history
2Q20,0.3895272105392892,0.6392059063095199,-0.34327929432192394,-0.34456832871303694,0.43816892726473017,2025,panel_shares/panel_growth/median,history
3Q20,0.33472919100885823,0.5358925743677141,-0.020052317200616187,-0.39983922377739245,0.21872815761915276,2025,panel_shares/panel_growth/median,history
4Q20,0.15742599030615806,0.7483405804446753,-0.7425798302243234,-0.41358023658808557,0.5652454766738917,2020,panel_shares/panel_growth/median,history
1Q21,0.6249982814353876,0.7958704411775162,-0.5969242952470005,-0.4072640929763421,0.8333162284812141,2020,panel_shares/panel_growth/median,history
2Q21,1.9849514526233256,0.5762772430487296,0.9081979206514342,0.20437639224787946,0.29609989667528236,2020,panel_shares/panel_growth/median,history
3Q21,0.46765482226667004,0.2171646001886413,-0.15893485235121327,0.1835479418578885,0.2258771325713535,2020,panel_shares/panel_growth/median,history
4Q21,1.2189082552487247,-0.3805852267854487,0.817141024535498,0.3413973205669334,0.44095513693174193,2020,panel_shares/panel_growth/median,history
1Q22,0.6698080068929919,-0.34096120237292377,0.5541106109364147,0.3584908223002479,0.09816777602925308,2021,panel_shares/panel_growth/median,history
2Q22,-2.020239460147724,-1.1513080584401025,-0.8177621147272999,-0.03885004562292026,-0.012319241357401542,2021,panel_shares/panel_growth/median,history
3Q22,-0.8396513196526277,-0.7689063996407898,0.07111317433990363,-0.06435548167218759,-0.07750261267955391,2021,panel_shares/panel_growth/median,history
4Q22,-0.890931561199116,-0.2952248533987799,-0.10276973930518526,0.10803673906057869,-0.6009737075557295,2021,panel_shares/panel_growth/median,history
1Q23,-0.9800783665779114,-0.29376924689889444,0.06531678800658851,-0.03115436788981397,-0.7204715397957915,2022,panel_shares/panel_growth/median,history
2Q23,-1.0943263375789778,-0.3830600272547411,-0.07346633620582126,-0.09654681396556712,-0.5412531601528483,2022,panel_shares/panel_growth/median,history
3Q23,-0.6379440309805877,-0.4168902600248923,0.06428647674635973,0.10012600633351341,-0.3854662540355686,2022,panel_shares/panel_growth/median,history
4Q23,-0.6770912247744585,-0.262732169184874,-0.05075406288621142,-0.09202793502931207,-0.27157705767406093,2022,panel_shares/panel_growth/median,history
1Q24,-0.4871360357958263,-0.1783606388416549,-0.19800358209562166,0.15682933388725706,-0.2676011487458068,2023,panel_shares/panel_growth/median,history
2Q24,-0.3057849946061668,-0.18727654197909002,-0.06625585404168612,0.03970991926360901,-0.09196251784899964,2023,panel_shares/panel_growth/median,history
3Q24,-0.13853519716602397,-0.1929092943977645,0.075412728851472,-0.0930137968025327,0.07197516518280121,2023,panel_shares/panel_growth/median,history
4Q24,-0.49756023152305173,-0.26138953974650625,-0.22087276495893732,0.04117576238976997,-0.05647368920737815,2023,panel_shares/panel_growth/median,history
