country,region,usd_level,n_markets_priced
australia,APAC,243.43682395023697,11.0
austria,EMEA,145.26708333333332,1.0
belgium,EMEA,168.96557771662162,3.0
belize,LatAm,202.585,1.0
brazil,LatAm,75.80796447768888,2.0
canada,NAM,196.96046960238917,8.0
china,APAC,136.52954496507243,1.0
czech-republic,EMEA,124.71705581055653,1.0
denmark,EMEA,272.4635139167802,1.0
france,EMEA,216.69800041227077,4.0
germany,EMEA,210.63388375589287,2.0
greece,EMEA,177.1330303934835,4.0
hungary,EMEA,102.38840854233814,1.0
ireland,EMEA,298.45412804999995,1.0
italy,EMEA,179.52359155056666,10.0
japan,APAC,130.5811861800072,1.0
latvia,EMEA,97.61948,1.0
mexico,LatAm,120.79796685378862,1.0
norway,EMEA,198.81731901509445,1.0
portugal,EMEA,165.16996098136582,2.0
singapore,APAC,205.19444299851452,1.0
south-africa,EMEA,108.07504159890172,1.0
spain,EMEA,249.01412455036947,9.0
sweden,EMEA,244.24415263706405,1.0
taiwan,APAC,93.8024045775968,1.0
thailand,APAC,53.72317702499727,1.0
the-netherlands,EMEA,350.99120432548614,3.0
turkey,EMEA,100.24533541011404,1.0
united-kingdom,EMEA,305.8035686112114,4.0
united-states,NAM,297.1509320322768,34.0
