region,period,lang,reviews,tot,share_pct,reviews_lag4,share_pct_lag4,yoy_pct,share_chg_pp
GLOBAL,2021Q1,de,3457,457133,0.7562350563184018,,,,
GLOBAL,2021Q1,en,329064,457133,71.98430216151536,,,,
GLOBAL,2021Q1,es,41741,457133,9.131040638063759,,,,
GLOBAL,2021Q1,fr,20545,457133,4.494315658681391,,,,
GLOBAL,2021Q1,it,3427,457133,0.7496724148114444,,,,
GLOBAL,2021Q1,other,40439,457133,8.846221996661804,,,,
GLOBAL,2021Q1,pt,11123,457133,2.43320871606294,,,,
GLOBAL,2021Q1,zh_ja_ko,7337,457133,1.6050033578849043,,,,
GLOBAL,2021Q2,de,13442,727225,1.8483963010072535,,,,
GLOBAL,2021Q2,en,531792,727225,73.12619890680325,,,,
GLOBAL,2021Q2,es,71294,727225,9.803568359173571,,,,
GLOBAL,2021Q2,fr,31919,727225,4.389150538004056,,,,
GLOBAL,2021Q2,it,6997,727225,0.9621506411358245,,,,
GLOBAL,2021Q2,other,53594,727225,7.3696586338478465,,,,
GLOBAL,2021Q2,pt,10484,727225,1.4416446079273952,,,,
GLOBAL,2021Q2,zh_ja_ko,7703,727225,1.059232012100794,,,,
GLOBAL,2021Q3,de,38574,1282750,3.0071331124537126,,,,
GLOBAL,2021Q3,en,862063,1282750,67.20428766322354,,,,
GLOBAL,2021Q3,es,176237,1282750,13.738998245955955,,,,
GLOBAL,2021Q3,fr,74960,1282750,5.843695186123563,,,,
GLOBAL,2021Q3,it,17812,1282750,1.3885792243227442,,,,
GLOBAL,2021Q3,other,88169,1282750,6.8734359773923215,,,,
GLOBAL,2021Q3,pt,15539,1282750,1.2113817969206782,,,,
GLOBAL,2021Q3,zh_ja_ko,9396,1282750,0.7324887936074839,,,,
GLOBAL,2021Q4,de,25166,1177785,2.13672274651146,,,,
GLOBAL,2021Q4,en,822887,1177785,69.86733571916776,,,,
GLOBAL,2021Q4,es,139075,1177785,11.808182308316034,,,,
GLOBAL,2021Q4,fr,58246,1177785,4.945384768866983,,,,
GLOBAL,2021Q4,it,12159,1177785,1.0323615940090933,,,,
GLOBAL,2021Q4,other,85668,1177785,7.273653510615265,,,,
GLOBAL,2021Q4,pt,22596,1177785,1.9185165373985915,,,,
GLOBAL,2021Q4,zh_ja_ko,11988,1177785,1.017842815114813,,,,
GLOBAL,2022Q1,de,20204,1136483,1.777765263536718,3457.0,0.7562350563184018,484.4373734451837,1.021530207218316
GLOBAL,2022Q1,en,801397,1136483,70.51552904882871,329064.0,71.98430216151536,143.53833904650764,-1.4687731126866481
GLOBAL,2022Q1,es,129482,1136483,11.393219256249324,41741.0,9.131040638063759,210.20339713950312,2.2621786181855654
GLOBAL,2022Q1,fr,50791,1136483,4.46913856168548,20545.0,4.494315658681391,147.21830128985152,-0.025177096995910198
GLOBAL,2022Q1,it,11891,1136483,1.0462980968479072,3427.0,0.7496724148114444,246.9798657718121,0.2966256820364628
GLOBAL,2022Q1,other,84945,1136483,7.4743748916613795,40439.0,8.846221996661804,110.05712307426,-1.3718471050004242
GLOBAL,2022Q1,pt,25245,1136483,2.221326671846389,11123.0,2.43320871606294,126.96215049896611,-0.211882044216551
