region,quarter,q,mix_pp,region_growth_pct,n_countries,n_imputed,share_imputed
APAC,3Q26,2026Q3,-0.4751278135575965,15.890037510805454,6,1,0.3014685741135071
APAC,4Q26,2026Q4,-0.48253889918691284,14.234779097703829,6,1,0.30743555794873256
APAC,1Q27,2027Q1,-0.4794467993988527,14.790091456872062,6,1,0.31344892460985374
APAC,2Q27,2027Q2,-0.4948133528669074,10.679299554464018,6,1,0.31936576854980353
APAC,3Q27,2027Q3,-0.48974456840913394,10.770028746000882,6,1,0.32539828116383107
APAC,4Q27,2027Q4,-0.48227095534985054,10.791677484994143,6,1,0.3312741301448404
EMEA,3Q26,2026Q3,0.07746659443748083,7.2818036311255145,21,2,0.02113683081597998
EMEA,4Q26,2026Q4,0.05610665467616904,6.696711246509339,21,2,0.021108592765592703
EMEA,1Q27,2027Q1,0.03379744672564744,7.0908073955604225,21,2,0.021076815244921103
EMEA,2Q27,2027Q2,0.011737035902203985,5.405663676142125,21,2,0.02104124848076214
EMEA,3Q27,2027Q3,-0.011380595772947366,5.583171583785853,21,2,0.021000616124464182
EMEA,4Q27,2027Q4,-0.03451388105679687,5.721839817651456,21,2,0.020954932496585133
LatAm,3Q26,2026Q3,-0.20973769155496758,17.84384797380935,5,2,0.3817971931703027
LatAm,4Q26,2026Q4,-0.16223956464144207,16.099261175370245,5,2,0.39508345268805567
LatAm,1Q27,2027Q1,-0.11744533543606162,16.792996509584917,5,2,0.4084941575085834
LatAm,2Q27,2027Q2,-0.08329720617799019,12.28207442225511,5,2,0.4217489351377605
LatAm,3Q27,2027Q3,-0.048399693232958896,12.421034781745227,5,2,0.4354550677004985
LatAm,4Q27,2027Q4,-0.018516345250518818,12.459707873317125,5,2,0.44905470452452895
NAM,3Q26,2026Q3,-0.23447178720545914,5.589413371284494,2,0,0.0
NAM,4Q26,2026Q4,-0.24662922132832055,3.329157691756899,2,0,0.0
NAM,1Q27,2027Q1,-0.2562975754834995,2.360370906187961,2,0,0.0
NAM,2Q27,2027Q2,-0.2636958749641316,2.392727741759773,2,0,0.0
NAM,3Q27,2027Q3,-0.27115418368418576,2.4259332678319123,2,0,0.0
NAM,4Q27,2027Q4,-0.2786612451731174,2.459987932593985,2,0,0.0
