market_key,dump_date,country,region,currency,final_quarter,final_quarter_day_coverage,reviews_2021q1_2026q2
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,2026-06-29,argentina,LatAm,ARS,2026Q2,0.989010989010989,1031172
australia_nsw_mid-north-coast,2026-06-19,australia,APAC,AUD,2026Q2,0.8791208791208791,227123
australia_nsw_northern-rivers,2026-06-24,australia,APAC,AUD,2026Q2,0.9340659340659341,241396
australia_nsw_sydney,2026-06-16,australia,APAC,AUD,2026Q2,0.8461538461538461,647784
australia_qld_brisbane,2026-06-15,australia,APAC,AUD,2026Q2,0.8351648351648352,277161
australia_qld_sunshine-coast,2026-06-30,australia,APAC,AUD,2026Q2,1.0,331093
australia_sa_barossa-valley,2026-06-29,australia,APAC,AUD,2026Q2,0.989010989010989,19686
australia_tas_tasmania,2026-06-15,australia,APAC,AUD,2026Q2,0.8351648351648352,518690
australia_vic_barwon-south-west-vic,2026-06-29,australia,APAC,AUD,2026Q2,0.989010989010989,335305
australia_vic_melbourne,2026-06-16,australia,APAC,AUD,2026Q2,0.8461538461538461,805319
australia_vic_mornington-peninsula,2026-06-22,australia,APAC,AUD,2026Q2,0.9120879120879121,176243
australia_wa_western-australia,2026-06-28,australia,APAC,AUD,2026Q2,0.978021978021978,648948
austria_vienna_vienna,2026-06-20,austria,EMEA,EUR,2026Q2,0.8901098901098901,488172
belgium_bru_brussels,2026-06-27,belgium,EMEA,EUR,2026Q2,0.967032967032967,276717
belgium_vlg_antwerp,2026-06-29,belgium,EMEA,EUR,2026Q2,0.989010989010989,111402
belgium_vlg_ghent,2026-06-29,belgium,EMEA,EUR,2026Q2,0.989010989010989,84149
belize_bz_belize,2026-06-29,belize,LatAm,BZD,2026Q2,0.989010989010989,77319
brazil_rj_rio-de-janeiro,2026-06-24,brazil,LatAm,BRL,2026Q2,0.9340659340659341,1218265
brazil_sp_são-paulo,2026-06-14,brazil,LatAm,BRL,2026Q2,0.8241758241758241,1451267
canada_bc_vancouver,2026-06-15,canada,NAM,CAD,2026Q2,0.8351648351648352,260084
canada_bc_victoria,2026-06-29,canada,NAM,CAD,2026Q2,0.989010989010989,211815
canada_mb_winnipeg,2026-06-22,canada,NAM,CAD,2026Q2,0.9120879120879121,92737
canada_nb_new-brunswick,2026-06-30,canada,NAM,CAD,2026Q2,1.0,192428
canada_on_ottawa,2026-06-24,canada,NAM,CAD,2026Q2,0.9340659340659341,118715
canada_on_toronto,2026-06-15,canada,NAM,CAD,2026Q2,0.8351648351648352,499541
canada_qc_montreal,2026-06-15,canada,NAM,CAD,2026Q2,0.8351648351648352,371841
canada_qc_quebec-city,2026-06-19,canada,NAM,CAD,2026Q2,0.8791208791208791,148379
