market_key,country,region,q,rev,n_mkts,rev_prev,stays_yoy_pct,quarter
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina,LatAm,2022Q1,14173,1,3809,272.09241270674715,1Q22
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina,LatAm,2022Q2,18744,1,2919,542.1377183967112,2Q22
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina,LatAm,2022Q3,24203,1,4377,452.95864747543976,3Q22
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina,LatAm,2022Q4,33551,1,9977,236.28345193946078,4Q22
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina,LatAm,2023Q1,32101,1,15512,106.94301186178441,1Q23
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina,LatAm,2023Q2,37998,1,20776,82.8937235271467,2Q23
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina,LatAm,2023Q3,48111,1,26811,79.44500391630301,3Q23
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina,LatAm,2023Q4,59756,1,37758,58.2605010858626,4Q23
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina,LatAm,2024Q1,52751,1,36647,43.943569732856716,1Q24
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina,LatAm,2024Q2,43688,1,43127,1.3008092378324454,2Q24
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina,LatAm,2024Q3,55354,1,55079,0.4992828482724754,3Q24
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina,LatAm,2024Q4,69145,1,68397,1.0936152170416769,4Q24
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina,LatAm,2025Q1,63410,1,60435,4.922644163150491,1Q25
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina,LatAm,2025Q2,66892,1,49996,33.79470357628611,2Q25
