quarter,q,base_q,mix_pp,region_growth_pct,n_countries,share_src,growth_src,share_kept_from_panel,n_growth_eurostat,share_imputed_price,price_basis
1Q16,2016Q1,2015Q1,-0.15102313345767282,99.53952139231328,21,panel,panel,,0,0.01524655547498187,median
2Q16,2016Q2,2015Q2,0.671794238090273,62.78159335458614,21,panel,panel,,0,0.014576597178576567,median
3Q16,2016Q3,2015Q3,0.18637810802752952,58.68841690387562,21,panel,panel,,0,0.015617473177140354,median
4Q16,2016Q4,2015Q4,-0.08803202435604396,60.827061953629794,21,panel,panel,,0,0.015317369821360699,median
1Q17,2017Q1,2016Q1,-0.32346600199006925,55.378558100921424,21,panel,panel,,0,0.015740717908251753,median
2Q17,2017Q2,2016Q2,-0.30476122791458504,55.74379507626842,21,panel,panel,,0,0.016342634087501362,median
3Q17,2017Q3,2016Q3,-0.6121836918481671,39.84614623528247,21,panel,panel,,0,0.016792198476303553,median
4Q17,2017Q4,2016Q4,-1.3836832970727575,27.63304111618718,21,panel,panel,,0,0.016098198585606568,median
1Q18,2018Q1,2017Q1,-0.8452573909712546,32.587795528677894,21,panel,panel,,0,0.016890074045856053,median
2Q18,2018Q2,2017Q2,0.06043374239554922,24.82451668088252,21,panel,panel,,0,0.016759412067453253,median
3Q18,2018Q3,2017Q3,0.2779805611763386,27.504270695801754,21,panel,panel,,0,0.017880507614012237,median
4Q18,2018Q4,2017Q4,0.5683566412739038,35.35455193525391,21,panel,panel,,0,0.018432986479281613,median
1Q19,2019Q1,2018Q1,0.46470488399925625,29.68522207597022,21,panel,panel,,0,0.019895277848400686,median
2Q19,2019Q2,2018Q2,-0.6869754887836921,25.4946111025339,21,panel,panel,,0,0.019257090220881477,median
3Q19,2019Q3,2018Q3,-0.8089656862246497,17.524660012840716,21,panel,panel,,0,0.019652967122762256,median
4Q19,2019Q4,2018Q4,-1.0873830875448354,15.150643746182341,21,panel,panel,,0,0.01940162939575913,median
1Q20,2020Q1,2019Q1,-0.939934934042852,-12.470421676153249,21,panel,panel,,0,0.0191905723336101,median
2Q20,2020Q2,2019Q2,-0.9171632524631157,-94.06240375157722,21,panel,panel,,0,0.019157782833752274,median
3Q20,2020Q3,2019Q3,-0.053575175570863554,-57.483010111932764,21,panel,panel,,0,0.02009583958032887,median
4Q20,2020Q4,2019Q4,-2.664427853168516,-76.97039167165487,21,panel,panel,,0,0.01911767428370431,median
1Q21,2021Q1,2020Q1,-2.141805707284883,-74.97846537072519,21,panel,panel,,0,0.019714129216866785,median
2Q21,2021Q2,2020Q2,3.2586770303772106,407.54546990258456,21,panel,panel,,0,0.0383655235842859,median
3Q21,2021Q3,2020Q3,-0.5702692561901035,76.40215198386014,21,panel,panel,,0,0.022506164537099305,median
4Q21,2021Q4,2020Q4,2.9319585815862137,266.06161772034847,21,panel,panel,,0,0.027938730538059238,median
1Q22,2022Q1,2021Q1,1.778272125424718,324.38396825268796,21,panel,panel,,0,0.03512691665524,median
2Q22,2022Q2,2021Q2,-2.6243922154647215,256.4863964317644,21,panel,panel,,0,0.02464378676361429,median
3Q22,2022Q3,2021Q3,0.22821901112020093,55.2370567255049,21,panel,panel,,0,0.020292373747699856,median
4Q22,2022Q4,2021Q4,-0.32981242217097195,34.48633960047003,21,panel,panel,,0,0.01938454759106933,median
1Q23,2023Q1,2022Q1,0.1921625618296785,36.69319171549211,21,panel,panel,,0,0.018358140790454378,median
2Q23,2023Q2,2022Q2,-0.21613860393941975,23.20108233180979,21,panel,panel,,0,0.017857482503487725,median
3Q23,2023Q3,2022Q3,0.1891313770869818,11.821017972786144,21,panel,panel,,0,0.018888187232980948,median
4Q23,2023Q4,2022Q4,-0.14931889710337876,14.612667373858592,21,panel,panel,,0,0.01740098265510276,median
