market_key,dump_date,period,lang,n_reviews,n_priced,n_listings,price_mean_local,price_median_local,pp_mean_local,pp_median_local,entire_share,country,region,currency,usd_per_unit,en_price_median_local,en_pp_median_local,en_n_reviews,rel_price_vs_en,rel_pp_vs_en,price_median_usd,market_reviews_ltm,lang_share_pct
brazil_sp_são-paulo,2026-06-14,ltm0,de,5496,5464,4551,363.9871650805271,318.36,140.07424764399013,125.75,0.9253731343283582,brazil,LatAm,BRL,0.1945338371507536,376.0,148.96,28838,0.8467021276595745,0.8441863587540279,61.93179239531391,595881,0.9223318078609656
brazil_sp_são-paulo,2026-06-14,ltm0,en,28838,28670,12705,461.8668315312173,376.0,163.7317834550516,148.96,0.9490114464099896,brazil,LatAm,BRL,0.1945338371507536,376.0,148.96,28838,1.0,1.0,73.14472276868335,595881,4.8395568913927445
brazil_sp_são-paulo,2026-06-14,ltm0,es,142478,141519,27304,353.96703212996135,312.0,127.93895097155632,117.5,0.9188931029638996,brazil,LatAm,BRL,0.1945338371507536,376.0,148.96,28838,0.8297872340425532,0.7888023630504833,60.69455719103512,595881,23.910478770090002
brazil_sp_são-paulo,2026-06-14,ltm0,fr,1679,1671,1486,367.6922381807301,320.0,135.02038251760874,125.6,0.9142346634901728,brazil,LatAm,BRL,0.1945338371507536,376.0,148.96,28838,0.851063829787234,0.8431793770139634,62.25082788824115,595881,0.28176766837673967
brazil_sp_são-paulo,2026-06-14,ltm0,it,20970,20843,11198,352.1513016360409,282.5,115.5985170110606,104.91,0.8006200810875268,brazil,LatAm,BRL,0.1945338371507536,376.0,148.96,28838,0.7513297872340425,0.7042830290010741,54.95580899508789,595881,3.519159026718422
brazil_sp_são-paulo,2026-06-14,ltm0,other,97998,97457,23574,334.55060560041863,303.51,129.71707850685516,119.9,0.9067020570670206,brazil,LatAm,BRL,0.1945338371507536,376.0,148.96,28838,0.8072074468085106,0.8049140708915145,59.04296491362522,595881,16.445901111127892
brazil_sp_são-paulo,2026-06-14,ltm0,pt,296801,295050,30223,340.17374360277915,308.0,130.07900007852422,120.0,0.9232944968108204,brazil,LatAm,BRL,0.1945338371507536,376.0,148.96,28838,0.8191489361702128,0.8055853920515574,59.91642184243211,595881,49.8087705431118
brazil_sp_são-paulo,2026-06-14,ltm0,zh_ja_ko,1621,1612,1360,438.2548449131514,377.0,160.80622937982716,147.6016666666667,0.92041949413942,brazil,LatAm,BRL,0.1945338371507536,376.0,148.96,28838,1.002659574468085,0.9908812209094164,73.33925660583411,595881,0.27203418132143836
united-kingdom_england_london,2026-06-19,ltm0,de,20835,18982,11322,192.6091892319039,156.0,58.2805086207774,51.364999999999995,0.6228070175438597,united-kingdom,EMEA,GBP,1.3458416666666666,170.0,56.5,419013,0.9176470588235294,0.9091150442477876,209.9513,572867,3.63696983767611
united-kingdom_england_london,2026-06-19,ltm0,en,419013,381321,45161,225.87315678916187,170.0,66.48865065463194,56.5,0.6589550448591853,united-kingdom,EMEA,GBP,1.3458416666666666,170.0,56.5,419013,1.0,1.0,228.79308333333333,572867,73.14315539208927
