market_key,dump_date,basis,period,lang,reviews
australia_nsw_mid-north-coast,2026-06-19,quarter,2021Q1,en,7466
australia_nsw_mid-north-coast,2026-06-19,quarter,2021Q1,other,279
australia_nsw_mid-north-coast,2026-06-19,quarter,2021Q1,zh_ja_ko,5
australia_nsw_mid-north-coast,2026-06-19,quarter,2021Q2,en,7137
australia_nsw_mid-north-coast,2026-06-19,quarter,2021Q2,other,323
australia_nsw_mid-north-coast,2026-06-19,quarter,2021Q2,zh_ja_ko,3
australia_nsw_mid-north-coast,2026-06-19,quarter,2021Q3,en,2145
australia_nsw_mid-north-coast,2026-06-19,quarter,2021Q3,other,85
australia_nsw_mid-north-coast,2026-06-19,quarter,2021Q4,de,1
australia_nsw_mid-north-coast,2026-06-19,quarter,2021Q4,en,6600
australia_nsw_mid-north-coast,2026-06-19,quarter,2021Q4,es,1
australia_nsw_mid-north-coast,2026-06-19,quarter,2021Q4,other,270
australia_nsw_mid-north-coast,2026-06-19,quarter,2021Q4,zh_ja_ko,4
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q1,de,1
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q1,en,8331
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q1,es,2
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q1,other,281
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q1,zh_ja_ko,4
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q2,de,2
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q2,en,7577
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q2,es,4
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q2,fr,2
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q2,other,337
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q2,zh_ja_ko,5
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q3,de,13
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q3,en,7459
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q3,es,10
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q3,fr,8
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q3,it,1
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q3,other,352
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q3,pt,1
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q3,zh_ja_ko,14
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q4,de,48
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q4,en,9209
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q4,es,15
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q4,fr,10
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q4,other,388
australia_nsw_mid-north-coast,2026-06-19,quarter,2022Q4,zh_ja_ko,21
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q1,de,59
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q1,en,9689
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q1,es,22
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q1,fr,14
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q1,it,2
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q1,other,349
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q1,zh_ja_ko,34
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q2,de,27
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q2,en,8351
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q2,es,16
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q2,fr,16
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q2,other,308
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q2,pt,1
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q2,zh_ja_ko,33
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q3,de,22
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q3,en,8263
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q3,es,16
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q3,fr,13
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q3,other,317
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q3,pt,1
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q3,zh_ja_ko,83
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q4,de,79
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q4,en,10807
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q4,es,29
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q4,fr,25
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q4,other,371
australia_nsw_mid-north-coast,2026-06-19,quarter,2023Q4,zh_ja_ko,62
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q1,de,123
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q1,en,12222
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q1,es,46
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q1,fr,21
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q1,it,3
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q1,other,445
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q1,pt,1
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q1,zh_ja_ko,63
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q2,de,39
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q2,en,9749
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q2,es,22
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q2,fr,16
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q2,it,1
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q2,other,364
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q2,pt,1
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q2,zh_ja_ko,62
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q3,de,29
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q3,en,10080
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q3,es,33
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q3,fr,16
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q3,it,3
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q3,other,362
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q3,zh_ja_ko,96
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q4,de,128
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q4,en,13459
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q4,es,48
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q4,fr,27
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q4,it,4
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q4,other,481
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q4,pt,2
australia_nsw_mid-north-coast,2026-06-19,quarter,2024Q4,zh_ja_ko,88
australia_nsw_mid-north-coast,2026-06-19,quarter,2025Q1,de,180
australia_nsw_mid-north-coast,2026-06-19,quarter,2025Q1,en,13270
australia_nsw_mid-north-coast,2026-06-19,quarter,2025Q1,es,42
australia_nsw_mid-north-coast,2026-06-19,quarter,2025Q1,fr,49
australia_nsw_mid-north-coast,2026-06-19,quarter,2025Q1,it,2
australia_nsw_mid-north-coast,2026-06-19,quarter,2025Q1,other,448
australia_nsw_mid-north-coast,2026-06-19,quarter,2025Q1,zh_ja_ko,101
australia_nsw_mid-north-coast,2026-06-19,quarter,2025Q2,de,44
australia_nsw_mid-north-coast,2026-06-19,quarter,2025Q2,en,11014
australia_nsw_mid-north-coast,2026-06-19,quarter,2025Q2,es,24
australia_nsw_mid-north-coast,2026-06-19,quarter,2025Q2,fr,23
australia_nsw_mid-north-coast,2026-06-19,quarter,2025Q2,it,2
australia_nsw_mid-north-coast,2026-06-19,quarter,2025Q2,other,379
australia_nsw_mid-north-coast,2026-06-19,quarter,2025Q2,zh_ja_ko,56
australia_nsw_mid-north-coast,2026-06-19,quarter,2025Q3,de,39
