q,eurostat_nights_all,eurostat_nights_panel18,panel18_share_of_eurostat
2018Q1,60116660.0,54277874.0,0.902875741932436
2018Q2,108348833.0,94981333.0,0.876625343994245
2018Q3,207229137.0,174107262.0,0.840167866934658
2018Q4,77670034.0,69800909.0,0.8986851866190763
2019Q1,67026311.0,60190860.0,0.8980183916134069
2019Q2,131659025.0,115435231.0,0.8767741596142004
2019Q3,235270849.0,197636185.0,0.8400368589650475
2019Q4,90538929.0,81114139.0,0.8959034516522721
2020Q1,64837398.0,57757574.0,0.8908064756084135
2020Q2,24348293.0,20710390.0,0.8505889920085979
2020Q3,155254755.0,133799677.0,0.8618072728271672
2020Q4,35523957.0,32078286.0,0.9030043021389762
2021Q1,28855019.0,25846963.0,0.8957527631501473
2021Q2,58541190.0,50905171.0,0.8695616026937615
2021Q3,206536438.0,173707878.0,0.8410519697255552
2021Q4,79984154.0,72287956.0,0.9037784659196371
2022Q1,74889631.0,66599891.0,0.8893072393426534
2022Q2,146940712.0,128631601.0,0.8753979700329749
2022Q3,278412682.0,233546810.0,0.8388511914123222
2022Q4,110627494.0,98377171.0,0.8892651134265049
2023Q1,99819174.0,88566499.0,0.8872694037720649
2023Q2,183871908.0,160872196.0,0.8749144866653583
2023Q3,317305753.0,264868041.0,0.8347407460967151
2023Q4,135751496.0,121004214.0,0.8913656023356089
2024Q1,128161440.0,114283099.0,0.8917120391281497
2024Q2,213399268.0,186643221.0,0.8746197807951244
2024Q3,374140088.0,315709065.0,0.8438258158532319
2024Q4,159435120.0,141509010.0,0.8875648602390741
2025Q1,136438888.0,121020990.0,0.8869977744175106
2025Q2,251105848.0,219432840.0,0.8738659085311307
2025Q3,411257503.0,346641332.0,0.8428814780796838
2025Q4,176719559.0,155845509.0,0.8818803639047107
2026Q1,149735201.0,132258844.0,0.8832849130779876
