route,period,basis,panel,n_markets,n_pairs,markets,window,weighting,wedge_pp,capacity_yoy_pct,d_bedrooms,d_mean_log_capacity,size_pp,los_pp,panel_nights_yoy_pct,note
10-K annual route (05/07),2023,"Inside Airbnb listing dumps, quote-basis hedonic, POOLED sums",Inside Airbnb repo dumps,0.0,0.0,,,,,,,,0.0,,,"NOT MEASURED: no eligible year-ago pair with date_b in 2023; 07_assemble.py fills 0.0, so the 2023 term is folded into the plug"
10-K annual route (05/07),2024,"Inside Airbnb listing dumps, quote-basis hedonic, POOLED sums",Inside Airbnb repo dumps,1.0,3.0,rome,2024-03-22..2024-09-11,"estimated_occupancy_l365d within market; nights-share ACROSS markets, both periods",0.8744421869186354,0.2824529593451919,0.0105502075069892,0.0073192082824351,0.4410509947887275,,21.461045817885903,this is the term 07_assemble.py carries into the decomposition
10-K annual route (05/07),2025,"Inside Airbnb listing dumps, quote-basis hedonic, POOLED sums",Inside Airbnb repo dumps,4.0,11.0,austin|nashville|paris|rome,2025-03-03..2025-12-16,"estimated_occupancy_l365d within market; nights-share ACROSS markets, both periods",-0.794648861455773,-0.9018934668329704,-0.0092539653359497,-0.0030538141745537,-0.2513387080576912,,26.552077906651395,this is the term 07_assemble.py carries into the decomposition
10-K annual route (05/07),2026,"Inside Airbnb listing dumps, quote-basis hedonic, POOLED sums",Inside Airbnb repo dumps,12.0,51.0,austin|chicago|london|los-angeles|mexico-city|nashville|new-orleans|new-york-city|paris|rome|san-diego|sydney,2026-01-15..2026-08-30,"estimated_occupancy_l365d within market; nights-share ACROSS markets, both periods",1.2555441014878044,1.6021966687419065,0.0208573889826637,0.0144317547546768,0.8722883015478189,,-0.3939006979042592,this is the term 07_assemble.py carries into the decomposition
"10-K annual route, REWEIGHTED",2024,"same pairs, same hedonic, FIXED base-period market weights",Inside Airbnb repo dumps,1.0,3.0,rome,,each market held at its base-period share of panel nights,0.8777473970873824,,0.010641218701810392,0.007393244910402693,0.4453010683402203,,21.461045817885903,all 3 pairs positive: True; between-market part of pooled d_bedrooms -0.00009
"10-K annual route, REWEIGHTED",2025,"same pairs, same hedonic, FIXED base-period market weights",Inside Airbnb repo dumps,4.0,11.0,austin|nashville|paris|rome,,each market held at its base-period share of panel nights,1.444630347652089,,0.017648844847533,0.01655162787901498,0.9122624899723597,,26.552077906651395,all 11 pairs positive: True; between-market part of pooled d_bedrooms -0.02690
"10-K annual route, REWEIGHTED",2026,"same pairs, same hedonic, FIXED base-period market weights",Inside Airbnb repo dumps,12.0,51.0,austin|chicago|london|los-angeles|mexico-city|nashville|new-orleans|new-york-city|paris|rome|san-diego|sydney,,each market held at its base-period share of panel nights,1.451027975359477,,0.025296155666033392,0.01627284722958754,1.0092939006411061,,-0.3939006979042592,all 51 pairs positive: False; between-market part of pooled d_bedrooms -0.00444
H route (13/H),2023,booked capacity per reviewed stay x 0.592 quote-basis elasticity,"Inside Airbnb reviews, 123 markets",123.0,,"123 markets, fixed-2019 weights",2023Q1..2023Q4,fixed 2019 market shares of reviews; GBV-weighted across quarters,,0.6535088906133724,,,0.3867649566647435,0.3118522271690239,,"9,896,695 reviews in year; I4 series check vs refreshed dumps r 0.97, RMSE 0.062pp"
H route (13/H),2024,booked capacity per reviewed stay x 0.592 quote-basis elasticity,"Inside Airbnb reviews, 123 markets",123.0,,"123 markets, fixed-2019 weights",2024Q1..2024Q4,fixed 2019 market shares of reviews; GBV-weighted across quarters,,1.420391280492525,,,0.8406275414723942,0.2744901699805688,,"12,275,900 reviews in year; I4 series check vs refreshed dumps r 0.97, RMSE 0.062pp"
H route (13/H),2025,booked capacity per reviewed stay x 0.592 quote-basis elasticity,"Inside Airbnb reviews, 123 markets",123.0,,"123 markets, fixed-2019 weights",2025Q1..2025Q4,fixed 2019 market shares of reviews; GBV-weighted across quarters,,1.249486723973906,,,0.7394814142426782,0.2910261400642116,,"15,130,109 reviews in year; I4 series check vs refreshed dumps r 0.97, RMSE 0.062pp"
as filed in 07_full_decomposition.csv,2023,05 pooled size + 03 LOS,,,,,,,,,,,0.0,0.6174491393177295,,within-region ex-FX 3.097pp; plug 2.479pp
