base_quarter,country,share_panel,share_eurostat,delta
2021Q1,austria,0.014373401947103945,0.008129171704910412,-0.0062442302421935325
2021Q1,belgium,0.024383161664475437,0.028051526242011206,0.0036683645775357696
2021Q1,czech-republic,0.015470361916130958,0.00497447822644733,-0.010495883689683627
2021Q1,denmark,0.0053073504383806935,0.010760348414538849,0.005452997976158155
2021Q1,france,0.25107477879318274,0.4039913525328613,0.15291657373967854
2021Q1,germany,0.029343679171472587,0.05376817471480956,0.024424495543336974
2021Q1,greece,0.05682413957202429,0.01150814746338439,-0.0453159921086399
2021Q1,hungary,0.016357608949902805,0.005435359326529467,-0.010922249623373338
2021Q1,ireland,0.04386226699683011,0.0046401447892650645,-0.03922212220756505
2021Q1,italy,0.09574202082610765,0.0389524938069282,-0.05678952701917945
2021Q1,latvia,0.008057816243073423,0.002358521697152539,-0.005699294545920884
2021Q1,malta,0.008057816243073423,0.002670806613138684,-0.00538700962993474
2021Q1,norway,0.0032505504964550447,0.01082355842971904,0.007573007933263995
2021Q1,portugal,0.0486050056864469,0.024708766216616235,-0.023896239469830664
2021Q1,south-africa,0.0755853813952363,0.0755853813952363,0.0
2021Q1,spain,0.15500205679994192,0.1324699084564042,-0.022532148343537728
2021Q1,sweden,0.006154268061526549,0.014284378554138095,0.008130110492611546
2021Q1,switzerland,0.027069100412166577,0.04421331563571125,0.017144215223544673
2021Q1,the-netherlands,0.015792997201138904,0.022987928594868125,0.007194931393729221
2021Q1,turkey,0.04061978238250026,0.04061978238250026,0.0
2021Q1,united-kingdom,0.05906645480282951,0.05906645480282951,0.0
2021Q2,austria,0.012599012269108832,0.013881753380265345,0.0012827411111565133
2021Q2,belgium,0.015264632042201248,0.0250382847823576,0.009773652740156352
2021Q2,czech-republic,0.013469957343485562,0.006166975211387966,-0.007302982132097596
2021Q2,denmark,0.0056413487772129095,0.008719183184567497,0.0030778344073545873
2021Q2,france,0.13488102032535076,0.2739203711865963,0.13903935086124553
2021Q2,germany,0.025316789775632672,0.0822350513353571,0.05691826155972443
2021Q2,greece,0.09524642137246428,0.037221156873908735,-0.058025264498555544
2021Q2,hungary,0.015155763907904157,0.00635747639686851,-0.008798287511035646
2021Q2,ireland,0.0873056456375219,0.011987956500859941,-0.07531768913666195
2021Q2,italy,0.14953533100861377,0.09104395432312488,-0.058491376685488886
