scenario,kind,g_emea,g_latam,g_apac,g_rest,exna_check,exna_target,letter_emea,letter_latam,letter_apac,india_emea_share,W_India_pct,W_Brazil_pct,W_Mexico_pct,W_Japan_pct,named_contrib_emea_pp,named_contrib_latam_pp,named_contrib_apac_pp,named_mass_emea_pct_of_region,named_mass_latam_pct_of_region,named_mass_apac_pct_of_region
"central (W mid, India EMEA 0.20)",central,10.480961469963798,16.363210946161516,14.908716049590321,10.13839281289133,12.706559099918321,12.706559099918321,8.0,20.0,18.0,0.2,1.0,5.5,3.0,3.0,0.3425686570724661,6.224818133270184,4.7703232366989905,1.239470517448857,40.17724679628935,28.562740725724712
India split corner: India all-APAC (EMEA 0.00),india_corner,10.24095373380443,16.363210946161516,15.71733728919476,10.13839281289133,12.706559099918321,12.706559099918321,8.0,20.0,18.0,0.0,1.0,5.5,3.0,3.0,0.10256092091309822,6.224818133270184,5.578944476303428,0.7581227436823105,40.17724679628935,30.184471923778638
India split corner: India all-EMEA-bound (EMEA 0.40),india_corner,10.720969206123163,16.363210946161516,14.100094809985881,10.13839281289133,12.706559099918321,12.706559099918321,8.0,20.0,18.0,0.4,1.0,5.5,3.0,3.0,0.5825763932318341,6.224818133270184,3.9617019970945524,1.7208182912154035,40.17724679628935,26.94100952767079
"W lo (named origins 11.5% -> 8.5% of nights), India EMEA 0.00",W_corner,11.18158830911199,15.346061281277482,14.021416950666147,11.113355776520764,12.706559099918321,12.706559099918321,8.0,20.0,18.0,0.0,0.5,4.0,2.0,2.0,0.0682325325912258,4.2327055047567175,2.9080611741453826,0.5294825511432009,28.521282491980227,18.872896817352526
"W lo (named origins 11.5% -> 8.5% of nights), India EMEA 0.20",W_corner,11.299245695931434,15.346061281277482,13.625011970139251,11.113355776520764,12.706559099918321,12.706559099918321,8.0,20.0,18.0,0.2,0.5,4.0,2.0,2.0,0.1858899194106704,4.2327055047567175,2.5116561936184882,0.770156438026474,28.521282491980227,18.062031218325565
"W lo (named origins 11.5% -> 8.5% of nights), India EMEA 0.40",W_corner,11.41690308275088,15.346061281277482,13.22860698961236,11.113355776520764,12.706559099918321,12.706559099918321,8.0,20.0,18.0,0.4,0.5,4.0,2.0,2.0,0.30354730623011505,4.2327055047567175,2.115251213091594,1.0108303249097474,28.521282491980227,17.251165619298607
"W hi (named origins 16.5% of nights), India EMEA 0.00",W_corner,9.183699952772082,17.548742920640656,17.56228388725275,9.041145674226543,12.706559099918321,12.706559099918321,8.0,20.0,18.0,0.0,1.5,7.000000000000001,4.0,4.0,0.14255427854553832,8.507597246414113,8.521138213026207,0.9867629362214201,51.833211100598476,41.49604703020475
"W hi (named origins 16.5% of nights), India EMEA 0.20",W_corner,9.551633919023153,17.548742920640656,16.32266042909487,9.041145674226543,12.706559099918321,12.706559099918321,8.0,20.0,18.0,0.2,1.5,7.000000000000001,4.0,4.0,0.5104882447966103,8.507597246414113,7.2815147548683266,1.7087845968712396,51.833211100598476,39.063450233123866
"W hi (named origins 16.5% of nights), India EMEA 0.40",W_corner,9.919567885274224,17.548742920640656,15.083036970936993,9.041145674226543,12.706559099918321,12.706559099918321,8.0,20.0,18.0,0.4,1.5,7.000000000000001,4.0,4.0,0.8784222110476823,8.507597246414113,6.041891296710449,2.430806257521059,51.833211100598476,36.630853436042976
stress: named origins at 2x the central weights,stress,7.180039639067155,21.85405206476054,18.077201671258905,6.4022864512152085,12.706559099918321,12.706559099918321,8.0,20.0,18.0,0.2,2.0,11.0,6.0,6.0,0.7777531878519455,15.451765613545334,11.674915220043696,2.478941034897714,80.3544935925787,57.125481451449424
