region,quarter,qi,mix_pp,disclosed_exfx_pct,basis_04,letter_exfx_pct,is_whole_point,matches_letter,is_disclosed,in_chained_sample,global_unit_size_pp,global_los_pp,cpi_p2_pct,cpi_p1_pct,cpi_coverage_pct,n_countries_covered,n_countries_panel,y_full_p1,y_full_p2,y_nocpi,y_raw,implied_within_country_price_pp,resid_vs_cpi_p1_pp,cpi_gap_p1_pp
APAC,1Q23,212.0,-9.810953678063672,4.4372,modelled,,False,False,False,False,0.4620912842772667,0.4626252943505493,17.16076162930826,15.539469704639703,97.35216654501063,2,6,-12.026986283267519,-13.648278207936077,3.512483421372184,4.4372,14.248153678063673,-1.2913160265760304,-11.102269704639703
APAC,2Q23,213.0,-7.370464187759984,4.0923,modelled,,False,False,False,False,0.3621440282039081,0.1183751453729842,12.170122525918936,12.780338202085646,95.83724685682273,2,6,-9.168557375662537,-8.558341699495827,3.6117808264231073,4.0923,11.462764187759984,-1.317574014325663,-8.688038202085647
APAC,3Q23,214.0,-5.24905059243782,4.569,modelled,,False,False,False,False,0.4098973686879872,0.3015954388247532,6.837993886561766,7.412013847216661,93.78316760761902,2,6,-3.5545066547294017,-2.9804866940745067,3.85750719248726,4.569,9.818050592437821,2.4060367452211597,-2.8430138472166613
APAC,4Q23,215.0,-3.698175133496928,1.848,modelled,,False,False,False,False,0.2906539573280417,0.3639387380400816,-2.635073026248591,0.1126413646617808,93.33595178029216,2,6,1.080765939970096,3.828480330880468,1.1934073046318767,1.848,5.546175133496928,5.433533768835147,1.7353586353382193
APAC,1Q24,216.0,-3.2583642533124735,4.0312,modelled,,False,False,False,False,0.9633505413705318,0.2125302124850181,-3.877802921209628,2.520863592505947,92.17614513415545,2,6,0.3344556536385034,6.733122167354079,2.8553192461444503,4.0312,7.289564253312474,4.768700660806527,1.5103364074940533
APAC,2Q24,217.0,-1.119753716335592,2.3195,modelled,,False,False,False,False,0.7721595803184097,0.2316928734386047,-0.9767881525049816,0.7458846881364127,89.25001536853755,2,6,0.569762858106573,2.2924356987479673,1.3156475462429857,2.3195,3.439253716335592,2.6933690281991796,1.5736153118635874
APAC,3Q24,218.0,0.87638377659085,-1.5166,modelled,,False,False,False,False,0.8903157468661863,0.2526948668717388,1.3457666631344622,1.3675745778515294,88.74962776888356,2,6,-4.027185191589455,-4.005377276872387,-2.659610613737925,-1.5166,-2.39298377659085,-3.760558354442379,-2.884174577851529
APAC,4Q24,219.0,-0.6876347542916994,2.0,disclosed-chained,2.0,True,True,True,True,0.7066747659259102,0.4315510396297295,3.4196999895101277,3.7039173262384604,88.94099088758017,2,6,-2.8421431317941,-2.5579257950657674,0.8617741944443602,2.0,2.6876347542916994,-1.016282571946761,-1.7039173262384604
APAC,1Q25,220.0,-0.4018145800273931,3.0,disclosed-chained,3.0,True,True,True,True,0.6690991824547088,0.2787347156817832,1.680042803638293,0.7570510520039205,89.44783113396336,2,6,1.2951150498595876,0.37212329822521495,2.052166101863508,3.0,3.401814580027393,2.6447635280234727,2.2429489479960796
APAC,2Q25,221.0,-0.0817291285146182,1.0,disclosed-chained,1.0,True,True,True,True,0.7324103132323075,0.3484146139979049,1.050063640220622,2.5252746183189196,86.75437527916516,2,6,-2.606099545549132,-1.1308885674508344,-0.08082492723021245,1.0,1.0817291285146182,-1.4435454898043014,-1.5252746183189196
APAC,3Q25,222.0,-0.149467162245831,3.0,disclosed-chained,3.0,True,True,True,True,0.7481509563315145,0.3076491557727268,2.530322040987043,3.9352049765127934,86.53000391618797,2,6,-1.9910050886170347,-0.5861221530912843,1.944199887895759,3.0,3.149467162245831,-0.7857378142669624,-0.9352049765127934
APAC,4Q25,223.0,-0.0162396309570378,2.0,disclosed-chained,2.0,True,True,True,True,0.8224227396698655,0.2210184783094426,3.996348514048065,5.134340623997047,87.4357653503537,2,6,-4.177781841976355,-3.039789732027373,0.956558782020692,2.0,2.016239630957038,-3.118100993040009,-3.134340623997047
APAC,1Q26,224.0,-1.0745625798778358,2.0,disclosed-chained,2.0,True,True,True,True,0.9450489445563696,0.3,3.799200168385597,3.3667943797227995,88.20017907137822,2,6,-2.6118433242791688,-3.044249112941966,0.7549510554436305,2.0,3.0745625798778358,-0.2922317998449637,-1.3667943797227995
APAC,2Q26,225.0,-0.8090038748235329,-1.3509,disclosed-chained,,False,False,False,True,0.7004681684496338,0.3,2.487666631678387,2.4287512398636566,87.02826425792519,2,6,-4.78011940831329,-4.839034800128021,-2.3513681684496337,-1.3509,-0.5418961251764671,-2.970647365040124,-3.7796512398636564
EMEA,1Q23,212.0,0.1921625618296785,13.5905,disclosed-chained,,False,False,False,True,0.4620912842772667,0.4626252943505493,9.3,11.881282878402887,92.90614818600245,17,21,0.7845005429692975,3.365783421372184,12.665783421372184,13.5905,13.398337438170323,1.5170545597674359,1.7092171215971135
EMEA,2Q23,213.0,-0.2161386039394197,6.4312,disclosed-chained,,False,False,False,True,0.3621440282039081,0.1183751453729842,9.766666666666666,13.068842674041475,95.93348224216678,17,21,-7.118161847618368,-3.8159858402435587,5.950680826423107,6.4312,6.647338603939419,-6.421504070102056,-6.637642674041476
EMEA,3Q23,214.0,0.1891313770869818,6.0,disclosed-chained,6.0,True,True,True,True,0.4098973686879872,0.3015954388247532,7.766666666666666,9.88736980464039,96.20319695221465,17,21,-4.59886261215313,-2.478159474179406,5.288507192487259,6.0,5.810868622913018,-4.076501181727371,-3.8873698046403895
EMEA,4Q23,215.0,-0.1493188971033787,6.0,disclosed-chained,6.0,True,True,True,True,0.2906539573280417,0.3639387380400816,6.833333333333333,8.214921741818781,94.27957804430167,17,21,-2.869514437186904,-1.4879260287014564,5.345407304631877,6.0,6.149318897103378,-2.0656028447154027,-2.214921741818781
