variant,quarter,subgeo_pp_current,subgeo_pp_new,delta_pp,adr_usd_base_year,adr_usd_effect_current,adr_usd_effect_new,adr_usd_delta
eurostat_shares/eurostat_growth/median,3Q26,-0.1372192626177384,-0.2544111343629338,-0.11719187174519538,171.29,-0.23504287493792408,-0.4357808320502693,-0.20073795711234518
eurostat_shares/eurostat_growth/median,4Q26,-0.1468077761157966,-0.26076444682928424,-0.11395667071348764,167.51,-0.24591770577157085,-0.43680652488373395,-0.19088881911216313
eurostat_shares/eurostat_growth/median,1Q27,-0.1549536369198656,-0.2648539430498298,-0.10990030612996418,186.82,-0.2894843844936929,-0.494800136405692,-0.2053157519119991
eurostat_shares/eurostat_growth/median,2Q27,-0.1646738364903147,-0.27297424772514434,-0.10830041123482964,183.73,-0.30255523978365517,-0.5015355853454077,-0.19898034556175248
eurostat_shares/eurostat_growth/median,3Q27,-0.1728936101909962,-0.27799953160371954,-0.10510592141272335,177.68122194149538,-0.30719947924612784,-0.4939529647451225,-0.18675348549899468
eurostat_shares/eurostat_growth/median,4Q27,-0.1813920281420435,-0.28383450683836164,-0.10244247869631815,173.0340496165458,-0.3138699719757623,-0.49113034139156875,-0.17726036941580647
eurostat_shares/eurostat_growth/rw_mean,3Q26,-0.1372192626177384,-0.25221867652474916,-0.11499941390701077,171.29,-0.23504287493792408,-0.4320253710192429,-0.19698249608131874
eurostat_shares/eurostat_growth/rw_mean,4Q26,-0.1468077761157966,-0.25845014692024165,-0.11164237080444506,167.51,-0.24591770577157085,-0.4329298411060968,-0.1870121353345259
eurostat_shares/eurostat_growth/rw_mean,1Q27,-0.1549536369198656,-0.2623612791859192,-0.10740764226605362,186.82,-0.2894843844936929,-0.49014334177513424,-0.20065895728144137
eurostat_shares/eurostat_growth/rw_mean,2Q27,-0.1646738364903147,-0.2701586929765418,-0.10548485648622713,183.73,-0.30255523978365517,-0.49636256660580025,-0.1938073268221451
eurostat_shares/eurostat_growth/rw_mean,3Q27,-0.1728936101909962,-0.27478863693235056,-0.10189502674135437,177.68122194149538,-0.30719947924612784,-0.48824780785777977,-0.18104832861165193
eurostat_shares/eurostat_growth/rw_mean,4Q27,-0.1813920281420435,-0.2800931707102131,-0.09870114256816961,173.0340496165458,-0.3138699719757623,-0.48465655597926643,-0.17078658400350422
eurostat_shares/panel_growth/median,3Q26,-0.1372192626177384,-0.1527146632059406,-0.015495400588202202,171.29,-0.23504287493792408,-0.2615849466054556,-0.026542071667531548
