filing,section,sentence,magnitude_filed,any_number_in_sentence,names_rnpl,is_driver_claim,driver_of
"1Q26 10-Q (0001559720-26-000014, abnb-20260331.htm, filed 2026-05-07)",First Quarter Financial Highlights,"This growth was primarily driven by an increase in the number of check-ins relating to Nights and Seats Booked, and an increase in our Average Daily Rate (“ADR”).",no,no,no,yes,ADR
"1Q26 10-Q (0001559720-26-000014, abnb-20260331.htm, filed 2026-05-07)",Macroeconomic and Geopolitical Conditions on our Business,"The conflict in the Middle East has had and is expected to continue to have a slight impact on near-term booking trends, including increased cancellations in Europe, the Middle East, and Africa (“EMEA”) and Asia Pacific.",no,no,no,no,definition / risk
"1Q26 10-Q (0001559720-26-000014, abnb-20260331.htm, filed 2026-05-07)",Nights and Seats Booked,"Nights and Seats Booked on our platform in a period represents the sum of the total number of nights booked for stays and the total number of seats booked for experiences and services, net of cancellations and alterations that occurred in that period.",no,no,no,no,Nights and Seats Booked
"1Q26 10-Q (0001559720-26-000014, abnb-20260331.htm, filed 2026-05-07)",Nights and Seats Booked,"If, in the example, the booking were canceled on May 15, Nights and Seats Booked would be reduced by the cancellation for our quarter ended June 30.",no,no,no,no,Nights and Seats Booked
"1Q26 10-Q (0001559720-26-000014, abnb-20260331.htm, filed 2026-05-07)",Nights and Seats Booked,"During the three months ended March 31, 2026, the increase in Nights and Seats Booked, compared to the same period in the prior year, was driven by growth across all regions despite increased cancellations in EMEA and Asia Pacific from the Middle East conflict, with the strongest growth percentages in Latin America and Asia Pacific, as we continue to focus on international expansion.",no,no,no,yes,Nights and Seats Booked
"1Q26 10-Q (0001559720-26-000014, abnb-20260331.htm, filed 2026-05-07)",Nights and Seats Booked,"In addition, we observed a lengthening of lead times across all regions, driven in part by the continued expansion of our deferred payment programs.",no,no,no,yes,definition / risk
"1Q26 10-Q (0001559720-26-000014, abnb-20260331.htm, filed 2026-05-07)",Gross Booking Value,"Gross Booking Value (“GBV”) represents the dollar value of bookings on our platform in a period and is inclusive of host earnings, service fees, cleaning fees, and taxes, net of cancellations and alterations that occurred during that period.",no,no,no,no,GBV
"1Q26 10-Q (0001559720-26-000014, abnb-20260331.htm, filed 2026-05-07)",Gross Booking Value,The timing of recording GBV and any related cancellations is similar to that described in the subsection titled “— Key Business Metrics and Non-GAAP Financial Measures — Nights and Seats Booked” above.,no,no,no,no,GBV
"1Q26 10-Q (0001559720-26-000014, abnb-20260331.htm, filed 2026-05-07)",Gross Booking Value,"The entire amount of a booking is reflected in GBV during the quarter in which booking occurs, whether the guest pays the entire amount of the booking upfront or elects to use our deferred payment programs.",no,no,no,no,GBV
"1Q26 10-Q (0001559720-26-000014, abnb-20260331.htm, filed 2026-05-07)",Gross Booking Value,"During the three months ended March 31, 2026, the increase in GBV, compared to the same period in the prior year, was primarily due to an increase in Nights and Seats Booked and ADR.",no,no,no,yes,ADR
"1Q26 10-Q (0001559720-26-000014, abnb-20260331.htm, filed 2026-05-07)",Free Cash Flow Reconciliation,"Our FCF is impacted by the timing of GBV because we collect our service fees at the time of booking, which is generally before a stay, experience, or service occurs.",no,no,no,no,GBV
"1Q26 10-Q (0001559720-26-000014, abnb-20260331.htm, filed 2026-05-07)",Revenue,"Revenue increased $406 million, or 18%, primarily due to an increase in the number of check-ins relating to Nights and Seats Booked and an increase in ADR.",no,yes,no,yes,ADR
"1Q26 10-Q (0001559720-26-000014, abnb-20260331.htm, filed 2026-05-07)",Revenue,"Cost of revenue increased $75 million, or 15%, primarily due to a $64 million increase in merchant fees and a $12 million increase in chargebacks.",no,yes,no,yes,definition / risk
"1Q26 10-Q (0001559720-26-000014, abnb-20260331.htm, filed 2026-05-07)",Cash Flows,"The growth in GBV was driven in part by increased guest adoption of our deferred payment programs, which allows guests to pay closer to check-in dates rather than at time of booking, which shifts the timing of when net cash provided by operating activities is recognized.",no,no,no,yes,GBV
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",(front matter),"• our expectations regarding future operating performance, including Nights and Seats Booked, Gross Booking Value (“GBV”), Average Daily Rate, and GBV per Nights and Seats Booked, and the potential impact of Reserve Now, Pay Later;",no,no,yes,no,ADR
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",(front matter),"The bond remains in force until the final conclusion of the court procedure, or until authorized cancellation, and has no fixed expiration date.",no,no,no,no,definition / risk
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Second Quarter Financial Highlights,"This growth was primarily driven by an increase in the number of check-ins relating to Nights and Seats Booked, and a modest increase in our Average Daily Rate (“ADR”).",no,no,no,yes,ADR
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Nights and Seats Booked,"Nights and Seats Booked on our platform in a period represents the sum of the total number of nights booked for stays and the total number of seats booked for experiences and services, net of cancellations and alterations that occurred in that period.",no,no,no,no,Nights and Seats Booked
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Nights and Seats Booked,"If, in the example, the booking were canceled on May 15, Nights and Seats Booked would be reduced by the cancellation for our quarter ended June 30.",no,no,no,no,Nights and Seats Booked
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Nights and Seats Booked,"During the three and six months ended June 30, 2026, the increase in Nights and Seats Booked, compared to the same period in the prior year, was driven by growth across all regions, led by Latin America and Asia Pacific, as we continue to focus on international expansion.",no,no,no,yes,Nights and Seats Booked
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Nights and Seats Booked,"We also continued to benefit from our product initiatives, including improvements to search and merchandising, pricing and tools, and flexible payment options.",no,no,no,yes,definition / risk
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Gross Booking Value,"Gross Booking Value (“GBV”) represents the dollar value of bookings on our platform in a period, inclusive of host earnings, service fees, cleaning fees, and taxes, net of cancellations and alterations.",no,no,no,no,GBV
"2Q26 10-Q (abnb_2026q2_10q.html, filed 2026-08-06)",Gross Booking Value,The timing of recording GBV and related cancellations is similar to that described in the subsection titled “— Key Business Metrics and Non-GAAP Financial Measures — Nights and Seats Booked” above.,no,no,no,no,GBV
