year,lang,reviews,tot,share_pct,region
2022,de,197916,7474015,2.6480546265962803,GLOBAL
2022,en,5317988,7474015,71.15302819167476,GLOBAL
2022,es,849877,7474015,11.371090371105758,GLOBAL
2022,fr,320822,7474015,4.292498743981649,GLOBAL
2022,it,66589,7474015,0.8909401439520794,GLOBAL
2022,other,504491,7474015,6.749932934306393,GLOBAL
2022,pt,132973,7474015,1.7791374515571619,GLOBAL
2022,zh_ja_ko,83359,7474015,1.1153175368259227,GLOBAL
2023,de,350592,10065289,3.4831786747504223,GLOBAL
2023,en,6673190,10065289,66.29904019646132,GLOBAL
2023,es,1351843,10065289,13.430742028370968,GLOBAL
2023,fr,425748,10065289,4.229863643259523,GLOBAL
2023,it,102816,10065289,1.021490788789075,GLOBAL
2023,other,735167,10065289,7.303983025226598,GLOBAL
2023,pt,215608,10065289,2.142094479353747,GLOBAL
2023,zh_ja_ko,210325,10065289,2.089607163788342,GLOBAL
2024,de,474601,12540210,3.7846335906655466,GLOBAL
2024,en,7906845,12540210,63.051934536981435,GLOBAL
2024,es,1803469,12540210,14.381489624176947,GLOBAL
2024,fr,543492,12540210,4.333994406792231,GLOBAL
2024,it,134437,12540210,1.0720474378020781,GLOBAL
2024,other,1036848,12540210,8.268186896391686,GLOBAL
2024,pt,325753,12540210,2.5976678221497087,GLOBAL
2024,zh_ja_ko,314765,12540210,2.510045685040362,GLOBAL
2025,de,610810,15528192,3.9335551750004125,GLOBAL
2025,en,9285319,15528192,59.796523639068866,GLOBAL
2025,es,2474624,15528192,15.936330514202812,GLOBAL
2025,fr,660623,15528192,4.254345901956905,GLOBAL
2025,it,170693,15528192,1.0992458104588094,GLOBAL
2025,other,1442628,15528192,9.29037971709778,GLOBAL
2025,pt,473018,15528192,3.046188506685131,GLOBAL
2025,zh_ja_ko,410477,15528192,2.6434307355292876,GLOBAL
2026,de,329889,8424324,3.9159106416134994,GLOBAL
2026,en,4923293,8424324,58.44140135160993,GLOBAL
2026,es,1380365,8424324,16.385469029918603,GLOBAL
2026,fr,341553,8424324,4.054366854836068,GLOBAL
2026,it,88670,8424324,1.0525473616636778,GLOBAL
2026,other,830326,8424324,9.85629232683833,GLOBAL
2026,pt,292861,8424324,3.4763738906528285,GLOBAL
2026,zh_ja_ko,237367,8424324,2.81763854286706,GLOBAL
2022,de,3006,1015620,0.29597684173214395,APAC
2022,en,913330,1015620,89.9283196471121,APAC
2022,es,2812,1015620,0.2768752092317993,APAC
2022,fr,2098,1015620,0.20657332466867528,APAC
2022,it,130,1015620,0.012800063015694845,APAC
2022,other,45973,1015620,4.526594592465686,APAC
2022,pt,90,1015620,0.00886158208778874,APAC
2022,zh_ja_ko,48181,1015620,4.743998739686103,APAC
2023,de,16039,1513211,1.0599314966650388,APAC
2023,en,1298402,1513211,85.80442515947875,APAC
2023,es,14599,1513211,0.9647696190418917,APAC
2023,fr,9353,1513211,0.6180896120897879,APAC
2023,it,567,1513211,0.03746998931411416,APAC
2023,other,65463,1513211,4.326098607530609,APAC
2023,pt,378,1513211,0.024979992876076103,APAC
2023,zh_ja_ko,108410,1513211,7.164235523003732,APAC
2024,de,25834,1943314,1.3293785770081419,APAC
2024,en,1608898,1943314,82.79145830267265,APAC
2024,es,24231,1943314,1.2468906208672403,APAC
2024,fr,15790,1943314,0.812529524307446,APAC
2024,it,1022,1943314,0.05259057465751804,APAC
2024,other,91052,1943314,4.6853982423838865,APAC
2024,pt,792,1943314,0.04075512243518032,APAC
2024,zh_ja_ko,175695,1943314,9.040999035667936,APAC
2025,de,39514,2413778,1.6370188144891533,APAC
