region,quarter,q,util_yoy_pct,listings_yoy_pct,stays_yoy_pct,n
APAC,1Q22,2022Q1,3.5216739442505585,13.726653061145377,17.73173496966798,17
APAC,2Q22,2022Q2,4.493137454908069,17.221000328538437,22.4879009993179,17
APAC,3Q22,2022Q3,23.590461631185345,67.48380857859043,106.99401217977069,17
APAC,4Q22,2022Q4,19.956554495629387,57.648816403570954,89.11008836086434,17
APAC,1Q23,2023Q1,17.051319625861574,43.09881406241285,67.4990502290122,17
APAC,2Q23,2023Q2,4.514372118187815,29.362841656688943,35.20276171173398,17
APAC,3Q23,2023Q3,2.3927719379200463,27.850159242218766,30.909321975152704,17
APAC,4Q23,2023Q4,3.4888899734033085,27.819036498426254,32.27850204692055,17
APAC,1Q24,2024Q1,3.8070439082687813,30.01469135428929,34.96440774134724,17
APAC,2Q24,2024Q2,2.051462408374949,21.943569311315848,24.44519579516813,17
APAC,3Q24,2024Q3,0.8736694886493535,20.02686657497914,21.075504686426605,17
APAC,4Q24,2024Q4,3.5042858394010334,23.19868262794813,27.51591661760795,17
APAC,1Q25,2025Q1,-1.8015261862518783,15.835117510198128,13.748317535376264,17
APAC,2Q25,2025Q2,4.787682891973222,23.57415934765841,29.490498233646,17
APAC,3Q25,2025Q3,2.412225959414105,23.857618393265945,26.845344016860363,17
APAC,4Q25,2025Q4,4.277397778303338,24.351090370215367,29.670081147006933,17
APAC,1Q26,2026Q1,3.9960867271023437,21.94291736424696,26.81586209968101,17
APAC,2Q26,2026Q2,0.8146322855336008,11.390332872190845,12.29775448673105,17
EMEA,1Q22,2022Q1,33.988886113497195,218.2567463171635,326.42866937142577,57
EMEA,2Q22,2022Q2,40.27427178945781,154.72746265480794,257.317093286795,57
EMEA,3Q22,2022Q3,12.273090064839032,38.53659187588625,55.53931256957223,57
EMEA,4Q22,2022Q4,5.968937883423697,27.348278459500207,34.94961809635724,57
EMEA,1Q23,2023Q1,7.244423641667663,28.02085305552744,37.29522600054669,57
EMEA,2Q23,2023Q2,4.379166928296163,18.31913397821092,23.500526363231145,57
EMEA,3Q23,2023Q3,1.5243672801424468,10.42745586993561,12.11077587551066,57
EMEA,4Q23,2023Q4,2.457464239607665,12.31819033178585,15.078369693763971,57
EMEA,1Q24,2024Q1,-1.8315501885391439,11.87059625673903,9.821630140078863,57
EMEA,2Q24,2024Q2,-0.49858541506864196,9.692093074578567,9.1451842970252,57
EMEA,3Q24,2024Q3,-0.4732633507273043,6.3514575915086136,5.84813511976372,57
EMEA,4Q24,2024Q4,0.46602816663616764,6.810890174519679,7.308659007767759,57
EMEA,1Q25,2025Q1,0.4376313227268058,4.530335052926526,4.987792540869385,57
EMEA,2Q25,2025Q2,-0.7754267781866053,4.196672565773629,3.388703664719195,57
