quarter,origin,growth_yoy_pct,fresh_this_quarter,as_of_quarter,source,in_named_set
4Q24,India,,False,,no disclosure at or before this quarter,False
1Q25,India,,False,,no disclosure at or before this quarter,False
2Q25,India,,False,,no disclosure at or before this quarter,False
3Q25,India,,False,,no disclosure at or before this quarter,False
4Q25,India,50.0,True,4Q25,10_regional_panel_quarterly.csv india_origin_growth_pct,True
1Q26,India,50.0,True,1Q26,10_regional_panel_quarterly.csv india_origin_growth_pct,True
2Q26,India,60.0,True,2Q26,10_regional_panel_quarterly.csv india_origin_growth_pct,True
4Q24,Brazil,21.0,True,4Q24,10_regional_panel_quarterly.csv brazil_origin_growth_pct,True
1Q25,Brazil,27.0,True,1Q25,10_regional_panel_quarterly.csv brazil_origin_growth_pct,True
2Q25,Brazil,18.0,True,2Q25,10_regional_panel_quarterly.csv brazil_origin_growth_pct,True
3Q25,Brazil,21.0,True,3Q25,10_regional_panel_quarterly.csv brazil_origin_growth_pct,True
4Q25,Brazil,21.0,True,4Q25,10_regional_panel_quarterly.csv brazil_origin_growth_pct,True
1Q26,Brazil,21.0,True,1Q26,10_regional_panel_quarterly.csv brazil_origin_growth_pct,True
2Q26,Brazil,31.0,True,2Q26,10_regional_panel_quarterly.csv brazil_origin_growth_pct,True
4Q24,Mexico,,False,,no disclosure at or before this quarter,False
1Q25,Mexico,,False,,no disclosure at or before this quarter,False
2Q25,Mexico,,False,,no disclosure at or before this quarter,False
3Q25,Mexico,,False,,no disclosure at or before this quarter,False
4Q25,Mexico,18.0,True,4Q25,10_regional_quotes.csv: 4Q25 letter: Mexico origin nights 'up high-teens',True
1Q26,Mexico,12.0,True,1Q26,10_regional_quotes.csv: 1Q26 letter: 'continued double-digit nights growth in Mexico' (floor),True
2Q26,Mexico,12.0,True,2Q26,"10_regional_quotes.csv: 2Q26 letter: 'continued strength from bookers in Mexico', no number: 1Q26 floor carried",True
4Q24,Japan,,False,,no disclosure at or before this quarter,False
1Q25,Japan,21.0,True,1Q25,10_regional_panel_quarterly.csv japan_domestic_growth_pct,True
2Q25,Japan,21.0,False,1Q25,carried from 1Q25,True
3Q25,Japan,27.0,True,3Q25,10_regional_panel_quarterly.csv japan_domestic_growth_pct,True
4Q25,Japan,27.0,False,3Q25,carried from 3Q25,True
1Q26,Japan,27.0,False,3Q25,carried from 3Q25,True
2Q26,Japan,18.0,True,2Q26,10_regional_quotes.csv: 2Q26 letter: Japan origin net nights 'grew in the high-teens',True
