market,market_key,country,region,currency,price_basis,usd_level,n_q,n_old
austin,united-states_tx_austin,united-states,NAM,USD,listed_nightly,161.58333333333334,6,34325
austin,united-states_tx_austin,united-states,NAM,USD,quote_per_night,251.65166666666664,3,31005
bangkok,thailand_central-thailand_bangkok,thailand,APAC,THB,listed_nightly,45.981753220190974,4,29340
bangkok,thailand_central-thailand_bangkok,thailand,APAC,THB,quote_per_night,58.88028383191344,3,34604
barcelona,spain_catalonia_barcelona,spain,EMEA,EUR,listed_nightly,211.50641875,1,6816
barcelona,spain_catalonia_barcelona,spain,EMEA,EUR,quote_per_night,288.4978433738941,3,38317
barossa-valley,australia_sa_barossa-valley,australia,APAC,AUD,listed_nightly,199.92842837114907,3,629
barossa-valley,australia_sa_barossa-valley,australia,APAC,AUD,quote_per_night,280.03918700474884,3,874
barwon-south-west-vic,australia_vic_barwon-south-west-vic,australia,APAC,AUD,listed_nightly,211.35663664234508,3,12579
barwon-south-west-vic,australia_vic_barwon-south-west-vic,australia,APAC,AUD,quote_per_night,279.8461466512408,3,16553
belize,belize_bz_belize,belize,LatAm,BZD,listed_nightly,,4,5998
belize,belize_bz_belize,belize,LatAm,BZD,quote_per_night,,3,6274
brisbane,australia_qld_brisbane,australia,APAC,AUD,listed_nightly,134.70102802419353,2,4442
brisbane,australia_qld_brisbane,australia,APAC,AUD,quote_per_night,212.043770841465,3,10076
buenos-aires,argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina,LatAm,ARS,listed_nightly,,2,66590
buenos-aires,argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,argentina,LatAm,ARS,quote_per_night,,3,67232
chicago,united-states_il_chicago,united-states,NAM,USD,listed_nightly,171.0,3,10588
chicago,united-states_il_chicago,united-states,NAM,USD,quote_per_night,249.921,2,18231
hong-kong,china_hk_hong-kong,china,APAC,CNY,listed_nightly,116.6121060136975,3,2896
hong-kong,china_hk_hong-kong,china,APAC,CNY,quote_per_night,158.49937190000946,2,2984
london,united-kingdom_england_london,united-kingdom,EMEA,GBP,listed_nightly,230.571590625,1,20468
london,united-kingdom_england_london,united-kingdom,EMEA,GBP,quote_per_night,300.293930282345,3,120488
los-angeles,united-states_ca_los-angeles,united-states,NAM,USD,listed_nightly,174.33333333333334,3,44458
los-angeles,united-states_ca_los-angeles,united-states,NAM,USD,quote_per_night,249.43083333333334,3,95048
melbourne,australia_vic_melbourne,australia,APAC,AUD,listed_nightly,114.496484375,1,8596
melbourne,australia_vic_melbourne,australia,APAC,AUD,quote_per_night,194.62767471051262,3,35374
mexico-city,mexico_df_mexico-city,mexico,LatAm,MXN,listed_nightly,64.2440413976818,2,21835
mexico-city,mexico_df_mexico-city,mexico,LatAm,MXN,quote_per_night,108.02837101020481,3,69287
mid-north-coast,australia_nsw_mid-north-coast,australia,APAC,AUD,listed_nightly,156.7066025612918,4,11994
mid-north-coast,australia_nsw_mid-north-coast,australia,APAC,AUD,quote_per_night,239.6165063008961,3,12677
mornington-peninsula,australia_vic_mornington-peninsula,australia,APAC,AUD,listed_nightly,241.12483257952772,3,8232
mornington-peninsula,australia_vic_mornington-peninsula,australia,APAC,AUD,quote_per_night,381.01369284218055,3,10989
nashville,united-states_tn_nashville,united-states,NAM,USD,listed_nightly,164.91666666666666,6,24766
nashville,united-states_tn_nashville,united-states,NAM,USD,quote_per_night,290.05699999999996,2,26306
new-orleans,united-states_la_new-orleans,united-states,NAM,USD,listed_nightly,133.5,2,7440
new-orleans,united-states_la_new-orleans,united-states,NAM,USD,quote_per_night,220.07666666666668,3,21110
new-york-city,united-states_ny_new-york-city,united-states,NAM,USD,listed_nightly,186.0,1,7233
new-york-city,united-states_ny_new-york-city,united-states,NAM,USD,quote_per_night,224.5842857142857,3,43611
northern-rivers,australia_nsw_northern-rivers,australia,APAC,AUD,listed_nightly,200.28881293612844,3,10002
northern-rivers,australia_nsw_northern-rivers,australia,APAC,AUD,quote_per_night,297.87079028634855,3,13307
paris,france_ile-de-france_paris,france,EMEA,EUR,listed_nightly,160.32021598364403,7,172219
paris,france_ile-de-france_paris,france,EMEA,EUR,quote_per_night,254.18329732640515,3,143440
rio-de-janeiro,brazil_rj_rio-de-janeiro,brazil,LatAm,BRL,listed_nightly,59.41331748969694,2,32626
rio-de-janeiro,brazil_rj_rio-de-janeiro,brazil,LatAm,BRL,quote_per_night,102.40335137092592,3,76135
rome,italy_lazio_rome,italy,EMEA,EUR,listed_nightly,145.29521550587543,12,156265
rome,italy_lazio_rome,italy,EMEA,EUR,quote_per_night,215.03896275879035,3,107801
san-diego,united-states_ca_san-diego,united-states,NAM,USD,listed_nightly,205.66666666666666,3,19844
san-diego,united-states_ca_san-diego,united-states,NAM,USD,quote_per_night,323.92600000000004,2,33545
santiago,chile_rm_santiago,chile,LatAm,CLP,listed_nightly,,2,24937
santiago,chile_rm_santiago,chile,LatAm,CLP,quote_per_night,,3,29826
singapore,singapore_sg_singapore,singapore,APAC,SGD,listed_nightly,206.75654886844072,3,1295
singapore,singapore_sg_singapore,singapore,APAC,SGD,quote_per_night,182.34868539717982,3,1444
sunshine-coast,australia_qld_sunshine-coast,australia,APAC,AUD,listed_nightly,192.86337164223102,3,15797
sunshine-coast,australia_qld_sunshine-coast,australia,APAC,AUD,quote_per_night,303.27515747354494,2,12373
sydney,australia_nsw_sydney,australia,APAC,AUD,quote_per_night,250.3387462206609,3,43429
taipei,taiwan_northern-taiwan_taipei,taiwan,APAC,TWD,listed_nightly,78.94536625708591,4,9016
taipei,taiwan_northern-taiwan_taipei,taiwan,APAC,TWD,quote_per_night,89.18887800497562,2,8134
tasmania,australia_tas_tasmania,australia,APAC,AUD,listed_nightly,132.48993454115708,3,11715
tasmania,australia_tas_tasmania,australia,APAC,AUD,quote_per_night,206.1626080666146,3,16494
tokyo,japan_kanto_tokyo,japan,APAC,JPY,listed_nightly,127.59807265179724,4,35680
tokyo,japan_kanto_tokyo,japan,APAC,JPY,quote_per_night,135.38636412274002,3,58739
western-australia,australia_wa_western-australia,australia,APAC,AUD,listed_nightly,163.8479590751972,4,25813
western-australia,australia_wa_western-australia,australia,APAC,AUD,quote_per_night,243.54136267593674,3,26983
