country,region,q,rev,n_mkts,rev_prev,stays_yoy_pct,quarter
argentina,LatAm,2022Q1,14173,1,3809,272.09241270674715,1Q22
argentina,LatAm,2022Q2,18744,1,2919,542.1377183967112,2Q22
argentina,LatAm,2022Q3,24203,1,4377,452.95864747543976,3Q22
argentina,LatAm,2022Q4,33551,1,9977,236.28345193946078,4Q22
argentina,LatAm,2023Q1,32101,1,15512,106.94301186178441,1Q23
argentina,LatAm,2023Q2,37998,1,20776,82.8937235271467,2Q23
argentina,LatAm,2023Q3,48111,1,26811,79.44500391630301,3Q23
argentina,LatAm,2023Q4,59756,1,37758,58.2605010858626,4Q23
argentina,LatAm,2024Q1,52751,1,36647,43.943569732856716,1Q24
argentina,LatAm,2024Q2,43688,1,43127,1.3008092378324454,2Q24
argentina,LatAm,2024Q3,55354,1,55079,0.4992828482724754,3Q24
argentina,LatAm,2024Q4,69145,1,68397,1.0936152170416769,4Q24
argentina,LatAm,2025Q1,63410,1,60435,4.922644163150491,1Q25
argentina,LatAm,2025Q2,66892,1,49996,33.79470357628611,2Q25
argentina,LatAm,2025Q3,79184,1,63492,24.714924714924713,3Q25
argentina,LatAm,2025Q4,98730,1,79845,23.65207589705054,4Q25
argentina,LatAm,2026Q1,92963,1,73650,26.222674813306178,1Q26
argentina,LatAm,2026Q2,97064,1,77915,24.576782391067198,2Q26
australia,APAC,2022Q1,133545,11,112682,18.514935837134594,1Q22
australia,APAC,2022Q2,137876,11,115473,19.401072112095473,2Q22
australia,APAC,2022Q3,137386,11,69256,98.37414808825228,3Q22
australia,APAC,2022Q4,161742,11,115046,40.588981798584925,4Q22
australia,APAC,2023Q1,180110,11,152314,18.24914321730111,1Q23
australia,APAC,2023Q2,157343,11,157712,-0.23397078218524436,2Q23
australia,APAC,2023Q3,161183,11,157933,2.0578346514028123,3Q23
australia,APAC,2023Q4,199518,11,186500,6.980160857908846,4Q23
australia,APAC,2024Q1,232331,11,207854,11.776054345838904,1Q24
australia,APAC,2024Q2,189607,11,181962,4.20142667150285,2Q24
australia,APAC,2024Q3,200925,11,186904,7.501712108890124,3Q24
australia,APAC,2024Q4,252821,11,232762,8.617815622825042,4Q24
australia,APAC,2025Q1,272069,11,272952,-0.32350010258214157,1Q25
australia,APAC,2025Q2,231355,11,223028,3.733611923166591,2Q25
australia,APAC,2025Q3,245170,11,237711,3.137843852409028,3Q25
australia,APAC,2025Q4,319692,11,301641,5.984266064626498,4Q25
australia,APAC,2026Q1,344178,11,327351,5.140353932017927,1Q26
australia,APAC,2026Q2,281213,11,279122,0.7491347869390541,2Q26
austria,EMEA,2022Q1,7593,1,1782,326.0942760942761,1Q22
austria,EMEA,2022Q2,14967,1,3819,291.9088766692851,2Q22
austria,EMEA,2022Q3,18217,1,13275,37.22787193973636,3Q22
austria,EMEA,2022Q4,17829,1,10878,63.8996138996139,4Q22
austria,EMEA,2023Q1,14169,1,9419,50.42998195137489,1Q23
