sample,spec,fe,y,n,n_regions,n_regions_with_variation,b,se_cluster_region,t_b0,p_b0_cluster,p_b1_cluster,ci90_lo,ci90_hi,ci95_lo,ci95_hi,se_iid,p_b0_iid,se_hc1,p_b0_hc1,se_nw3,p_b0_nw3,se_cluster_quarter,p_b0_cluster_quarter,p_b0_wildboot,p_b1_wildboot,n_wildboot,r2,r2_within,pass_band,pass_p,PASS
disclosed_only,primary: FE + CPI P1 + size/LOS,True,y_full_p1,23,4,3,1.1270002240869932,0.33077367765816795,3.40716417360051,0.04223848837882249,0.726612528266954,0.34856954589133593,1.9054309022826503,0.07433075573865255,2.1796696924353336,0.4611562442127679,0.025059316149727673,0.21764242598008224,6.322980122419608e-05,0.2636534763158963,0.0004561265984872609,0.18847873161127607,0.0003308913538371261,1.0,1.0,16,0.8281342707333885,0.24913776947579214,True,True,True
all_chained,primary: FE + CPI P1 + size/LOS,True,y_full_p1,41,4,4,2.0929930820565565,1.1364212159514429,1.8417405911453752,0.1627557448193231,0.4071077162600776,-0.5814190540965956,4.767405218209708,-1.5236064178941313,5.709592582007245,0.8107193882197229,0.014050753325281828,0.5803914049258366,0.000934522066953658,0.7497841839020075,0.008344123717732854,0.5207562687194369,0.0014585752128166707,0.125,0.375,16,0.5992396294921696,0.15621531383480725,False,False,False
disclosed_only,no FE: CPI P1 + size/LOS,False,y_full_p1,23,4,4,2.3453163988349863,0.26045700280386536,9.0046202389924,0.002891484353369167,0.014076714879579733,1.7323664120982936,2.958266385571679,1.5164259725765568,3.1742068250934157,0.8037637266911161,0.0082238326013655,0.5969886918131321,0.0007705455943267658,0.5354851027581368,0.00026201826262117756,0.6574566473555219,0.007322878608907013,0.125,0.125,16,0.28847914108580186,,False,True,False
all_chained,no FE: CPI P1 + size/LOS,False,y_full_p1,41,4,4,2.891162523516564,0.7614754959162626,3.796789967663644,0.03207451144567286,0.08898999045541256,1.0991339349296463,4.683191112103481,0.4678076449737749,5.314517402059353,1.037674003909748,0.008192991039440267,0.7794352194292469,0.0006460465910123059,0.6910694318801164,0.00015754604760376267,0.8169271251401897,0.0036316521668435797,0.125,0.375,16,0.16600525783118436,,False,True,False
disclosed_only,no CPI: FE + size/LOS,True,y_nocpi,23,4,3,0.3461129037281777,0.04619316816496439,7.492729281787822,0.004924702458564578,0.0007637437719913986,0.23740359083109888,0.45482221662525657,0.1991056263722378,0.4931201810841176,0.28123771260538283,0.23428386820562985,0.19540775122670873,0.09345234990157247,0.16994538549236876,0.05667285815662604,0.14610704567327465,0.045324209448796005,0.25,0.25,16,0.6424100912311854,0.07761212064728462,False,True,False
all_chained,no CPI: FE + size/LOS,True,y_nocpi,41,4,4,0.8960841704652914,0.628382715458282,1.4260165794213067,0.249112745036983,0.8791682050683762,-0.5827287351557077,2.3748970760862904,-1.1037100806490612,2.8958784215796443,0.5750129454786073,0.12789384653726277,0.39825647632427597,0.030654385322061106,0.4406448623259041,0.049416139180264995,0.3745923172863195,0.03255928228326832,0.125,1.0,16,0.3770070098891617,0.06319586528250853,True,False,False
disclosed_only,"neither: no FE, no CPI, no size/LOS",False,y_raw,23,4,4,0.6555524933098991,0.2932551763860914,2.2354336635709284,0.11143274964591798,0.3249160387670571,-0.03458351586348751,1.3456885024832856,-0.27771635928533944,1.5888213459051377,0.3561863282752143,0.07987433790552312,0.20784598145464223,0.004787117321449541,0.20515034130969673,0.004348946127457509,0.16139086586281579,0.0036239122440020477,0.5,0.625,16,0.13889793571282816,,True,False,False
all_chained,"neither: no FE, no CPI, no size/LOS",False,y_raw,41,4,4,1.4648383304907235,0.9417131684260119,1.555503713449253,0.21767548446987983,0.655458739964905,-0.7513550061544239,3.681031667135871,-1.532113263003652,4.4617899239850995,0.6046524897455,0.02015457198959525,0.5590523098165965,0.012458047876281686,0.7026110865737757,0.043677889926674984,0.5951798282595494,0.028605997797787497,0.25,0.625,16,0.13080394433937792,,True,False,False
disclosed_only,CPI P2 (headline series): FE + size/LOS,True,y_full_p2,23,4,3,1.2972212701344934,0.11950485798815991,10.854966835432055,0.0016729123301757465,0.0887106212257418,1.0159829070639732,1.5784596332050136,0.9169034763666197,1.677539063902367,0.2995031281170852,0.0004022554820006796,0.14893391107802115,7.151667680282969e-08,0.12941681605139896,8.612780266759046e-09,0.13965487023353823,1.4683126909664779e-05,0.25,0.75,16,0.9248091539936109,0.5103330437579839,True,True,True
all_chained,CPI P2 (headline series): FE + size/LOS,True,y_full_p2,41,4,4,2.203180357362619,1.1261043552439092,1.9564619807241757,0.14535330069846508,0.36365748361362926,-0.44695245603947953,4.853313170764718,-1.3805862873472514,5.786947002072489,0.738503263265522,0.005094698594664937,0.5796844558685651,0.0005370681391647647,0.7596826510395083,0.006321615223408905,0.5342112682829717,0.0011976865903047251,0.125,0.125,16,0.6474965780334361,0.19822018689635768,False,False,False
