q,mix_pp_monthly_qavg,mix_d12_monthly_qavg,n_months,quarter,mix_pp_published_q,mix_pp_q18,region_growth_pct,disclosed_exfx_emea_pct,is_disclosed,in_chained_sample,hicp_ea_cp112_pct,cpi_gap_pp,cpi_gap_d4_pp,d_quarter_lag4_ok,diff_vs_published_pp,diff_vs_q18_pp,mix_pp_panel_q,diff_vs_panel_pp
2019Q1,-0.13646812373850534,,3,1Q19,0.1760221382329785,-0.18654089858106682,10.89391599973131,,False,False,,,,False,-0.31249026197148383,0.05007277484256148,,
2019Q2,-0.31054048137313384,,3,2Q19,-0.4647107528198968,-0.31421219709444337,21.534650392830347,,False,False,,,,False,0.15417027144676299,0.003671715721309532,,
2019Q3,-0.19541180409434386,,3,3Q19,-0.4196820869921125,-0.17860202145402182,13.51403883429055,,False,False,,,,False,0.22427028289776865,-0.01680978264032204,,
2019Q4,-0.5794057438846867,,3,4Q19,-0.9110131975919922,-0.586638557086383,16.207854828939265,,False,False,,,,False,0.3316074537073055,0.007232813201696331,,
2020Q1,0.12107545120003671,0.257543574938542,3,1Q20,-0.8027557867171464,-0.2600013369350118,-4.042617101666267,,False,False,,,,True,0.9238312379171831,0.3810767881350485,,
2020Q2,2.817123279695847,3.127663761068981,3,2Q20,-0.6389420135558654,2.3313827324028535,-82.05886554686238,,False,False,,,,True,3.4560652932517124,0.48574054729299343,,
2020Q3,1.4080691449780784,1.6034809490724224,3,3Q20,-0.4889499650557183,1.49452601242821,-32.300010243569524,,False,False,,,,True,1.8970191100337968,-0.08645686745013159,,
2020Q4,2.5188081798132034,3.0982139236978896,3,4Q20,-1.1358920876808232,2.241183729578,-60.45290451766985,,False,False,,,,True,3.6547002674940265,0.2776244502352032,,
2021Q1,4.110218134212329,3.989142683012292,3,1Q21,0.1706648154429668,4.499329147169173,-55.24922324472977,,False,False,,,,True,3.939553318769362,-0.38911101295684425,,
2021Q2,1.1943385401880224,-1.6227847395078248,3,2Q21,3.0906245439971336,1.1429170425103496,145.79532785234852,,False,False,,,,True,-1.8962860038091112,0.05142149767767279,,
