rule,quarter,exfx_pct,fx_pp,reported_pct,adr_usd,gbv_busd,vs_base_usd
base: core carry + bundle laps (nights-linked geo),3Q26,3.3159474592555536,0.4152814166247513,3.731228875880305,177.68122194149538,26.08360338101152,0.0
base: core carry + bundle laps (nights-linked geo),4Q26,2.784074164071932,0.5136690253172425,3.297743189389174,173.03404961654581,22.80588773946074,0.0
base: core carry + bundle laps (nights-linked geo),1Q27,2.4168771271394225,-0.369013484663626,2.0478636424757966,190.6458188568733,32.222956303188724,0.0
base: core carry + bundle laps (nights-linked geo),2Q27,2.9565230500839985,-0.4269361495661503,2.5295869005178484,188.37761001232144,29.594122532935696,0.0
"base + sub-regional country mix (v2 H3, Inside Airbnb panel)",3Q26,3.1787281966378154,0.4152814166247513,3.5940096132625667,177.44617906655745,26.049099086970635,-0.23504287493793186
"base + sub-regional country mix (v2 H3, Inside Airbnb panel)",4Q26,2.6372663879561355,0.5136690253172425,3.150935413273378,172.78813191077424,22.77347578584005,-0.2459177057715749
"base + sub-regional country mix (v2 H3, Inside Airbnb panel)",1Q27,2.261923490219557,-0.369013484663626,1.892910005555931,190.3563344723796,32.1740276525216,-0.2894843844937043
"base + sub-regional country mix (v2 H3, Inside Airbnb panel)",2Q27,2.7918492135936837,-0.4269361495661503,2.3649130640275335,188.07505477253778,29.546591104765685,-0.3025552397836577
base + sub-regional + measured origin-destination tilt (upgrade 2: EMEA 10.5 / LatAm 16.4 / APAC 14.9),3Q26,3.441974423799111,0.4152814166247513,3.8572558404238624,177.89709352906203,26.11529333006631,0.21587158756665303
base + sub-regional + measured origin-destination tilt (upgrade 2: EMEA 10.5 / LatAm 16.4 / APAC 14.9),4Q26,2.8783531638296136,0.5136690253172425,3.3920221891468563,173.19197636903988,22.82670248543946,0.1579267524940633
base + sub-regional + measured origin-destination tilt (upgrade 2: EMEA 10.5 / LatAm 16.4 / APAC 14.9),1Q27,2.5472387219833843,-0.369013484663626,2.1782252373197584,190.88936038836079,32.264119692840744,0.24354153148749447
base + sub-regional + measured origin-destination tilt (upgrade 2: EMEA 10.5 / LatAm 16.4 / APAC 14.9),2Q27,2.977560195437551,-0.4269361495661503,2.550624045871401,188.41626155947952,29.60019469099423,0.03865154715808217
base + sub-regional + composition tilt B (EMEA 5 / LatAm 30 / APAC 25) — retired by upgrade 2,3Q26,2.7974134309222918,0.4152814166247513,3.212694847547043,176.79302500436333,25.953216070640536,-0.8881969371320508
base + sub-regional + composition tilt B (EMEA 5 / LatAm 30 / APAC 25) — retired by upgrade 2,4Q26,2.27299560542554,0.5136690253172425,2.7866646307427825,172.17794192295722,22.693052745445762,-0.8561076935885978
base + sub-regional + composition tilt B (EMEA 5 / LatAm 30 / APAC 25) — retired by upgrade 2,1Q27,1.8420248061759499,-0.369013484663626,1.473011321512324,189.57187975084932,32.04143911548855,-1.0739391060239711
