filing_date,accession,form,owner,title,is_director,is_officer,is_10pct,txn_date,code,acq_disp,shares,price,value,ownership,post_shares,footnotes
2022-09-06,0000899243-22-030425,4,BALOGH ARISTOTLE N,Chief Technology Officer,0,1,0,2022-09-01,S,D,2500.0,111.1,277750.0,D,243481.0,The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan.
2022-09-13,0000899243-22-030930,4,JORDAN JEFFREY D,,1,0,0,2022-09-09,S,D,3000.0,120.0895,360268.5,I,282646.0,"The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan. | The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $120.00 to $120.18. The reporting person undertakes to provide the Issuer, any security holder of the Issuer, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each separate price within the range set forth in this footnote."
2022-09-14,0000899243-22-031041,4,Stephenson Dave,Chief Financial Officer,0,1,0,2022-09-12,S,D,15969.0,125.0,1996125.0,D,174148.0,The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan.
2022-09-15,0000899243-22-031144,4,Gebbia Joseph,,1,0,1,2022-09-13,S,D,5900.0,119.7714,706651.26,I,1994201.0,"The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan. | The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $119.48 to $119.98. The reporting person undertakes to provide the Issuer, any security holder of the Issuer, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each separate price within the range set forth in this footnote."
2022-09-15,0000899243-22-031144,4,Gebbia Joseph,,1,0,1,2022-09-13,S,D,39900.0,120.5973,4811832.2700000005,I,1954301.0,"The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan. | The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $120.00 to $120.99. The reporting person undertakes to provide the Issuer, any security holder of the Issuer, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each separate price within the range set forth in this footnote."
2022-09-15,0000899243-22-031144,4,Gebbia Joseph,,1,0,1,2022-09-13,S,D,97132.0,121.4963,11801178.6116,I,1857169.0,"The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan. | The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $121.00 to $121.99. The reporting person undertakes to provide the Issuer, any security holder of the Issuer, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each separate price within the range set forth in this footnote."
2022-09-15,0000899243-22-031144,4,Gebbia Joseph,,1,0,1,2022-09-13,S,D,70725.0,122.5607,8668105.5075,I,1786444.0,"The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan. | The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $122.00 to $122.99. The reporting person undertakes to provide the Issuer, any security holder of the Issuer, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each separate price within the range set forth in this footnote."
2022-09-15,0000899243-22-031144,4,Gebbia Joseph,,1,0,1,2022-09-13,S,D,36343.0,123.2464,4479143.9152,I,1750101.0,"The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan. | The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $123.00 to $123.82. The reporting person undertakes to provide the Issuer, any security holder of the Issuer, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each separate price within the range set forth in this footnote."
2022-09-19,0000899243-22-031463,4,BALOGH ARISTOTLE N,Chief Technology Officer,0,1,0,2022-09-15,S,D,2500.0,125.29,313225.0,D,240981.0,The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan.
2022-09-19,0000899243-22-031465,4,Johnson Belinda J.,,1,0,0,2022-09-15,S,D,1000.0,125.29,125290.0,D,5920.0,The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan.
