filing_date,accession,form,owner,title,is_director,is_officer,is_10pct,txn_date,code,acq_disp,shares,price,value,ownership,post_shares,footnotes
2022-09-06,0000899243-22-030425,4,BALOGH ARISTOTLE N,Chief Technology Officer,0,1,0,2022-09-01,S,D,2500,111.10,277750.0,D,243481,The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan.
2022-09-13,0000899243-22-030930,4,JORDAN JEFFREY D,,1,0,0,2022-09-09,S,D,3000,120.0895,360268.5,I,282646,"The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan. | The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $120.00 to $120.18. The reporting person undertakes to provide the Issuer, any security holder of the Issuer, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each separate price within the range set forth in this footnote."
2022-09-14,0000899243-22-031041,4,Stephenson Dave,Chief Financial Officer,0,1,0,2022-09-12,S,D,15969,125.00,1996125.0,D,174148,The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan.
2022-09-15,0000899243-22-031144,4,Gebbia Joseph,,1,0,1,2022-09-13,S,D,5900,119.7714,706651.26,I,1994201,"The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan. | The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $119.48 to $119.98. The reporting person undertakes to provide the Issuer, any security holder of the Issuer, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each separate price within the range set forth in this footnote."
2022-09-15,0000899243-22-031144,4,Gebbia Joseph,,1,0,1,2022-09-13,S,D,39900,120.5973,4811832.2700000005,I,1954301,"The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan. | The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $120.00 to $120.99. The reporting person undertakes to provide the Issuer, any security holder of the Issuer, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each separate price within the range set forth in this footnote."
2022-09-15,0000899243-22-031144,4,Gebbia Joseph,,1,0,1,2022-09-13,S,D,97132,121.4963,11801178.6116,I,1857169,"The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan. | The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $121.00 to $121.99. The reporting person undertakes to provide the Issuer, any security holder of the Issuer, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each separate price within the range set forth in this footnote."
2022-09-15,0000899243-22-031144,4,Gebbia Joseph,,1,0,1,2022-09-13,S,D,70725,122.5607,8668105.5075,I,1786444,"The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan. | The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $122.00 to $122.99. The reporting person undertakes to provide the Issuer, any security holder of the Issuer, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each separate price within the range set forth in this footnote."
2022-09-15,0000899243-22-031144,4,Gebbia Joseph,,1,0,1,2022-09-13,S,D,36343,123.2464,4479143.9152,I,1750101,"The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan. | The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $123.00 to $123.82. The reporting person undertakes to provide the Issuer, any security holder of the Issuer, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each separate price within the range set forth in this footnote."
2022-09-19,0000899243-22-031463,4,BALOGH ARISTOTLE N,Chief Technology Officer,0,1,0,2022-09-15,S,D,2500,125.29,313225.0,D,240981,The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan.
2022-09-19,0000899243-22-031465,4,Johnson Belinda J.,,1,0,0,2022-09-15,M,A,1000,29.96,29960.0,D,6920,
2022-09-19,0000899243-22-031465,4,Johnson Belinda J.,,1,0,0,2022-09-15,S,D,1000,125.29,125290.0,D,5920,The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan.
2022-09-29,0000899243-22-032239,4,Gebbia Joseph,,1,0,1,2022-09-27,M,A,11635,40.18,467494.3,D,138685,
2022-09-29,0000899243-22-032239,4,Gebbia Joseph,,1,0,1,2022-09-27,S,D,2500,104.7248,261812.0,D,136185,"The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan. | The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $104.42 to $104.98. The reporting person undertakes to provide the Issuer, any security holder of the Issuer, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each separate price within the range set forth in this footnote."
2022-09-29,0000899243-22-032239,4,Gebbia Joseph,,1,0,1,2022-09-27,S,D,2600,105.5415,274407.9,D,133585,"The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan. | The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $105.13 to $105.96. The reporting person undertakes to provide the Issuer, any security holder of the Issuer, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each separate price within the range set forth in this footnote."
2022-09-29,0000899243-22-032239,4,Gebbia Joseph,,1,0,1,2022-09-27,S,D,4235,106.4788,450937.71800000005,D,129350,"The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan. | The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $106.04 to $106.99. The reporting person undertakes to provide the Issuer, any security holder of the Issuer, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each separate price within the range set forth in this footnote."
2022-09-29,0000899243-22-032239,4,Gebbia Joseph,,1,0,1,2022-09-27,S,D,2200,107.3577,236186.93999999997,D,127150,"The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan. | The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $107.06 to $107.77. The reporting person undertakes to provide the Issuer, any security holder of the Issuer, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each separate price within the range set forth in this footnote."
2022-09-29,0000899243-22-032239,4,Gebbia Joseph,,1,0,1,2022-09-27,S,D,100,108.17,10817.0,D,127050,The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan.
2022-09-29,0000899243-22-032239,4,Gebbia Joseph,,1,0,1,2022-09-27,S,D,53440,104.6876,5594505.3440000005,I,1696661,"The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan. | The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $104.165 to $104.995. The reporting person undertakes to provide the Issuer, any security holder of the Issuer, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each separate price within the range set forth in this footnote."
2022-09-29,0000899243-22-032239,4,Gebbia Joseph,,1,0,1,2022-09-27,S,D,55950,105.5588,5906014.86,I,1640711,"The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan. | The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $105.00 to $105.98. The reporting person undertakes to provide the Issuer, any security holder of the Issuer, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each separate price within the range set forth in this footnote."
2022-09-29,0000899243-22-032239,4,Gebbia Joseph,,1,0,1,2022-09-27,S,D,93554,106.4898,9962546.7492,I,1547157,"The sales reported in this Form 4 were effected pursuant to a Rule 10b5-1 trading plan. | The price reported in Column 4 is a weighted average price. These shares were sold in multiple transactions at prices ranging from $106.00 to $106.995. The reporting person undertakes to provide the Issuer, any security holder of the Issuer, or the staff of the Securities and Exchange Commission, upon request, full information regarding the number of shares sold at each separate price within the range set forth in this footnote."
