scope,cohort,policy,statistic,markets,countries,baseline_ids,event_ids,listing_weighted_rate,equal_market_weighted_rate,min_market_rate,max_market_rate,leave_one_market_out_min,leave_one_market_out_max,max_market_baseline_weight,min_interval_days,max_interval_days,market_set
all_eligible_markets,all_listings,team_flags,id_attrition,12,7,401273,107791,0.26862260854829506,0.2600926280086343,0.17664400297460958,0.3730551262235961,0.25722892753661275,0.2798572412497652,0.24140921517271285,323,352,barcelona | chicago | london | los-angeles | mexico-city | nashville | new-orleans | new-york-city | paris | rome | san-diego | sydney
all_eligible_markets,all_listings,team_flags,persistent_90,10,6,364779,42740,0.11716683252051242,0.13745436665495628,0.0653366400742795,0.24920144255538382,0.10728677017055878,0.13216176668104027,0.2655607916025868,323,352,barcelona | chicago | london | los-angeles | new-orleans | new-york-city | paris | rome | san-diego | sydney
all_eligible_markets,all_listings,exclude_feb_may_negatives,id_attrition,12,7,401273,107791,0.26862260854829506,0.2600926280086343,0.17664400297460958,0.3730551262235961,0.25722892753661275,0.2798572412497652,0.24140921517271285,323,352,barcelona | chicago | london | los-angeles | mexico-city | nashville | new-orleans | new-york-city | paris | rome | san-diego | sydney
all_eligible_markets,all_listings,exclude_feb_may_negatives,persistent_90,10,6,364779,34600,0.09485195145553883,0.10598747542142595,0.04804630168092825,0.20808861411643484,0.08848796504608115,0.10339099269773722,0.2655607916025868,323,352,barcelona | chicago | london | los-angeles | new-orleans | new-york-city | paris | rome | san-diego | sydney
all_eligible_markets,reviewed_str_homes,team_flags,id_attrition,12,7,155614,36133,0.2321963319495675,0.2093252320036552,0.13426081126382836,0.339395752318277,0.20286616905650495,0.24467870359986543,0.22572519182078735,323,352,barcelona | chicago | london | los-angeles | mexico-city | nashville | new-orleans | new-york-city | paris | rome | san-diego | sydney
all_eligible_markets,reviewed_str_homes,team_flags,persistent_90,10,6,134980,15215,0.11272040302267003,0.11283658065583654,0.07846039970392302,0.19091322815533981,0.10425629741535025,0.12477216736435195,0.2602311453548674,323,352,barcelona | chicago | london | los-angeles | new-orleans | new-york-city | paris | rome | san-diego | sydney
all_eligible_markets,reviewed_str_homes,exclude_feb_may_negatives,id_attrition,12,7,155614,36133,0.2321963319495675,0.2093252320036552,0.13426081126382836,0.339395752318277,0.20286616905650495,0.24467870359986543,0.22572519182078735,323,352,barcelona | chicago | london | los-angeles | mexico-city | nashville | new-orleans | new-york-city | paris | rome | san-diego | sydney
all_eligible_markets,reviewed_str_homes,exclude_feb_may_negatives,persistent_90,10,6,134980,13115,0.09716254259890354,0.0884689927979948,0.06551077359440048,0.13532755010469638,0.08459871984244215,0.10374146253530155,0.2602311453548674,323,352,barcelona | chicago | london | los-angeles | new-orleans | new-york-city | paris | rome | san-diego | sydney
North America,all_listings,team_flags,id_attrition,6,1,120706,35032,0.2902258379865127,0.2578270598636638,0.22031166039763567,0.3304711676764155,0.2655439721999465,0.29752473406233726,0.38014680297582554,323,352,chicago | los-angeles | nashville | new-orleans | new-york-city | san-diego
North America,all_listings,team_flags,persistent_90,5,1,111263,16351,0.14695810826600036,0.14265890553712843,0.0983356871867298,0.18583010068430458,0.11967511510164125,0.17032148179689163,0.41241023520847003,323,352,chicago | los-angeles | new-orleans | new-york-city | san-diego
North America,all_listings,exclude_feb_may_negatives,id_attrition,6,1,120706,35032,0.2902258379865127,0.2578270598636638,0.22031166039763567,0.3304711676764155,0.2655439721999465,0.29752473406233726,0.38014680297582554,323,352,chicago | los-angeles | nashville | new-orleans | new-york-city | san-diego
North America,all_listings,exclude_feb_may_negatives,persistent_90,5,1,111263,10373,0.09322955519804427,0.09519298781235667,0.04804630168092825,0.1255502767728719,0.0705446869694235,0.11494038748137109,0.41241023520847003,323,352,chicago | los-angeles | new-orleans | new-york-city | san-diego
North America,reviewed_str_homes,team_flags,id_attrition,6,1,35178,8038,0.22849508215361874,0.2074794526008595,0.17663817663817663,0.27715412621359226,0.19932708920614714,0.23869087807824882,0.3747796918528626,323,352,chicago | los-angeles | nashville | new-orleans | new-york-city | san-diego
North America,reviewed_str_homes,team_flags,persistent_90,5,1,28540,4227,0.14810791871058163,0.12290763854588496,0.09036568213783404,0.19091322815533981,0.11135712425110705,0.15623850586456334,0.461948142957253,323,352,chicago | los-angeles | new-orleans | new-york-city | san-diego
North America,reviewed_str_homes,exclude_feb_may_negatives,id_attrition,6,1,35178,8038,0.22849508215361874,0.2074794526008595,0.17663817663817663,0.27715412621359226,0.19932708920614714,0.23869087807824882,0.3747796918528626,323,352,chicago | los-angeles | nashville | new-orleans | new-york-city | san-diego
North America,reviewed_str_homes,exclude_feb_may_negatives,persistent_90,5,1,28540,2795,0.09793272599859845,0.08328233298404777,0.06908831908831908,0.1273513349514563,0.0726751758270383,0.10626424219876296,0.461948142957253,323,352,chicago | los-angeles | new-orleans | new-york-city | san-diego
