market,start,complete,rows,partial,city_scrape,previous_scrape,source_url,sha256
austin,2025-09-16,2025-09-17,10533,True,10533,0,https://data.insideairbnb.com/united-states/tx/austin/2025-09-16/data/listings.csv.gz,f3f243214fd5d3c209c36b9fbde54cd11e0a23591a813d1beff130ac781b090f
austin,2025-12-22,2026-01-05,11251,True,10662,589,https://data.insideairbnb.com/united-states/tx/austin/2025-12-22/data/listings.csv.gz,9d4ae6d1136a1ffd111614ee437d1edf0117d0128840f748f4d0dbc42ba620c3
austin,2026-01-18,2026-01-19,11374,False,10666,708,https://data.insideairbnb.com/united-states/tx/austin/2026-01-18/data/listings.csv.gz,7eb0140da0db6593a8ef439a65ec5898bdf54e398023be3bc191a9644bdd7bfc
austin,2026-02-19,2026-02-20,10422,False,10422,0,https://data.insideairbnb.com/united-states/tx/austin/2026-02-19/data/listings.csv.gz,b6bceac7dfef86ac8771a5195fd3a2fd4fa1b491c1f077fa10b31bb478e01790
austin,2026-03-25,2026-03-28,8170,True,8170,0,https://data.insideairbnb.com/united-states/tx/austin/2026-03-25/data/listings.csv.gz,8640ebe69f81ed869b6f4cdd5dbfe772a4a97ee463cfaef9b06515a0ff4539d2
austin,2026-04-23,2026-04-24,8290,True,8290,0,https://data.insideairbnb.com/united-states/tx/austin/2026-04-23/data/listings.csv.gz,ade68d12a09234c770fb24bbe1de98c024a7fe3bd1b53ca4d7870a838d4bdd4a
austin,2026-05-25,2026-06-06,8568,True,8568,0,https://data.insideairbnb.com/united-states/tx/austin/2026-05-25/data/listings.csv.gz,e23bff147202119c7dbf93bf5ba861a0ab962172dce7761a426fd276f545a9dd
austin,2026-06-22,2026-07-02,11295,False,10186,1109,https://data.insideairbnb.com/united-states/tx/austin/2026-06-22/data/listings.csv.gz,5e2b0267729ea2f6c61c06e58621abae4a88ff852594ad9ccf1dec0a0d4f4c05
austin,2026-07-18,2026-07-19,11172,False,10140,1032,https://data.insideairbnb.com/united-states/tx/austin/2026-07-18/data/listings.csv.gz,e40232dcbbe3579897ab91bdee395e44630b74468aaee7e8f5ae8dc76b91948c
austin,2026-08-25,2026-08-30,11079,False,9898,1181,https://data.insideairbnb.com/united-states/tx/austin/2026-08-25/data/listings.csv.gz,2e4e28b448a79e3715dcf5bd14938a59a27a172a491d1e79c2411e24de8c3d3a
barcelona,2025-09-14,2025-09-15,19410,False,15304,4106,https://data.insideairbnb.com/spain/catalonia/barcelona/2025-09-14/data/listings.csv.gz,f6e61e1d11e301b5d7fbf0888db7037a04fb22df0b44182c04e41075d38abb83
barcelona,2025-12-14,2025-12-15,18177,False,14623,3554,https://data.insideairbnb.com/spain/catalonia/barcelona/2025-12-14/data/listings.csv.gz,b6b498811bad0f154ccb35ae159dc0140bb047bcc59736cd3ad3cc2319a1f2a8
barcelona,2026-01-18,2026-01-18,17099,False,13452,3647,https://data.insideairbnb.com/spain/catalonia/barcelona/2026-01-18/data/listings.csv.gz,d95fbeed26ea30f7bf417902507412fd51e533cd19c76ee741e5c86f588de72b
barcelona,2026-02-18,2026-02-19,12786,True,12786,0,https://data.insideairbnb.com/spain/catalonia/barcelona/2026-02-18/data/listings.csv.gz,709b22e70a1308f8873627d3b29da5e0a2475f59495b899af79a87629fdba86b
