market,country,region,cohort,baseline_start,baseline_complete,endpoint_start,endpoint_complete,interval_days,snapshots,baseline_ids,retained_ids,missing_ids,id_attrition,alternative_id_candidates,baseline_review_total,baseline_hosts,endpoint_ids,new_to_pair_ids,policy,pair_eligible,pair_exclusion,persistence_eligible,persistence_exclusion,valid_postbaseline_observations,mature_negative_opportunities,longest_valid_observation_gap_days,persistent_90,pending_90,endpoint_unknown,persistent_90_rate,persistent_90_with_alternative_id,persistent_90_after_candidate_screen,persistent_30,persistent_180,ids_reobserved_after_gap,missing_baseline_reviews,persistent_baseline_reviews,review_weighted_id_attrition
austin,United States,North America,all_listings,2025-09-16,2025-09-17,2026-08-25,2026-08-30,347,10,10533,7393,3140,0.2981106997056869,0,137621.0,5526,11079,3686,team_flags,False,partial baseline or endpoint,False,partial baseline or endpoint,5,2,132,1553,1587,0,,0,1553,2796,1553,796,29449.0,12941.0,0.21398623756548782
austin,United States,North America,all_listings,2025-09-16,2025-09-17,2026-08-25,2026-08-30,347,10,10533,7393,3140,0.2981106997056869,0,137621.0,5526,11079,3686,exclude_feb_may_negatives,False,partial baseline or endpoint,False,partial baseline or endpoint,4,1,164,1168,1972,0,,0,1168,2796,1168,275,29449.0,9522.0,0.21398623756548782
austin,United States,North America,reviewed_str_homes,2025-09-16,2025-09-17,2026-08-25,2026-08-30,347,10,6542,4748,1794,0.2742280648119841,0,124493.0,3610,,,team_flags,False,partial baseline or endpoint,False,partial baseline or endpoint,5,2,132,849,945,0,,0,849,1602,849,430,26455.0,11375.0,0.21250190773778446
austin,United States,North America,reviewed_str_homes,2025-09-16,2025-09-17,2026-08-25,2026-08-30,347,10,6542,4748,1794,0.2742280648119841,0,124493.0,3610,,,exclude_feb_may_negatives,False,partial baseline or endpoint,False,partial baseline or endpoint,4,1,164,626,1168,0,,0,626,1602,626,157,26455.0,8511.0,0.21250190773778446
barcelona,Spain,Europe,all_listings,2025-09-14,2025-09-15,2026-08-23,2026-08-29,348,10,19410,12169,7241,0.3730551262235961,0,220224.0,6620,16227,4058,team_flags,True,,True,,6,3,103,4837,2404,0,0.24920144255538382,0,4837,7031,4039,860,49386.0,41185.0,0.22425348735832606
barcelona,Spain,Europe,all_listings,2025-09-14,2025-09-15,2026-08-23,2026-08-29,348,10,19410,12169,7241,0.3730551262235961,0,220224.0,6620,16227,4058,exclude_feb_may_negatives,True,,True,,5,2,166,4039,3202,0,0.20808861411643484,0,4039,7031,4039,603,49386.0,36667.0,0.22425348735832606
barcelona,Spain,Europe,reviewed_str_homes,2025-09-14,2025-09-15,2026-08-23,2026-08-29,348,10,5966,5165,801,0.13426081126382836,0,155771.0,1686,,,team_flags,True,,True,,6,3,103,550,251,0,0.09218907140462622,0,550,757,427,173,10069.0,5841.0,0.06463975964717437
barcelona,Spain,Europe,reviewed_str_homes,2025-09-14,2025-09-15,2026-08-23,2026-08-29,348,10,5966,5165,801,0.13426081126382836,0,155771.0,1686,,,exclude_feb_may_negatives,True,,True,,5,2,166,427,374,0,0.07157224270868254,0,427,757,427,109,10069.0,4570.0,0.06463975964717437
chicago,United States,North America,all_listings,2025-09-22,2025-09-24,2026-08-27,2026-08-30,340,10,8660,6719,1941,0.22413394919168592,22,119632.0,3630,8778,2059,team_flags,True,,True,,7,3,103,1051,890,0,0.12136258660508083,15,1036,1745,1051,1024,19240.0,11612.0,0.16082653470643307
chicago,United States,North America,all_listings,2025-09-22,2025-09-24,2026-08-27,2026-08-30,340,10,8660,6719,1941,0.22413394919168592,22,119632.0,3630,8778,2059,exclude_feb_may_negatives,True,,True,,5,2,164,756,1185,0,0.08729792147806005,11,745,1745,756,237,19240.0,9230.0,0.16082653470643307
chicago,United States,North America,reviewed_str_homes,2025-09-22,2025-09-24,2026-08-27,2026-08-30,340,10,4071,3307,764,0.18766887742569394,21,95871.0,2285,,,team_flags,True,,True,,7,3,103,404,360,0,0.09923851633505282,15,389,671,404,369,15183.0,9129.0,0.1583690584222549
chicago,United States,North America,reviewed_str_homes,2025-09-22,2025-09-24,2026-08-27,2026-08-30,340,10,4071,3307,764,0.18766887742569394,21,95871.0,2285,,,exclude_feb_may_negatives,True,,True,,5,2,164,297,467,0,0.07295504789977893,11,286,671,297,118,15183.0,7292.0,0.1583690584222549
london,United Kingdom,Europe,all_listings,2025-09-14,2025-09-18,2026-08-18,2026-08-30,346,10,96871,67381,29490,0.3044254730517905,0,553096.0,55646,92783,25402,team_flags,True,,True,,4,1,177,9751,19739,0,0.10065964013997997,0,9751,27582,9751,2858,137024.0,50078.0,0.24773999450366663
london,United Kingdom,Europe,all_listings,2025-09-14,2025-09-18,2026-08-18,2026-08-30,346,10,96871,67381,29490,0.3044254730517905,0,553096.0,55646,92783,25402,exclude_feb_may_negatives,True,,True,,4,1,177,9751,19739,0,0.10065964013997997,0,9751,27582,9751,2858,137024.0,50078.0,0.24773999450366663
london,United Kingdom,Europe,reviewed_str_homes,2025-09-14,2025-09-18,2026-08-18,2026-08-30,346,10,33430,22084,11346,0.339395752318277,0,345308.0,17346,,,team_flags,True,,True,,4,1,177,4524,6822,0,0.13532755010469638,0,4524,10501,4524,1540,94934.0,36143.0,0.27492557369073406
london,United Kingdom,Europe,reviewed_str_homes,2025-09-14,2025-09-18,2026-08-18,2026-08-30,346,10,33430,22084,11346,0.339395752318277,0,345308.0,17346,,,exclude_feb_may_negatives,True,,True,,4,1,177,4524,6822,0,0.13532755010469638,0,4524,10501,4524,1540,94934.0,36143.0,0.27492557369073406
los-angeles,United States,North America,all_listings,2025-09-01,2025-09-03,2026-08-10,2026-08-21,352,10,45886,30722,15164,0.3304711676764155,67,357167.0,23025,43735,13013,team_flags,True,,True,,9,5,99,8527,6637,0,0.18583010068430458,51,8476,14049,6698,2138,71205.0,48453.0,0.19936052322862974
los-angeles,United States,North America,all_listings,2025-09-01,2025-09-03,2026-08-10,2026-08-21,352,10,45886,30722,15164,0.3304711676764155,67,357167.0,23025,43735,13013,exclude_feb_may_negatives,True,,True,,5,2,151,5761,9403,0,0.1255502767728719,40,5721,14049,5761,1486,71205.0,32200.0,0.19936052322862974
los-angeles,United States,North America,reviewed_str_homes,2025-09-01,2025-09-03,2026-08-10,2026-08-21,352,10,13184,9530,3654,0.27715412621359226,52,265263.0,7391,,,team_flags,True,,True,,9,5,99,2517,1137,0,0.19091322815533981,40,2477,3236,1982,774,51976.0,35118.0,0.1959413864730475
los-angeles,United States,North America,reviewed_str_homes,2025-09-01,2025-09-03,2026-08-10,2026-08-21,352,10,13184,9530,3654,0.27715412621359226,52,265263.0,7391,,,exclude_feb_may_negatives,True,,True,,5,2,151,1679,1975,0,0.1273513349514563,31,1648,3236,1679,506,51976.0,22304.0,0.1959413864730475
mexico-city,Mexico,Latin America,all_listings,2025-09-27,2025-09-28,2026-08-30,2026-09-03,340,10,27051,20674,6377,0.23573989870984438,0,424458.0,12046,30621,9947,team_flags,True,,False,no valid post-baseline negative observation at least 90 days before endpoint,4,0,251,0,6377,0,,0,0,5623,0,2622,52846.0,0,0.12450230647084046
mexico-city,Mexico,Latin America,all_listings,2025-09-27,2025-09-28,2026-08-30,2026-09-03,340,10,27051,20674,6377,0.23573989870984438,0,424458.0,12046,30621,9947,exclude_feb_may_negatives,True,,False,no valid post-baseline negative observation at least 90 days before endpoint,3,0,281,0,6377,0,,0,0,5623,0,208,52846.0,0,0.12450230647084046
mexico-city,Mexico,Latin America,reviewed_str_homes,2025-09-27,2025-09-28,2026-08-30,2026-09-03,340,10,13996,11537,2459,0.17569305515861675,0,322607.0,6425,,,team_flags,True,,False,no valid post-baseline negative observation at least 90 days before endpoint,4,0,251,0,2459,0,,0,0,2038,0,811,36738.0,0,0.11387849612686643
mexico-city,Mexico,Latin America,reviewed_str_homes,2025-09-27,2025-09-28,2026-08-30,2026-09-03,340,10,13996,11537,2459,0.17569305515861675,0,322607.0,6425,,,exclude_feb_may_negatives,True,,False,no valid post-baseline negative observation at least 90 days before endpoint,3,0,281,0,2459,0,,0,0,2038,0,110,36738.0,0,0.11387849612686643
nashville,United States,North America,all_listings,2025-09-23,2025-09-24,2026-08-27,2026-08-30,340,10,9443,7212,2231,0.23625966324261358,21,171906.0,3787,10164,2952,team_flags,True,,False,no valid post-baseline negative observation at least 90 days before endpoint,3,0,282,0,2231,0,,0,0,1995,0,52,31816.0,0,0.18507789140576827
nashville,United States,North America,all_listings,2025-09-23,2025-09-24,2026-08-27,2026-08-30,340,10,9443,7212,2231,0.23625966324261358,21,171906.0,3787,10164,2952,exclude_feb_may_negatives,True,,False,no valid post-baseline negative observation at least 90 days before endpoint,3,0,282,0,2231,0,,0,0,1995,0,52,31816.0,0,0.18507789140576827
nashville,United States,North America,reviewed_str_homes,2025-09-23,2025-09-24,2026-08-27,2026-08-30,340,10,6638,5118,1520,0.22898463392588128,20,159867.0,2730,,,team_flags,True,,False,no valid post-baseline negative observation at least 90 days before endpoint,3,0,282,0,1520,0,,0,0,1345,0,32,29717.0,0,0.18588576754427116
nashville,United States,North America,reviewed_str_homes,2025-09-23,2025-09-24,2026-08-27,2026-08-30,340,10,6638,5118,1520,0.22898463392588128,20,159867.0,2730,,,exclude_feb_may_negatives,True,,False,no valid post-baseline negative observation at least 90 days before endpoint,3,0,282,0,1520,0,,0,0,1345,0,32,29717.0,0,0.18588576754427116
new-orleans,United States,North America,all_listings,2025-09-11,2025-09-11,2026-08-15,2026-08-27,350,10,7444,5804,1640,0.22031166039763567,33,86472.0,3477,7303,1499,team_flags,True,,True,,8,4,92,1079,561,0,0.14494895217624934,27,1052,1504,989,1266,14779.0,8236.0,0.1709108150615228
new-orleans,United States,North America,all_listings,2025-09-11,2025-09-11,2026-08-15,2026-08-27,350,10,7444,5804,1640,0.22031166039763567,33,86472.0,3477,7303,1499,exclude_feb_may_negatives,True,,True,,5,2,160,924,716,0,0.12412681354110693,24,900,1504,924,1181,14779.0,7194.0,0.1709108150615228
new-orleans,United States,North America,reviewed_str_homes,2025-09-11,2025-09-11,2026-08-15,2026-08-27,350,10,2844,2313,531,0.18670886075949367,29,60561.0,1180,,,team_flags,True,,True,,8,4,92,257,274,0,0.09036568213783404,25,232,472,226,281,9777.0,5444.0,0.1614405310348244
new-orleans,United States,North America,reviewed_str_homes,2025-09-11,2025-09-11,2026-08-15,2026-08-27,350,10,2844,2313,531,0.18670886075949367,29,60561.0,1180,,,exclude_feb_may_negatives,True,,True,,5,2,160,212,319,0,0.07454289732770746,22,190,472,212,222,9777.0,4792.0,0.1614405310348244
new-york-city,United States,North America,all_listings,2025-10-01,2025-10-02,2026-08-10,2026-08-21,323,11,36111,25090,11021,0.30519786214726813,0,143852.0,21382,30234,5144,team_flags,True,,True,,8,5,70,3551,7470,0,0.0983356871867298,0,3551,10459,2074,1320,23833.0,13650.0,0.16567722381336372
new-york-city,United States,North America,all_listings,2025-10-01,2025-10-02,2026-08-10,2026-08-21,323,11,36111,25090,11021,0.30519786214726813,0,143852.0,21382,30234,5144,exclude_feb_may_negatives,True,,True,,5,2,158,1735,9286,0,0.04804630168092825,0,1735,10459,1735,996,23833.0,9582.0,0.16567722381336372
new-york-city,United States,North America,reviewed_str_homes,2025-10-01,2025-10-02,2026-08-10,2026-08-21,323,11,1404,1156,248,0.17663817663817663,0,43603.0,807,,,team_flags,True,,True,,8,5,70,149,99,0,0.10612535612535613,0,149,208,119,103,8123.0,4995.0,0.1862945210191959
new-york-city,United States,North America,reviewed_str_homes,2025-10-01,2025-10-02,2026-08-10,2026-08-21,323,11,1404,1156,248,0.17663817663817663,0,43603.0,807,,,exclude_feb_may_negatives,True,,True,,5,2,158,97,151,0,0.06908831908831908,0,97,208,97,75,8123.0,3532.0,0.1862945210191959
paris,France,Europe,all_listings,2025-09-12,2025-09-15,2026-08-15,2026-08-29,348,10,81853,63454,18399,0.2247810098591377,561,563724.0,59587,78504,15050,team_flags,True,,True,,4,1,175,5348,13051,0,0.0653366400742795,210,5138,17102,5348,1731,107127.0,36037.0,0.19003448496072547
paris,France,Europe,all_listings,2025-09-12,2025-09-15,2026-08-15,2026-08-29,348,10,81853,63454,18399,0.2247810098591377,561,563724.0,59587,78504,15050,exclude_feb_may_negatives,True,,True,,4,1,175,5348,13051,0,0.0653366400742795,210,5138,17102,5348,1731,107127.0,36037.0,0.19003448496072547
paris,France,Europe,reviewed_str_homes,2025-09-12,2025-09-15,2026-08-15,2026-08-29,348,10,35126,27507,7619,0.21690485680122987,463,472736.0,25437,,,team_flags,True,,True,,4,1,175,2756,4863,0,0.07846039970392302,177,2579,6985,2756,955,92455.0,31745.0,0.19557427401340283
paris,France,Europe,reviewed_str_homes,2025-09-12,2025-09-15,2026-08-15,2026-08-29,348,10,35126,27507,7619,0.21690485680122987,463,472736.0,25437,,,exclude_feb_may_negatives,True,,True,,4,1,175,2756,4863,0,0.07846039970392302,177,2579,6985,2756,955,92455.0,31745.0,0.19557427401340283
rome,Italy,Europe,all_listings,2025-09-14,2025-09-15,2026-08-25,2026-08-31,350,10,37652,31001,6651,0.17664400297460958,401,532210.0,20523,37483,6482,team_flags,True,,True,,7,3,112,3951,2700,0,0.10493466482524169,251,3700,6177,3951,4146,55849.0,30943.0,0.10493790045282878
rome,Italy,Europe,all_listings,2025-09-14,2025-09-15,2026-08-25,2026-08-31,350,10,37652,31001,6651,0.17664400297460958,401,532210.0,20523,37483,6482,exclude_feb_may_negatives,True,,True,,5,2,169,2587,4064,0,0.0687081695527462,175,2412,6177,2587,444,55849.0,22410.0,0.10493790045282878
rome,Italy,Europe,reviewed_str_homes,2025-09-14,2025-09-15,2026-08-25,2026-08-31,350,10,21859,18453,3406,0.15581682602131844,302,435666.0,13957,,,team_flags,True,,True,,7,3,112,1977,1429,0,0.09044329566768837,196,1781,3147,1977,1477,47684.0,26961.0,0.10945081782833639
rome,Italy,Europe,reviewed_str_homes,2025-09-14,2025-09-15,2026-08-25,2026-08-31,350,10,21859,18453,3406,0.15581682602131844,302,435666.0,13957,,,exclude_feb_may_negatives,True,,True,,5,2,169,1432,1974,0,0.06551077359440048,134,1298,3147,1432,233,47684.0,19416.0,0.10945081782833639
san-diego,United States,North America,all_listings,2025-09-25,2025-09-25,2026-08-29,2026-08-30,339,11,13162,10127,3035,0.23058805652636377,162,185752.0,5990,13342,3215,team_flags,True,,True,,10,6,78,2143,892,0,0.16281720103327763,132,2011,2712,1711,1923,29270.0,18546.0,0.15757569232094407
san-diego,United States,North America,all_listings,2025-09-25,2025-09-25,2026-08-29,2026-08-30,339,11,13162,10127,3035,0.23058805652636377,162,185752.0,5990,13342,3215,exclude_feb_may_negatives,True,,True,,6,3,160,1197,1838,0,0.09094362558881629,95,1102,2712,1197,513,29270.0,10116.0,0.15757569232094407
san-diego,United States,North America,reviewed_str_homes,2025-09-25,2025-09-25,2026-08-29,2026-08-30,339,11,7037,5716,1321,0.18772204064231918,137,157201.0,3365,,,team_flags,True,,True,,10,6,78,900,421,0,0.12789540997584198,111,789,1154,734,713,23919.0,15042.0,0.1521555206391817
