market,country,catalogued_snapshots,acquired_snapshots,status,reason
austin,United States,10,10,excluded_endpoint_coverage,Source-flagged baseline or endpoint; do not pool
barcelona,Spain,10,10,pair_eligible,
chicago,United States,10,10,pair_eligible,
london,United Kingdom,10,10,pair_eligible,
los-angeles,United States,10,10,pair_eligible,
mexico-city,Mexico,10,10,pair_eligible,
nashville,United States,10,10,pair_eligible,
new-orleans,United States,10,10,pair_eligible,
new-york-city,United States,11,11,pair_eligible,
paris,France,10,10,pair_eligible,
rome,Italy,10,10,pair_eligible,
san-diego,United States,11,11,pair_eligible,
sydney,Australia,10,10,pair_eligible,
