name,full_name,created_at,pushed_at,updated_at,language,stargazers_count,forks_count,open_issues_count,archived,fork,size,description,html_url,license
viaduct,airbnb/viaduct,2025-07-22T18:59:03Z,2026-09-14T10:38:21Z,2026-09-14T10:38:25Z,Kotlin,173,37,4,False,False,70378,Viaduct is a GraphQL-based system that provides a unified interface for accessing and interacting with any data source.,https://github.com/airbnb/viaduct,Apache-2.0
kaldb,airbnb/kaldb,2023-08-18T18:23:24Z,2026-09-13T23:56:23Z,2026-09-11T13:01:14Z,Java,31,4,0,False,True,7912,"KalDB is a cloud-native search and analytics engine for log, trace, and audit data",https://github.com/airbnb/kaldb,MIT
swift,airbnb/swift,2016-07-19T21:33:28Z,2026-09-12T16:14:35Z,2026-09-12T16:14:38Z,Markdown,2753,351,2,False,False,960,Airbnb's Swift Style Guide,https://github.com/airbnb/swift,MIT
chronon,airbnb/chronon,2020-09-30T23:20:42Z,2026-09-11T22:59:38Z,2026-09-13T17:45:55Z,Scala,1048,108,95,False,False,14120,Chronon is a data platform for serving for AI/ML applications.,https://github.com/airbnb/chronon,Apache-2.0
goji-js,airbnb/goji-js,2020-05-20T19:06:19Z,2026-09-09T03:28:50Z,2026-09-09T03:28:53Z,TypeScript,241,31,13,False,False,5783,React ❤️ Mini Program,https://github.com/airbnb/goji-js,MIT
eslint-plugin-miniprogram,airbnb/eslint-plugin-miniprogram,2019-06-03T21:14:20Z,2026-09-07T07:28:36Z,2026-09-07T07:28:33Z,TypeScript,34,11,1,False,False,1085,,https://github.com/airbnb/eslint-plugin-miniprogram,MIT
HorizonCalendar,airbnb/HorizonCalendar,2020-06-17T01:06:23Z,2026-09-03T20:43:33Z,2026-09-13T18:39:43Z,Swift,3158,264,64,False,False,20325,"A declarative, performant, iOS calendar UI component that supports use cases ranging from simple date pickers all the way up to fully-featured calendar apps.",https://github.com/airbnb/HorizonCalendar,Apache-2.0
NautilusTelemetry,airbnb/NautilusTelemetry,2025-03-13T16:18:41Z,2026-09-02T18:30:00Z,2026-09-02T18:30:17Z,Swift,9,2,0,False,True,524, An iOS implementation of OTLP and selected features from OpenTelemetry,https://github.com/airbnb/NautilusTelemetry,MIT
lottie-ios,airbnb/lottie-ios,2016-10-06T22:38:38Z,2026-09-02T17:51:00Z,2026-09-13T19:47:37Z,Swift,26874,3835,44,False,False,202659,An iOS library to natively render After Effects vector animations,https://github.com/airbnb/lottie-ios,Apache-2.0
agent-harness-optimizer,airbnb/agent-harness-optimizer,2026-08-31T13:03:54Z,2026-08-31T16:12:35Z,2026-09-12T20:42:30Z,Python,2,0,0,False,False,261,A benchmark-agnostic framework for automatically optimizing LLM agent harnesses,https://github.com/airbnb/agent-harness-optimizer,Apache-2.0
project-lighthouse-anonymize,airbnb/project-lighthouse-anonymize,2026-01-16T16:21:40Z,2026-08-31T09:15:27Z,2026-08-24T21:17:43Z,Python,2,1,2,False,False,281,Privacy-preserving data anonymization using k-anonymity and related algorithms.,https://github.com/airbnb/project-lighthouse-anonymize,MIT
MagazineLayout,airbnb/MagazineLayout,2018-11-16T22:16:03Z,2026-07-30T22:15:59Z,2026-09-10T20:29:28Z,Swift,3379,222,14,False,False,5496,A collection view layout capable of laying out views in vertically scrolling grids and lists.,https://github.com/airbnb/MagazineLayout,Apache-2.0
rudolph,airbnb/rudolph,2021-08-26T20:23:03Z,2026-07-27T17:33:33Z,2026-09-07T14:19:21Z,Go,111,21,7,False,False,528,"A serverless sync server for Santa, built on AWS",https://github.com/airbnb/rudolph,MIT
epoxy-ios,airbnb/epoxy-ios,2018-10-10T00:54:13Z,2026-07-24T19:29:56Z,2026-09-13T18:33:47Z,Swift,1318,78,11,False,False,6695,Epoxy is a suite of declarative UI APIs for building UIKit applications in Swift,https://github.com/airbnb/epoxy-ios,Apache-2.0
