check,passed,max_abs_error
bootstrap-interval:W1:1:same_quarter,True,1.4210854715202004e-14
bootstrap-interval:W1:1:one_earlier,True,3.552713678800501e-15
bootstrap-interval:W1:1:two_earlier,True,1.4210854715202004e-14
bootstrap-interval:W1:1:older_finite_tail,True,3.9968028886505635e-15
bootstrap-interval:W1:2:same_quarter,True,7.993605777301127e-15
bootstrap-interval:W1:2:one_earlier,True,7.105427357601002e-15
bootstrap-interval:W1:2:two_earlier,True,1.4210854715202004e-14
bootstrap-interval:W1:2:older_finite_tail,True,3.552713678800501e-15
bootstrap-interval:W1:3:same_quarter,True,7.105427357601002e-15
bootstrap-interval:W1:3:one_earlier,True,7.105427357601002e-15
bootstrap-interval:W1:3:two_earlier,True,7.105427357601002e-15
bootstrap-interval:W1:3:older_finite_tail,True,3.552713678800501e-15
bootstrap-interval:W1:4:same_quarter,True,7.105427357601002e-15
bootstrap-interval:W1:4:one_earlier,True,8.881784197001252e-16
bootstrap-interval:W1:4:two_earlier,True,4.263256414560601e-14
bootstrap-interval:W1:4:older_finite_tail,True,2.6645352591003757e-15
bootstrap-interval:W2:1:same_quarter,True,2.842170943040401e-14
bootstrap-interval:W2:1:one_earlier,True,3.552713678800501e-15
bootstrap-interval:W2:1:two_earlier,True,1.4210854715202004e-14
bootstrap-interval:W2:1:older_finite_tail,True,2.6645352591003757e-15
bootstrap-interval:W2:2:same_quarter,True,1.4210854715202004e-14
bootstrap-interval:W2:2:one_earlier,True,7.105427357601002e-15
bootstrap-interval:W2:2:two_earlier,True,1.4210854715202004e-14
bootstrap-interval:W2:2:older_finite_tail,True,1.7763568394002505e-15
bootstrap-interval:W2:3:same_quarter,True,1.4210854715202004e-14
bootstrap-interval:W2:3:one_earlier,True,3.552713678800501e-15
bootstrap-interval:W2:3:two_earlier,True,2.842170943040401e-14
bootstrap-interval:W2:3:older_finite_tail,True,3.552713678800501e-15
bootstrap-interval:W2:4:same_quarter,True,7.105427357601002e-15
bootstrap-interval:W2:4:one_earlier,True,3.552713678800501e-15
bootstrap-interval:W2:4:two_earlier,True,1.4210854715202004e-14
bootstrap-interval:W2:4:older_finite_tail,True,2.6645352591003757e-15
paired-bootstrap:tail34:W1,True,1.8189894035458565e-12
paired-bootstrap:tail34:W2,True,9.094947017729282e-13
paired-bootstrap:tail3:W1,True,4.547473508864641e-13
paired-bootstrap:tail3:W2,True,4.547473508864641e-13
paired-bootstrap:tail38:W1,True,1.7053025658242404e-13
paired-bootstrap:tail38:W2,True,1.7053025658242404e-13
flight-train:2024Q3:2022Q4:vintage,True,0.0
flight-train:2024Q3:2022Q4:outcome,True,0.0
flight-train:2024Q3:2022Q4:xy,True,9.71445146547012e-17
flight-train:2024Q3:2023Q1:vintage,True,0.0
flight-train:2024Q3:2023Q1:outcome,True,0.0
flight-train:2024Q3:2023Q1:xy,True,5.898059818321144e-17
flight-train:2024Q3:2023Q2:vintage,True,0.0
flight-train:2024Q3:2023Q2:outcome,True,0.0
flight-train:2024Q3:2023Q2:xy,True,0.0
flight-train:2024Q3:2023Q3:vintage,True,0.0
flight-train:2024Q3:2023Q3:outcome,True,0.0
flight-train:2024Q3:2023Q3:xy,True,4.163336342344337e-17
flight-train:2024Q3:2023Q4:vintage,True,0.0
flight-train:2024Q3:2023Q4:outcome,True,0.0
flight-train:2024Q3:2023Q4:xy,True,8.673617379884035e-17
flight-train:2024Q3:2024Q1:vintage,True,0.0
flight-train:2024Q3:2024Q1:outcome,True,0.0
flight-train:2024Q3:2024Q1:xy,True,9.367506770274758e-17
flight-train:2024Q4:2022Q4:vintage,True,0.0
flight-train:2024Q4:2022Q4:outcome,True,0.0
flight-train:2024Q4:2022Q4:xy,True,9.71445146547012e-17
flight-train:2024Q4:2023Q1:vintage,True,0.0
flight-train:2024Q4:2023Q1:outcome,True,0.0
flight-train:2024Q4:2023Q1:xy,True,5.898059818321144e-17
flight-train:2024Q4:2023Q2:vintage,True,0.0
flight-train:2024Q4:2023Q2:outcome,True,0.0
flight-train:2024Q4:2023Q2:xy,True,0.0
flight-train:2024Q4:2023Q3:vintage,True,0.0
flight-train:2024Q4:2023Q3:outcome,True,0.0
flight-train:2024Q4:2023Q3:xy,True,4.163336342344337e-17
flight-train:2024Q4:2023Q4:vintage,True,0.0
flight-train:2024Q4:2023Q4:outcome,True,0.0
flight-train:2024Q4:2023Q4:xy,True,8.673617379884035e-17
flight-train:2024Q4:2024Q1:vintage,True,0.0
flight-train:2024Q4:2024Q1:outcome,True,0.0
flight-train:2024Q4:2024Q1:xy,True,9.367506770274758e-17
flight-train:2024Q4:2024Q2:vintage,True,0.0
flight-train:2024Q4:2024Q2:outcome,True,0.0
flight-train:2024Q4:2024Q2:xy,True,9.367506770274758e-17
flight-train:2025Q1:2022Q4:vintage,True,0.0
flight-train:2025Q1:2022Q4:outcome,True,0.0
flight-train:2025Q1:2022Q4:xy,True,9.71445146547012e-17
flight-train:2025Q1:2023Q1:vintage,True,0.0
flight-train:2025Q1:2023Q1:outcome,True,0.0
flight-train:2025Q1:2023Q1:xy,True,5.898059818321144e-17
flight-train:2025Q1:2023Q2:vintage,True,0.0
flight-train:2025Q1:2023Q2:outcome,True,0.0
flight-train:2025Q1:2023Q2:xy,True,0.0
flight-train:2025Q1:2023Q3:vintage,True,0.0
flight-train:2025Q1:2023Q3:outcome,True,0.0
flight-train:2025Q1:2023Q3:xy,True,4.163336342344337e-17
flight-train:2025Q1:2023Q4:vintage,True,0.0
flight-train:2025Q1:2023Q4:outcome,True,0.0
flight-train:2025Q1:2023Q4:xy,True,8.673617379884035e-17
flight-train:2025Q1:2024Q1:vintage,True,0.0
flight-train:2025Q1:2024Q1:outcome,True,0.0
flight-train:2025Q1:2024Q1:xy,True,9.367506770274758e-17
flight-train:2025Q1:2024Q2:vintage,True,0.0
flight-train:2025Q1:2024Q2:outcome,True,0.0
flight-train:2025Q1:2024Q2:xy,True,9.367506770274758e-17
flight-train:2025Q1:2024Q3:vintage,True,0.0
flight-train:2025Q1:2024Q3:outcome,True,0.0
flight-train:2025Q1:2024Q3:xy,True,8.326672684688674e-17
flight-train:2025Q2:2022Q4:vintage,True,0.0
flight-train:2025Q2:2022Q4:outcome,True,0.0
flight-train:2025Q2:2022Q4:xy,True,9.71445146547012e-17
flight-train:2025Q2:2023Q1:vintage,True,0.0
flight-train:2025Q2:2023Q1:outcome,True,0.0
flight-train:2025Q2:2023Q1:xy,True,5.898059818321144e-17
flight-train:2025Q2:2023Q2:vintage,True,0.0
flight-train:2025Q2:2023Q2:outcome,True,0.0
flight-train:2025Q2:2023Q2:xy,True,0.0
flight-train:2025Q2:2023Q3:vintage,True,0.0
flight-train:2025Q2:2023Q3:outcome,True,0.0
flight-train:2025Q2:2023Q3:xy,True,4.163336342344337e-17
flight-train:2025Q2:2023Q4:vintage,True,0.0
flight-train:2025Q2:2023Q4:outcome,True,0.0
flight-train:2025Q2:2023Q4:xy,True,8.673617379884035e-17
flight-train:2025Q2:2024Q1:vintage,True,0.0
flight-train:2025Q2:2024Q1:outcome,True,0.0
flight-train:2025Q2:2024Q1:xy,True,9.367506770274758e-17
flight-train:2025Q2:2024Q2:vintage,True,0.0
flight-train:2025Q2:2024Q2:outcome,True,0.0
flight-train:2025Q2:2024Q2:xy,True,9.367506770274758e-17
flight-train:2025Q2:2024Q3:vintage,True,0.0
flight-train:2025Q2:2024Q3:outcome,True,0.0
