method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version
guidance-policy,q4_2026_guide_mid,guide_mid,2026Q4,2026-09-11,1,3110.098849283979,3110.098849283979,LIVE,PIT,6,25,2955.068406846411,2989.3102861209672,3046.5269650268347,3173.670733541123,3230.8874124469903,3265.1292917215465,94.2518166342234,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv25900|fee_none,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_guide_mid,guide_mid,2026Q4,2026-09-11,1,3148.9750849000284,3148.9750849000284,LIVE,PIT,6,25,2992.006761931991,3026.6766646974793,3084.60855208967,3213.341617710387,3271.2735051025775,3305.9434078680656,95.42996434215118,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv25900|fee_half_weight,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_guide_mid,guide_mid,2026Q4,2026-09-11,1,3187.851320516078,3187.851320516078,LIVE,PIT,6,25,3028.945117017571,3064.043043273991,3122.6901391525053,3253.0125018796507,3311.659597758165,3346.7575240145848,96.60811205007899,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv25900|fee_full_weight,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_guide_mid,guide_mid,2026Q4,2026-09-11,1,3132.53880300666,3132.53880300666,LIVE,PIT,6,25,2976.389786490746,3010.8787274258902,3068.5082355339896,3196.5693704793307,3254.19887858743,3288.6878195225745,94.93186138715386,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv26185|fee_none,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_guide_mid,guide_mid,2026Q4,2026-09-11,1,3171.695538044243,3171.695538044243,LIVE,PIT,6,25,3013.59465882188,3048.5147115187137,3106.8645884781645,3236.526487610322,3294.8763645697727,3329.7964172666066,96.11850965449327,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv26185|fee_half_weight,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_guide_mid,guide_mid,2026Q4,2026-09-11,1,3210.8522730818263,3210.8522730818263,LIVE,PIT,6,25,3050.799531153014,3086.1506956115372,3145.220941422339,3276.4836047413137,3335.5538505521154,3370.9050150106386,97.30515792183269,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv26185|fee_full_weight,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_guide_mid,guide_mid,2026Q4,2026-09-11,1,3141.5935211754622,3141.5935211754622,LIVE,PIT,6,25,2984.9931502068816,3019.5817826892808,3077.37787100179,3205.8091713491344,3263.6052596616437,3298.193892144043,95.20626541026617,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv26300|fee_none,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_guide_mid,guide_mid,2026Q4,2026-09-11,1,3180.8634401901554,3180.8634401901554,LIVE,PIT,6,25,3022.3055645844674,3057.3265549728967,3115.845094389312,3245.8817859909987,3304.400325407414,3339.4213157958434,96.39634372789449,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv26300|fee_half_weight,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_guide_mid,guide_mid,2026Q4,2026-09-11,1,3220.1333592048486,3220.1333592048486,LIVE,PIT,6,25,3059.6179789620533,3095.0713272565126,3154.3123177768343,3285.954400632863,3345.1953911531846,3380.648739447644,97.58642204552281,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv26300|fee_full_weight,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_guide_mid,guide_mid,2026Q4,2026-09-11,1,3165.214525094075,3165.214525094075,LIVE,PIT,6,25,3007.436707727234,3042.2854051155164,3100.5160504830064,3229.912999705143,3288.1436450726333,3322.9923424609156,95.92210199229825,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv26600|fee_none,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
guidance-policy,q4_2026_guide_mid,guide_mid,2026Q4,2026-09-11,1,3204.779706657751,3204.779706657751,LIVE,PIT,6,25,3045.0296665738247,3080.31397267946,3139.272501114044,3270.2869122014577,3329.2454406360416,3364.529746741677,97.12112826720198,,,,,,Zacks;Alpha Vantage,2026-09-04,2026-09-11,gbv26600|fee_half_weight,headline row is gbv26300|fee_half_weight; lam_q4=12.030 c=1.857 sd=3.03pp,1.0
