feature,target,window,n,n_expected,rmse,interval_n,interval_rmse,n_required_baseline_common,required_ledger_ratio,required_ledger_status,raw_ledger_diagnostic_n,raw_ledger_diagnostic_ratio,stable_sign,slope_min,slope_max,excluded_quarters,common_raw_quarters,verdict,promoted,same_cells_warning
rnpl_corrected_unearned,gbv_yoy,W1,0,14,,0,,0,,no baseline exists,0,,False,,,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,,underpowered,False,
rnpl_corrected_unearned,gbv_yoy,W2,0,10,,0,,0,,no baseline exists,0,,False,,,2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,,underpowered,False,
rnpl_corrected_unearned,R_musd,W1,0,14,,0,,0,,no baseline exists,0,,False,,,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,,underpowered,False,
rnpl_corrected_unearned,R_musd,W2,0,10,,0,,0,,no baseline exists,0,,False,,,2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,,underpowered,False,
funds_growth,gbv_yoy,W1,3,14,6.465116763158316,3,5.9917678894847555,0,,no baseline exists,3,3.137113813374483,False,-0.11659686126521682,0.04949591187990603,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3,2025Q4;2026Q1;2026Q2,underpowered,False,vacuous across windows: identical common cells
funds_growth,gbv_yoy,W2,3,10,6.465116763158316,3,5.9917678894847555,0,,no baseline exists,3,3.137113813374483,False,-0.11659686126521682,0.04949591187990603,2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3,2025Q4;2026Q1;2026Q2,underpowered,False,vacuous across windows: identical common cells
funds_growth,R_musd,W1,3,14,118.62275033572791,0,,0,,no baseline exists,3,0.6076601259415793,False,-10.870721211452814,4.145187588449755,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3,2025Q4;2026Q1;2026Q2,underpowered,False,vacuous across windows: identical common cells
funds_growth,R_musd,W2,3,10,118.62275033572791,0,,0,,no baseline exists,3,0.6076601259415793,False,-10.870721211452814,4.145187588449755,2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3,2025Q4;2026Q1;2026Q2,underpowered,False,vacuous across windows: identical common cells
gbv_momentum,gbv_yoy,W1,13,14,9.576655491546745,12,9.134586733986316,0,,no baseline exists,3,1.5444058892314239,False,-0.060966497644947576,0.36597277810866147,2023Q1,2025Q4;2026Q1;2026Q2,underpowered,False,vacuous across windows: identical common cells
gbv_momentum,gbv_yoy,W2,10,10,5.557729353077457,9,4.598119023666307,0,,no baseline exists,3,1.5444058892314239,True,0.2453597662450757,0.36597277810866147,,2025Q4;2026Q1;2026Q2,underpowered,False,vacuous across windows: identical common cells
gbv_momentum,R_musd,W1,13,14,283.2193093936058,0,,0,,no baseline exists,3,0.9066762235609986,False,-4.766722107708354,2.1996597342896465,2023Q1,2025Q4;2026Q1;2026Q2,underpowered,False,vacuous across windows: identical common cells
gbv_momentum,R_musd,W2,10,10,264.29528779036553,0,,0,,no baseline exists,3,0.9066762235609986,True,-4.766722107708354,-1.4618604393305372,,2025Q4;2026Q1;2026Q2,underpowered,False,vacuous across windows: identical common cells
ntto_arrivals,gbv_yoy,W1,0,14,,0,,0,,no baseline exists,0,,False,,,2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;2026Q2,,underpowered,False,
