feature,target,quarter,vintage_date,status,reason
rnpl_corrected_unearned,gbv_yoy,2021Q4,2021-11-04,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,gbv_yoy,2022Q1,2022-02-15,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,gbv_yoy,2022Q2,2022-05-03,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,gbv_yoy,2022Q3,2022-08-02,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,gbv_yoy,2022Q4,2022-11-01,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,gbv_yoy,2023Q1,2023-02-14,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,gbv_yoy,2023Q2,2023-05-09,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,gbv_yoy,2023Q3,2023-08-03,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,gbv_yoy,2023Q4,2023-11-01,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,gbv_yoy,2024Q1,2024-02-13,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,gbv_yoy,2024Q2,2024-05-08,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,gbv_yoy,2024Q3,2024-08-06,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,gbv_yoy,2024Q4,2024-11-07,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,gbv_yoy,2025Q1,2025-02-13,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,gbv_yoy,2025Q2,2025-05-01,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,gbv_yoy,2025Q3,2025-08-06,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,gbv_yoy,2025Q4,2025-11-06,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,gbv_yoy,2026Q1,2026-02-12,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,gbv_yoy,2026Q2,2026-05-07,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,R_musd,2021Q4,2021-11-04,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,R_musd,2022Q1,2022-02-15,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,R_musd,2022Q2,2022-05-03,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,R_musd,2022Q3,2022-08-02,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,R_musd,2022Q4,2022-11-01,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,R_musd,2023Q1,2023-02-14,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,R_musd,2023Q2,2023-05-09,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,R_musd,2023Q3,2023-08-03,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,R_musd,2023Q4,2023-11-01,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,R_musd,2024Q1,2024-02-13,unavailable,no historical publication vintage for RNPL correction; no baseline exists
rnpl_corrected_unearned,R_musd,2024Q2,2024-05-08,unavailable,no historical publication vintage for RNPL correction; no baseline exists
