freq,unit,coicop18,geo,time,value
M,RCH_A,CP11203,AT,2015-01,2.9
M,RCH_A,CP11203,AT,2015-02,2.9
M,RCH_A,CP11203,AT,2015-03,2.9
M,RCH_A,CP11203,AT,2015-04,2.9
M,RCH_A,CP11203,AT,2015-05,2.9
M,RCH_A,CP11203,AT,2015-06,2.9
M,RCH_A,CP11203,AT,2015-07,2.9
M,RCH_A,CP11203,AT,2015-08,2.9
M,RCH_A,CP11203,AT,2015-09,2.9
M,RCH_A,CP11203,AT,2015-10,0.5
M,RCH_A,CP11203,AT,2015-11,0.5
M,RCH_A,CP11203,AT,2015-12,0.5
M,RCH_A,CP11203,AT,2016-01,1.4
M,RCH_A,CP11203,AT,2016-02,1.4
M,RCH_A,CP11203,AT,2016-03,1.4
M,RCH_A,CP11203,AT,2016-04,1.4
M,RCH_A,CP11203,AT,2016-05,1.4
M,RCH_A,CP11203,AT,2016-06,1.4
M,RCH_A,CP11203,AT,2016-07,1.4
M,RCH_A,CP11203,AT,2016-08,1.4
M,RCH_A,CP11203,AT,2016-09,1.2
M,RCH_A,CP11203,AT,2016-10,4.6
M,RCH_A,CP11203,AT,2016-11,4.6
M,RCH_A,CP11203,AT,2016-12,4.6
M,RCH_A,CP11203,AT,2017-01,3.8
M,RCH_A,CP11203,AT,2017-02,3.8
M,RCH_A,CP11203,AT,2017-03,3.8
M,RCH_A,CP11203,AT,2017-04,3.8
M,RCH_A,CP11203,AT,2017-05,3.8
M,RCH_A,CP11203,AT,2017-06,3.8
M,RCH_A,CP11203,AT,2017-07,3.8
M,RCH_A,CP11203,AT,2017-08,3.8
M,RCH_A,CP11203,AT,2017-09,5.4
M,RCH_A,CP11203,AT,2017-10,2.0
M,RCH_A,CP11203,AT,2017-11,2.0
M,RCH_A,CP11203,AT,2017-12,2.0
M,RCH_A,CP11203,AT,2018-01,2.0
M,RCH_A,CP11203,AT,2018-02,2.0
M,RCH_A,CP11203,AT,2018-03,2.0
M,RCH_A,CP11203,AT,2018-04,2.0
M,RCH_A,CP11203,AT,2018-05,2.0
M,RCH_A,CP11203,AT,2018-06,2.0
M,RCH_A,CP11203,AT,2018-07,2.0
M,RCH_A,CP11203,AT,2018-08,2.0
M,RCH_A,CP11203,AT,2018-09,0.5
M,RCH_A,CP11203,AT,2018-10,0.5
M,RCH_A,CP11203,AT,2018-11,0.5
M,RCH_A,CP11203,AT,2018-12,0.5
M,RCH_A,CP11203,AT,2019-01,0.5
M,RCH_A,CP11203,AT,2019-02,0.5
M,RCH_A,CP11203,AT,2019-03,0.5
M,RCH_A,CP11203,AT,2019-04,0.5
M,RCH_A,CP11203,AT,2019-05,0.5
M,RCH_A,CP11203,AT,2019-06,0.5
M,RCH_A,CP11203,AT,2019-07,0.5
M,RCH_A,CP11203,AT,2019-08,0.5
M,RCH_A,CP11203,AT,2019-09,1.2
M,RCH_A,CP11203,AT,2019-10,2.3
M,RCH_A,CP11203,AT,2019-11,2.3
M,RCH_A,CP11203,AT,2019-12,2.3
M,RCH_A,CP11203,AT,2020-01,2.3
M,RCH_A,CP11203,AT,2020-02,2.3
M,RCH_A,CP11203,AT,2020-03,2.3
M,RCH_A,CP11203,AT,2020-04,2.3
M,RCH_A,CP11203,AT,2020-05,2.3
M,RCH_A,CP11203,AT,2020-06,2.3
M,RCH_A,CP11203,AT,2020-07,2.3
M,RCH_A,CP11203,AT,2020-08,2.3
M,RCH_A,CP11203,AT,2020-09,4.3
M,RCH_A,CP11203,AT,2020-10,3.0
M,RCH_A,CP11203,AT,2020-11,3.0
M,RCH_A,CP11203,AT,2020-12,3.0
M,RCH_A,CP11203,AT,2021-01,3.0
M,RCH_A,CP11203,AT,2021-02,3.0
M,RCH_A,CP11203,AT,2021-03,3.0
M,RCH_A,CP11203,AT,2021-04,3.0
M,RCH_A,CP11203,AT,2021-05,3.0
M,RCH_A,CP11203,AT,2021-06,3.0
M,RCH_A,CP11203,AT,2021-07,3.0
M,RCH_A,CP11203,AT,2021-08,3.0
M,RCH_A,CP11203,AT,2021-09,3.6
M,RCH_A,CP11203,AT,2021-10,3.6
M,RCH_A,CP11203,AT,2021-11,3.6
M,RCH_A,CP11203,AT,2021-12,3.6
M,RCH_A,CP11203,AT,2022-01,3.6
M,RCH_A,CP11203,AT,2022-02,4.9
M,RCH_A,CP11203,AT,2022-03,4.9
M,RCH_A,CP11203,AT,2022-04,4.9
M,RCH_A,CP11203,AT,2022-05,4.9
M,RCH_A,CP11203,AT,2022-06,4.9
M,RCH_A,CP11203,AT,2022-07,4.9
M,RCH_A,CP11203,AT,2022-08,4.9
M,RCH_A,CP11203,AT,2022-09,10.5
M,RCH_A,CP11203,AT,2022-10,12.6
M,RCH_A,CP11203,AT,2022-11,12.6
M,RCH_A,CP11203,AT,2022-12,12.6
M,RCH_A,CP11203,AT,2023-01,12.6
M,RCH_A,CP11203,AT,2023-02,11.3
M,RCH_A,CP11203,AT,2023-03,11.3
M,RCH_A,CP11203,AT,2023-04,11.3
M,RCH_A,CP11203,AT,2023-05,11.3
M,RCH_A,CP11203,AT,2023-06,11.3
M,RCH_A,CP11203,AT,2023-07,11.3
M,RCH_A,CP11203,AT,2023-08,11.3
M,RCH_A,CP11203,AT,2023-09,10.5
M,RCH_A,CP11203,AT,2023-10,8.5
M,RCH_A,CP11203,AT,2023-11,8.5
M,RCH_A,CP11203,AT,2023-12,8.5
M,RCH_A,CP11203,AT,2024-01,8.5
M,RCH_A,CP11203,AT,2024-02,8.5
M,RCH_A,CP11203,AT,2024-03,8.5
M,RCH_A,CP11203,AT,2024-04,8.5
M,RCH_A,CP11203,AT,2024-05,8.5
M,RCH_A,CP11203,AT,2024-06,8.5
M,RCH_A,CP11203,AT,2024-07,8.5
