period,series,value
2022-01,hotels_and_similar,1613323.0
2022-02,hotels_and_similar,2388022.0
2022-03,hotels_and_similar,3306840.0
2022-04,hotels_and_similar,4981283.0
2022-05,hotels_and_similar,5388904.0
2022-06,hotels_and_similar,5917428.0
2022-07,hotels_and_similar,7071288.0
2022-08,hotels_and_similar,8034018.0
2022-09,hotels_and_similar,6328534.0
2022-10,hotels_and_similar,5655163.0
2022-11,hotels_and_similar,3503875.0
2022-12,hotels_and_similar,3049750.0
2023-01,hotels_and_similar,2821391.0
2023-02,hotels_and_similar,3305674.0
2023-03,hotels_and_similar,4192971.0
2023-04,hotels_and_similar,5626013.0
2023-05,hotels_and_similar,5862954.0
2023-06,hotels_and_similar,6048364.0
2023-07,hotels_and_similar,7065051.0
2023-08,hotels_and_similar,8070785.0
2023-09,hotels_and_similar,6690935.0
2023-10,hotels_and_similar,6093169.0
2023-11,hotels_and_similar,3782095.0
2023-12,hotels_and_similar,3301911.0
2024-01,hotels_and_similar,2845976.0
2024-02,hotels_and_similar,3521939.0
2024-03,hotels_and_similar,4695981.0
2024-04,hotels_and_similar,5359065.0
2024-05,hotels_and_similar,6259299.0
2024-06,hotels_and_similar,6346419.0
2024-07,hotels_and_similar,7248984.0
2024-08,hotels_and_similar,8318787.0
2024-09,hotels_and_similar,6815270.0
2024-10,hotels_and_similar,6243081.0
2024-11,hotels_and_similar,4131005.0
2024-12,hotels_and_similar,3407183.0
2025-01,hotels_and_similar,3026241.0
2025-02,hotels_and_similar,3449991.0
2025-03,hotels_and_similar,4600643.0
2025-04,hotels_and_similar,5816962.0
2025-05,hotels_and_similar,6338176.0
2025-06,hotels_and_similar,6526590.0
2025-07,hotels_and_similar,7547232.0
2025-08,hotels_and_similar,8467398.0
2025-09,hotels_and_similar,6861873.0
2025-10,hotels_and_similar,6375963.0
2025-11,hotels_and_similar,4206534.0
2025-12,hotels_and_similar,3533976.0
2026-01,hotels_and_similar,3110521.0
2026-02,hotels_and_similar,3520815.0
2026-03,hotels_and_similar,4652082.0
2026-04,hotels_and_similar,5879125.0
2026-05,hotels_and_similar,6499702.0
2026-06,hotels_and_similar,6595511.0
2022-01,local_accommodation,314386.0
2022-02,local_accommodation,437980.0
2022-03,local_accommodation,593774.0
2022-04,local_accommodation,809360.0
2022-05,local_accommodation,897555.0
2022-06,local_accommodation,997242.0
2022-07,local_accommodation,1223144.0
2022-08,local_accommodation,1411249.0
2022-09,local_accommodation,1066491.0
2022-10,local_accommodation,918512.0
2022-11,local_accommodation,630973.0
2022-12,local_accommodation,554004.0
2023-01,local_accommodation,527154.0
2023-02,local_accommodation,593200.0
2023-03,local_accommodation,758046.0
2023-04,local_accommodation,967241.0
2023-05,local_accommodation,1040474.0
2023-06,local_accommodation,1122530.0
2023-07,local_accommodation,1345076.0
2023-08,local_accommodation,1529843.0
2023-09,local_accommodation,1220508.0
2023-10,local_accommodation,1044429.0
2023-11,local_accommodation,664697.0
2023-12,local_accommodation,599708.0
2024-01,local_accommodation,526508.0
2024-02,local_accommodation,631456.0
2024-03,local_accommodation,855190.0
2024-04,local_accommodation,971526.0
2024-05,local_accommodation,1168889.0
2024-06,local_accommodation,1190558.0
2024-07,local_accommodation,1403646.0
2024-08,local_accommodation,1648215.0
2024-09,local_accommodation,1290353.0
2024-10,local_accommodation,1077327.0
2024-11,local_accommodation,720737.0
2024-12,local_accommodation,605978.0
2025-01,local_accommodation,530417.0
2025-02,local_accommodation,593287.0
2025-03,local_accommodation,783231.0
2025-04,local_accommodation,1042280.0
2025-05,local_accommodation,1167806.0
2025-06,local_accommodation,1204936.0
2025-07,local_accommodation,1425172.0
2025-08,local_accommodation,1629909.0
2025-09,local_accommodation,1283273.0
2025-10,local_accommodation,1072196.0
2025-11,local_accommodation,668961.0
2025-12,local_accommodation,576053.0
2026-01,local_accommodation,522118.0
2026-02,local_accommodation,556932.0
2026-03,local_accommodation,801962.0
2026-04,local_accommodation,1007134.0
2026-05,local_accommodation,1178114.0
2026-06,local_accommodation,1187912.0
2022-01,total,1993952.0
2022-02,total,2922077.0
2022-03,total,4012532.0
2022-04,total,5999962.0
2022-05,total,6499189.0
2022-06,total,7180852.0
2022-07,total,8665889.0
2022-08,total,9959209.0
2022-09,total,7691275.0
2022-10,total,6790071.0
2022-11,total,4252017.0
2022-12,total,3727766.0
2023-01,total,3434232.0
2023-02,total,4015685.0
2023-03,total,5085292.0
2023-04,total,6837609.0
2023-05,total,7144581.0
2023-06,total,7456723.0
2023-07,total,8816485.0
2023-08,total,10146558.0
2023-09,total,8238579.0
2023-10,total,7384027.0
2023-11,total,4574288.0
2023-12,total,4045091.0
2024-01,total,3460511.0
