series,period,value
travel_exports_sa,2024-01,16739.0
travel_exports_sa,2024-02,17256.0
travel_exports_sa,2024-03,17577.0
travel_exports_sa,2024-04,17264.0
travel_exports_sa,2024-05,17999.0
travel_exports_sa,2024-06,17965.0
travel_exports_sa,2024-07,17839.0
travel_exports_sa,2024-08,18070.0
travel_exports_sa,2024-09,18131.0
travel_exports_sa,2024-10,17868.0
travel_exports_sa,2024-11,18072.0
travel_exports_sa,2024-12,18033.0
travel_exports_sa,2025-01,18536.0
travel_exports_sa,2025-02,18037.0
travel_exports_sa,2025-03,17290.0
travel_exports_sa,2025-04,18156.0
travel_exports_sa,2025-05,17804.0
travel_exports_sa,2025-06,17772.0
travel_exports_sa,2025-07,17724.0
travel_exports_sa,2025-08,17968.0
travel_exports_sa,2025-09,17481.0
travel_exports_sa,2025-10,17615.0
travel_exports_sa,2025-11,17759.0
travel_exports_sa,2025-12,17952.0
travel_exports_sa,2026-01,17972.0
travel_exports_sa,2026-02,18118.0
travel_exports_sa,2026-03,17678.0
travel_exports_sa,2026-04,17241.0
travel_exports_sa,2026-05,17790.0
travel_exports_sa,2026-06,18178.0
travel_exports_sa,2026-07,17615.0
