series,period,value
guest_nights,2023-07,10254340.0
guest_nights,2023-08,11146260.0
guest_nights,2023-09,7476220.0
guest_nights,2023-10,6976350.0
guest_nights,2023-11,4942400.0
guest_nights,2023-12,6177540.0
guest_nights,2024-01,3651460.0
guest_nights,2024-02,4632930.0
guest_nights,2024-03,6005900.0
guest_nights,2024-04,6709610.0
guest_nights,2024-05,8689630.0
guest_nights,2024-06,8495170.0
guest_nights,2024-07,11492910.0
guest_nights,2024-08,12788560.0
guest_nights,2024-09,7884360.0
guest_nights,2024-10,7556850.0
guest_nights,2024-11,5777180.0
guest_nights,2024-12,6822510.0
guest_nights,2025-01,4344890.0
guest_nights,2025-02,5207210.0
guest_nights,2025-03,5653530.0
guest_nights,2025-04,8674620.0
guest_nights,2025-05,9443130.0
guest_nights,2025-06,9313580.0
guest_nights,2025-07,12778310.0
guest_nights,2025-08,14143560.0
guest_nights,2025-09,8739620.0
guest_nights,2025-10,8671270.0
guest_nights,2025-11,6240050.0
guest_nights,2025-12,7701850.0
nights,2023-07,3436060.0
nights,2023-08,3579270.0
nights,2023-09,2917490.0
nights,2023-10,2593840.0
nights,2023-11,1935930.0
nights,2023-12,2096990.0
nights,2024-01,1455550.0
nights,2024-02,1756880.0
nights,2024-03,2176050.0
nights,2024-04,2364500.0
nights,2024-05,3014600.0
nights,2024-06,3063690.0
nights,2024-07,3787220.0
nights,2024-08,4000640.0
nights,2024-09,3048920.0
nights,2024-10,2734310.0
nights,2024-11,2190840.0
nights,2024-12,2290620.0
nights,2025-01,1666890.0
nights,2025-02,1932940.0
nights,2025-03,2166320.0
nights,2025-04,2868070.0
nights,2025-05,3250170.0
nights,2025-06,3342670.0
nights,2025-07,4176540.0
nights,2025-08,4399580.0
nights,2025-09,3335780.0
nights,2025-10,3072040.0
nights,2025-11,2363530.0
nights,2025-12,2526690.0
stays,2023-07,965700.0
stays,2023-08,985380.0
stays,2023-09,830920.0
stays,2023-10,725740.0
stays,2023-11,553570.0
stays,2023-12,613520.0
stays,2024-01,375390.0
stays,2024-02,506590.0
stays,2024-03,653230.0
stays,2024-04,702320.0
stays,2024-05,937920.0
stays,2024-06,919520.0
stays,2024-07,1077510.0
stays,2024-08,1136210.0
stays,2024-09,870510.0
stays,2024-10,793010.0
stays,2024-11,669260.0
stays,2024-12,675970.0
stays,2025-01,445560.0
stays,2025-02,565880.0
stays,2025-03,629270.0
stays,2025-04,849460.0
stays,2025-05,997620.0
stays,2025-06,995780.0
stays,2025-07,1190510.0
stays,2025-08,1240830.0
stays,2025-09,946740.0
stays,2025-10,895650.0
stays,2025-11,695810.0
stays,2025-12,738320.0
guest_nights_domestic,2023-07,6137290.0
guest_nights_domestic,2023-08,7455540.0
guest_nights_domestic,2023-09,4763340.0
guest_nights_domestic,2023-10,4548570.0
guest_nights_domestic,2023-11,3207120.0
guest_nights_domestic,2023-12,3767500.0
guest_nights_domestic,2024-01,2336370.0
guest_nights_domestic,2024-02,3209750.0
guest_nights_domestic,2024-03,4012920.0
guest_nights_domestic,2024-04,4370030.0
guest_nights_domestic,2024-05,5619370.0
guest_nights_domestic,2024-06,5166730.0
guest_nights_domestic,2024-07,6808400.0
guest_nights_domestic,2024-08,8607140.0
guest_nights_domestic,2024-09,5039830.0
guest_nights_domestic,2024-10,4934230.0
guest_nights_domestic,2024-11,3818460.0
guest_nights_domestic,2024-12,4167860.0
guest_nights_domestic,2025-01,2907340.0
guest_nights_domestic,2025-02,3814750.0
guest_nights_domestic,2025-03,3920820.0
guest_nights_domestic,2025-04,6045160.0
guest_nights_domestic,2025-05,6581120.0
guest_nights_domestic,2025-06,5935640.0
guest_nights_domestic,2025-07,7894330.0
guest_nights_domestic,2025-08,9825240.0
guest_nights_domestic,2025-09,5737650.0
guest_nights_domestic,2025-10,5947750.0
guest_nights_domestic,2025-11,4246470.0
guest_nights_domestic,2025-12,4930320.0
guest_nights_international,2023-07,3960720.0
guest_nights_international,2023-08,3565950.0
guest_nights_international,2023-09,2623110.0
guest_nights_international,2023-10,2374250.0
guest_nights_international,2023-11,1675820.0
guest_nights_international,2023-12,2346410.0
guest_nights_international,2024-01,1275210.0
guest_nights_international,2024-02,1387850.0
guest_nights_international,2024-03,1972000.0
guest_nights_international,2024-04,2294720.0
guest_nights_international,2024-05,3027990.0
guest_nights_international,2024-06,3205260.0
guest_nights_international,2024-07,4491700.0
guest_nights_international,2024-08,4041770.0
guest_nights_international,2024-09,2758680.0
guest_nights_international,2024-10,2567900.0
guest_nights_international,2024-11,1878410.0
guest_nights_international,2024-12,2579600.0
guest_nights_international,2025-01,1384760.0
guest_nights_international,2025-02,1354410.0
guest_nights_international,2025-03,1699940.0
guest_nights_international,2025-04,2584580.0
guest_nights_international,2025-05,2809140.0
guest_nights_international,2025-06,3272160.0
guest_nights_international,2025-07,4686130.0
guest_nights_international,2025-08,4163570.0
guest_nights_international,2025-09,2917750.0
guest_nights_international,2025-10,2666980.0
guest_nights_international,2025-11,1912310.0
guest_nights_international,2025-12,2692270.0
