period,value,series,code
2015-01,2239.0,viagens_mensal_despesa,22742
2015-02,1489.7,viagens_mensal_despesa,22742
2015-03,1503.7,viagens_mensal_despesa,22742
2015-04,1644.0,viagens_mensal_despesa,22742
2015-05,1414.5,viagens_mensal_despesa,22742
2015-06,1648.8,viagens_mensal_despesa,22742
2015-07,1676.9,viagens_mensal_despesa,22742
2015-08,1262.7,viagens_mensal_despesa,22742
2015-09,1259.8,viagens_mensal_despesa,22742
2015-10,1001.7,viagens_mensal_despesa,22742
2015-11,971.4,viagens_mensal_despesa,22742
2015-12,1244.7,viagens_mensal_despesa,22742
2016-01,839.6,viagens_mensal_despesa,22742
2016-02,841.2,viagens_mensal_despesa,22742
2016-03,1291.0,viagens_mensal_despesa,22742
2016-04,1076.3,viagens_mensal_despesa,22742
2016-05,1112.5,viagens_mensal_despesa,22742
2016-06,1371.5,viagens_mensal_despesa,22742
2016-07,1361.6,viagens_mensal_despesa,22742
2016-08,1292.1,viagens_mensal_despesa,22742
2016-09,1294.3,viagens_mensal_despesa,22742
2016-10,1421.3,viagens_mensal_despesa,22742
2016-11,1203.8,viagens_mensal_despesa,22742
2016-12,1391.7,viagens_mensal_despesa,22742
2017-01,1579.2,viagens_mensal_despesa,22742
2017-02,1362.0,viagens_mensal_despesa,22742
2017-03,1533.0,viagens_mensal_despesa,22742
2017-04,1324.7,viagens_mensal_despesa,22742
2017-05,1496.5,viagens_mensal_despesa,22742
2017-06,1510.0,viagens_mensal_despesa,22742
2017-07,1878.9,viagens_mensal_despesa,22742
2017-08,1745.1,viagens_mensal_despesa,22742
2017-09,1716.1,viagens_mensal_despesa,22742
2017-10,1636.9,viagens_mensal_despesa,22742
2017-11,1595.2,viagens_mensal_despesa,22742
2017-12,1624.0,viagens_mensal_despesa,22742
2018-01,2002.2,viagens_mensal_despesa,22742
2018-02,1405.2,viagens_mensal_despesa,22742
2018-03,1524.4,viagens_mensal_despesa,22742
2018-04,1538.5,viagens_mensal_despesa,22742
2018-05,1615.4,viagens_mensal_despesa,22742
2018-06,1487.3,viagens_mensal_despesa,22742
2018-07,1731.3,viagens_mensal_despesa,22742
2018-08,1381.6,viagens_mensal_despesa,22742
2018-09,1189.1,viagens_mensal_despesa,22742
2018-10,1603.1,viagens_mensal_despesa,22742
2018-11,1384.7,viagens_mensal_despesa,22742
2018-12,1402.7,viagens_mensal_despesa,22742
2019-01,1689.3,viagens_mensal_despesa,22742
2019-02,1302.1,viagens_mensal_despesa,22742
2019-03,1327.6,viagens_mensal_despesa,22742
2019-04,1492.7,viagens_mensal_despesa,22742
2019-05,1471.2,viagens_mensal_despesa,22742
2019-06,1523.7,viagens_mensal_despesa,22742
2019-07,1898.1,viagens_mensal_despesa,22742
2019-08,1309.2,viagens_mensal_despesa,22742
2019-09,1329.9,viagens_mensal_despesa,22742
2019-10,1505.7,viagens_mensal_despesa,22742
2019-11,1247.2,viagens_mensal_despesa,22742
2019-12,1496.8,viagens_mensal_despesa,22742
2020-01,1438.4,viagens_mensal_despesa,22742
2020-02,881.0,viagens_mensal_despesa,22742
2020-03,612.0,viagens_mensal_despesa,22742
2020-04,203.2,viagens_mensal_despesa,22742
2020-05,199.7,viagens_mensal_despesa,22742
2020-06,239.2,viagens_mensal_despesa,22742
2020-07,267.0,viagens_mensal_despesa,22742
2020-08,269.5,viagens_mensal_despesa,22742
2020-09,301.5,viagens_mensal_despesa,22742
2020-10,283.7,viagens_mensal_despesa,22742
2020-11,328.9,viagens_mensal_despesa,22742
2020-12,369.7,viagens_mensal_despesa,22742
2021-01,307.7,viagens_mensal_despesa,22742
2021-02,239.9,viagens_mensal_despesa,22742
2021-03,312.8,viagens_mensal_despesa,22742
2021-04,300.9,viagens_mensal_despesa,22742
2021-05,333.6,viagens_mensal_despesa,22742
2021-06,448.7,viagens_mensal_despesa,22742
2021-07,452.0,viagens_mensal_despesa,22742
2021-08,447.0,viagens_mensal_despesa,22742
2021-09,473.7,viagens_mensal_despesa,22742
2021-10,530.9,viagens_mensal_despesa,22742
2021-11,618.5,viagens_mensal_despesa,22742
2021-12,784.1,viagens_mensal_despesa,22742
2022-01,721.6,viagens_mensal_despesa,22742
2022-02,853.6,viagens_mensal_despesa,22742
2022-03,1180.1,viagens_mensal_despesa,22742
2022-04,1184.0,viagens_mensal_despesa,22742
2022-05,1194.4,viagens_mensal_despesa,22742
2022-06,1283.4,viagens_mensal_despesa,22742
2022-07,1155.4,viagens_mensal_despesa,22742
2022-08,1196.7,viagens_mensal_despesa,22742
2022-09,1036.8,viagens_mensal_despesa,22742
2022-10,1209.8,viagens_mensal_despesa,22742
2022-11,1240.4,viagens_mensal_despesa,22742
2022-12,1201.3,viagens_mensal_despesa,22742
2023-01,1458.1,viagens_mensal_despesa,22742
2023-02,1041.7,viagens_mensal_despesa,22742
2023-03,1312.0,viagens_mensal_despesa,22742
2023-04,1496.6,viagens_mensal_despesa,22742
2023-05,1487.0,viagens_mensal_despesa,22742
2023-06,1749.1,viagens_mensal_despesa,22742
2023-07,1730.8,viagens_mensal_despesa,22742
2023-08,1575.1,viagens_mensal_despesa,22742
2023-09,1569.6,viagens_mensal_despesa,22742
2023-10,1655.9,viagens_mensal_despesa,22742
2023-11,1484.5,viagens_mensal_despesa,22742
2023-12,1406.2,viagens_mensal_despesa,22742
2024-01,1679.0,viagens_mensal_despesa,22742
2024-02,1377.9,viagens_mensal_despesa,22742
