quarter,analyst,firm,asked,management_answer_excerpt,speaker,category
2020Q4,Justin Post,Bank of America,Margin target for 2021 to model against,"I'd love to give you specific targets for 2021, but it's just too hard to know what our revenue is going to be, and so therefore, kind of the flow through to profitability.",Dave Stephenson (inferred),consensus/guidance detail
2021Q2,Brian Fitzgerald,Wells Fargo,How much of their calendar new hosts make available; professional vs casual mix,We continue to see 90% of our hosts are individual hosts. That remains to be the case.,Dave Stephenson (inferred),other
2021Q3,Kevin Kopelman,TD Cowen,Q4-to-date booking growth versus 2019,I don't have a specific percentage that we're sharing on the call today.,Dave Stephenson (inferred),consensus/guidance detail
2021Q3,Stephen Ju,Credit Suisse,"Share of users with young unvaccinated children, to size pent-up demand","I don't think we have that data specifically, but I can just share a couple high-level thoughts with you.",Brian Chesky (inferred),other
2021Q3,Mark Mahaney,Evercore ISI,How significant the APAC short-term-rental restrictions are as a drag,we're not anticipating that any short-term rental regulation changes as being a major negative drag on our business over time.,Dave Stephenson (inferred),other
2021Q4,Mark Mahaney,Evercore ISI,"Size of the long-term-stay effect on ADR (accretive or dilutive, by how much)","On the ADR, long-term stays are dilutive on the ADR as the percentage goes up",David E. Stephenson,other
2022Q2,Mario Lu,Barclays,How large China outbound bookings are,"We focused all that on outbound, which we think is the greater prize and the most important part for the long term.",Dave Stephenson (inferred),market-level economics
2022Q2,John Colantuoni,Jefferies,Puts and takes behind the higher implied Q3 take rate,"The underlying kind of if you shifted take rate is unchanged. You know, any of the variation in take rate is just a timing difference between revenue stays versus timing of bookings.",Dave Stephenson (inferred),take rate detail
2022Q2,Kevin Kopelman,TD Cowen,Listings growth rate excluding the China domestic shutdown,"what we've stated is that we're still well above 6 million active listings, even excluding the takedown of the China domestic.",Dave Stephenson (inferred),other
2022Q3,Naved Khan,Truist,ROI on advertising dollars,"Our brand marketing results are delivering excellent results overall with a strong rate of return, and it's been so successful that we're actually expanding to more countries",Dave Stephenson (inferred),other
2022Q3,Justin Post,Bank of America,Confirm the operational take rate is above 14% and stable,We do not have an intention to increase take rate.,Brian Chesky (inferred),take rate detail
2022Q3,Richard Clarke,Bernstein,Quantify the ADR headwind as urban mix returns,Urban is strengthening each quarter. That's the trend that we're seeing on the urban side.,Dave Stephenson (inferred),other
2022Q4,Brian Nowak,Morgan Stanley,New-guest growth in 2022 and 2023; adoption metrics for I'm Flexible (a KPI disclosed in 2021 and dropped),"on the new guests, we don't disclose the exact number of the, you know, new guest growth.",Dave Stephenson (inferred),other
2022Q4,Mario Lu,Barclays,"Breakdown of the 900,000 listings added: new versus reactivated",I don't have any other more specific breakout to give to you.,Dave Stephenson (inferred),other
2022Q4,Stephen Ju,Credit Suisse,Aggregate host availability growth versus host-count growth,"What we noticed is over time, hosts generally increase the number of days available, and they tend to get more productive every year.",Brian Chesky (inferred),other
2022Q4,Bernie McTernan,Needham,FX drag on 2022 EBITDA margin,"Maybe we can follow up offline on that. I mean, it was a material, you know, probably several hundred million dollars, but we would have to give you the... Maybe we'll work offline on the specific calculation.",Dave Stephenson (inferred),other
2023Q1,Mario Lu,Barclays,Percent of listings exclusive to Airbnb (not addressed; answer covered loyalty only),"I always believe that the best loyalty program is people loving your product and if they love your products, they come back.",Brian Chesky,other
2023Q2,Tom Champion,Piper Sandler,Long-term EBITDA margin potential,"But all of that said, I don't have a new long-term target. I'm just proud of the fact that we've been able to deliver the profitability we have as quickly as we have.",David E. Stephenson,long-term margin target
2023Q3,Brian Nowak,Morgan Stanley,Confirm the Q4 nights-growth range implied by the guide,"In terms of the nights guide, we're just seeing some variability in our nights demand here early in the quarter. And so, we're just being cautious with that guide. And so, we're not being specific on it",David E. Stephenson,consensus/guidance detail
2024Q1,Nick Jones,Citizens JMP,Share of supply removed for quality and how many hosts return,I don't have the stats on the top of my head,Brian Chesky,other
2024Q1,Conor Cunningham,Melius Research,"Take rate, ADR and profit of expansion markets versus the core",what we've been able to achieve over time is very strong economics at the booking level for a wide range of ADRs. So it is not a concern for us to be expanding in markets where the average ADRs are lower.,Ellie Mertz,market-level economics
2024Q2,Justin Patterson,KeyBanc,How long the investment cycle lasts and when returns show (2025 margin),we obviously have not given a guide for 2025. We'll provide you a view on 2025 as it approaches.,Ellie Mertz,consensus/guidance detail
2024Q3,John Colantuoni,Jefferies,Size of the tech and marketing investment behind the Experiences relaunch,I do not anticipate very many businesses in the next five years are going to need significant investments.,Brian Chesky,contribution margin of new businesses
2025Q1,Kevin Kopelman,TD Cowen,"Geo mix versus underlying softness in the Q2 ADR guide, and the FX assumption","One is there is underlying real price appreciation, which is a tailwind in terms of bringing prices up. There is a movement in terms of the FX headwinds.",Ellie Mertz,consensus/guidance detail
2025Q1,Tom White,D.A. Davidson,"Profitability of expansion markets relative to core markets, level and pace","we're able to generate very attractive contribution profit at a variety of ADRs, and that typically is the biggest determinant on the overall level of profitability at a market level",Ellie Mertz,market-level economics
2025Q1,Ron Josey,Citi,Contribution of the May 13 launches included in guidance,"the impact from a top line in the current quarter will be relatively modest, whereas as we scale those offerings, they will obviously increasingly contribute to the top line.",Ellie Mertz,consensus/guidance detail
2025Q2,Mark Mahaney,Evercore ISI,Target attach rate for Experiences,We don't have any numbers to share as far as what we see for potential attach rate.,Brian Chesky,contribution margin of new businesses
2025Q2,Trevor Young,Barclays,Share of Nights and Seats Booked that is seats (1% or zero?),we have not historically broken out nights booked versus experiences booked. We were not going to do that today. What I can tell you is that the seats booked today are indeed immaterial.,Ellie Mertz,contribution margin of new businesses
2025Q2,Kevin Kopelman,TD Cowen,How 2026 margins will be managed given new launches,"On margins, I'm not going to guide right now to 2026.",Ellie Mertz,consensus/guidance detail
2025Q3,Richard Clarke,Bernstein,"Percent of the US acceleration that came from Reserve Now, Pay Later","So about 70% of people that we offer Reserve Now, Pay Later, take us up on that offering.",Ellie Mertz,other
2025Q3,Lee Horowitz,Deutsche Bank,2026 incremental investment plan; how much of the $200M is sticky,Obviously we're not providing explicit guidance for 2026 margins today.,Ellie Mertz,consensus/guidance detail
2025Q3,Justin Post,Bank of America,Whether experiences contribute yet and the expected contribution next year,"The first thing we're seeing is that a large percentage of people that are booking experiences, about half don't have an Airbnb stay associated with the reservation.",Brian Chesky,contribution margin of new businesses
2025Q4,Brian Nowak,Morgan Stanley,P&L (gross margin) impact of increased AI investment in 2026 versus 2025,"So unlike other companies, we're not building models. We do not have a huge CapEx cost base. So our investment in AI will not affect the P&L. I don't think you'll see it in the P&L.",Brian Chesky,capex/AI spend
2026Q2,Eric Sheridan,Goldman Sachs,Long-term incremental margins and how much gets reinvested versus dropping through,"So I'm not going to give you a specific guide for 2027 and beyond, but I think looking at our track record, you can even see a couple of things.",Ellie Mertz,long-term margin target
2026Q2,Lloyd Walmsley,Mizuho,Timeframe or scale of the hotels opportunity,"hotels are only a single- digit percent of nights booked on the platform, so a relatively small segment.",Ellie Mertz,contribution margin of new businesses
2026Q2,Colin Sebastian,Baird,Unit economics of the new service categories relative to expectations,car rentals is going to be the biggest one by far just because of how big the asset is,Brian Chesky,contribution margin of new businesses
2026Q2,John Colantuoni,Jefferies,Impact of the AI-native transition on product costs,the inference cost of Airbnb are kind of de minimis relative to the ROI of our business model,Brian Chesky,capex/AI spend
