city,region,dump_date,listings,entire_home,share_entire_home,active_listings,reviewed_ltm_listings,share_reviewed_ltm,short_min_nights_share,short_entire_home,licensed_share,reviews_ltm_sum,reviews_l30d_sum,reviews_ltm_per_reviewed,est_nights_ltm,exposed_nights_short_entire,est_revenue_l365d,superhost_share,superhost_share_reviewed,multi_listing_share,professional_share_5plus,hosts,top10_host_share,top100_host_share,price_non_null_share,median_price_entire,mean_price_entire,median_price_entire_active,median_price_private,median_price_entire_1br,median_price_entire_2br,median_availability_365,mean_availability_90,instant_book_share,median_rating,price_basis,quote_stay_nights,quote_lead_days,median_quote_total_entire,host_tenure_years_median,new_hosts_share,scope_vs_peer,partial_scope
austin,NA,2024-06-17,15159,12308,0.8119,11287,9375,0.6184,0.8883,11004,0.0,156834,12832,16.729,989754.0,792938.0,,0.4124,0.591,0.5245,0.2887,9024,0.0553,0.1856,0.7357,160.0,262.00875092387304,159.0,66.0,108.0,145.0,140.0,46.7526,0.313,4.94,listed_nightly,,,,8.0684,0.0332,0.978,False
austin,NA,2024-09-13,15244,12429,0.8153,11375,9283,0.609,0.8903,11141,0.0,155897,9790,16.7938,982962.0,789068.0,,0.4105,0.5992,0.5287,0.2877,9035,0.0558,0.1849,0.7336,154.0,253.90990266875977,154.0,64.0,105.0,143.0,140.0,42.3722,0.3294,4.94,listed_nightly,,,,8.271,0.0327,0.9835,False
austin,NA,2024-12-14,15500,12614,0.8138,11634,9503,0.6131,0.8901,11295,0.0,156528,10439,16.4714,984278.0,794342.5,,0.4046,0.585,0.5362,0.2914,9087,0.0557,0.1872,0.7338,147.0,239.01298002277215,146.0,61.0,100.0,135.0,158.0,47.7059,0.3354,4.94,listed_nightly,,,,8.4572,0.0351,1.0,False
austin,NA,2025-03-06,15431,12557,0.8138,10579,9316,0.6037,0.8937,11289,0.0,152877,10994,16.4102,966142.0,778819.0,221594616.0,0.3997,0.5803,0.5385,0.2931,9010,0.0544,0.1856,0.7147,206.0,329.2993742646269,206.0,72.0,140.5,188.0,88.0,37.3643,0.3444,4.94,listed_nightly,,,,8.6626,0.039,0.9955,False
austin,NA,2025-06-13,15187,12326,0.8116,11254,9061,0.5966,0.8896,11041,0.0,148169,10758,16.3524,939366.5,755976.5,162618839.0,0.3979,0.5807,0.537,0.2935,8877,0.0523,0.1831,0.7051,150.0,239.13171681803217,150.0,61.0,100.0,138.0,177.0,46.3583,0.3471,4.94,listed_nightly,,,,8.898,0.0429,0.9798,False
austin,NA,2025-09-16,10533,9078,0.8619,10369,7933,0.7532,0.8749,8050,0.0,137621,9138,17.3479,860894.0,700876.0,144987988.0,0.511,0.6046,0.6071,0.3527,5526,0.0599,0.2275,0.9985,145.0,228.7736036135287,144.0,56.0,98.0,133.0,263.0,57.7496,0.411,4.93,listed_nightly,,,,8.7036,0.0434,0.6826,True
austin,NA,2025-12-22,11251,9498,0.8442,10810,8409,0.7474,0.8909,8561,0.0,141768,8207,16.8591,859347.5,722575.0,,0.5024,0.5895,0.6091,0.3502,5870,0.0601,0.2278,0.0,,,,,,,268.0,61.9483,,4.93,none,,,,4.5,0.0963,0.7408,True
austin,NA,2026-01-18,11374,9610,0.8449,10845,8329,0.7323,0.8797,8566,0.0,141110,8447,16.942,858195.5,704741.5,,0.5084,0.5973,0.6103,0.357,5894,0.0676,0.2356,0.0,,,,,,,268.0,59.4312,,4.93,none,,,,4.4167,0.0981,1.0,False
austin,NA,2026-02-19,10422,8884,0.8524,10253,7787,0.7472,0.8867,8009,0.0,133561,7123,17.1518,806923.0,681270.5,,0.5095,0.6028,0.5971,0.3446,5540,0.0567,0.2285,0.0,,,,,,,267.0,58.8293,,4.93,none,,,,4.5833,0.0948,0.9163,False
austin,NA,2026-03-25,8170,7118,0.8712,8119,6547,0.8013,0.9994,7114,0.1748,124235,10839,18.9759,664453.0,626395.5,202190591.0,0.5535,0.6164,0.6048,0.3737,4233,0.072,0.2716,0.9755,277.0,397.8449275194919,277.0,127.74000000000001,182.0,261.19,269.0,62.4431,,4.92,quote_per_night,2.0,5.0,463.0,4.4167,0.0979,0.7183,True
