month,cpi_lodging_yoy_pct,bea_hotels_price_yoy_pct,abnb_quarter,abnb_adr_yoy_pct,abnb_adr_yoy_letter_pct,abnb_adr_exfx_yoy_pct
2023-01,7.5,8.4,,,,
2023-02,6.6,7.4,,,,
2023-03,7.2,7.9,1Q23,0.2,,
2023-04,3.2,3.4,,,,
2023-05,3.6,3.7,,,,
2023-06,4.6,4.9,2Q23,1.4,,
2023-07,6.2,6.7,,,,
2023-08,3.1,3.0,,,,
2023-09,7.4,8.2,3Q23,3.2,,
2023-10,1.3,0.9,,,,
2023-11,0.6,0.2,,,,
2023-12,-0.1,-0.6,4Q23,2.6,,
2024-01,0.7,0.7,,,,
2024-02,-0.6,-0.8,,,,
2024-03,-1.9,-2.5,1Q24,2.6,,
2024-04,-0.2,-0.6,,,,
2024-05,-1.2,-1.7,,,,
2024-06,-2.1,-2.9,2Q24,2.1,,
2024-07,-2.0,-2.7,,,,
2024-08,1.9,1.9,,,,
2024-09,-2.7,-3.5,3Q24,1.4,,
2024-10,-0.2,-0.6,,,,
2024-11,3.4,3.6,,,,
2024-12,2.2,2.3,4Q24,0.9,,
2025-01,2.2,1.9,,,,
2025-02,1.9,1.7,,,,
2025-03,-2.6,-3.7,1Q25,-0.9,,
2025-04,-1.4,-2.4,,,,
2025-05,-0.9,-1.7,,,,
2025-06,-2.4,-3.7,2Q25,2.9,,
2025-07,-3.4,-4.8,,,,
2025-08,-2.4,-3.7,,,,
2025-09,0.0,-0.8,3Q25,4.7,,
2025-10,,-1.9,,,,
2025-11,-4.2,-5.4,,,,
2025-12,-0.9,-2.3,4Q25,5.9,6,3
2026-01,-1.9,-4.3,,,,
2026-02,-1.1,-3.4,,,,
2026-03,2.5,1.2,1Q26,9.0,9,4
2026-04,4.4,4.3,,,,
2026-05,5.0,4.9,,,,
2026-06,4.7,5.7,2Q26,5.3,5,4
2026-07,2.8,3.6,,,,
