quarter,scenario,exna_lap,ws10_total_pct,na_contribution_delta_pts,exna_contribution_delta_pts,model_total_nights_yoy_pct,nights_mm
3Q26,bear,False,10.29,-0.4,0.0,9.89,146.8
4Q26,bear,False,9.94,-1.32,0.0,8.62,132.4
1Q27,bear,False,9.15,-1.25,0.0,7.9,168.5
2Q27,bear,False,9.15,-1.25,0.0,7.9,160.0
3Q27,bear,False,9.15,-1.25,0.0,7.9,
4Q27,bear,False,9.15,-0.98,0.0,8.17,
3Q26,bear,True,10.29,-0.4,0.0,9.89,146.8
4Q26,bear,True,9.94,-1.32,0.0,8.62,132.4
1Q27,bear,True,9.15,-1.25,-1.75,6.15,165.8
2Q27,bear,True,9.15,-1.25,-1.75,6.15,157.4
3Q27,bear,True,9.15,-1.25,-1.75,6.15,
4Q27,bear,True,9.15,-0.98,-1.75,6.42,
3Q26,base,False,10.29,-0.4,0.0,9.89,146.8
4Q26,base,False,9.94,-1.04,0.0,8.9,132.7
1Q27,base,False,9.15,-0.98,0.0,8.17,169.0
2Q27,base,False,9.15,-0.98,0.0,8.17,160.4
3Q27,base,False,9.15,-0.98,0.0,8.17,
4Q27,base,False,9.15,-0.98,0.0,8.17,
3Q26,base,True,10.29,-0.4,0.0,9.89,146.8
4Q26,base,True,9.94,-1.04,0.0,8.9,132.7
1Q27,base,True,9.15,-0.98,-1.75,6.42,166.2
2Q27,base,True,9.15,-0.98,-1.75,6.42,157.8
3Q27,base,True,9.15,-0.98,-1.75,6.42,
4Q27,base,True,9.15,-0.98,-1.75,6.42,
3Q26,bull,False,10.29,-0.06,0.0,10.23,147.3
4Q26,bull,False,9.94,-1.04,0.0,8.9,132.7
1Q27,bull,False,9.15,-0.36,0.0,8.79,169.9
2Q27,bull,False,9.15,-0.36,0.0,8.79,161.3
3Q27,bull,False,9.15,-0.36,0.0,8.79,
4Q27,bull,False,9.15,-0.36,0.0,8.79,
3Q26,bull,True,10.29,-0.06,0.0,10.23,147.3
4Q26,bull,True,9.94,-1.04,0.0,8.9,132.7
1Q27,bull,True,9.15,-0.36,-1.75,7.04,167.2
2Q27,bull,True,9.15,-0.36,-1.75,7.04,158.7
3Q27,bull,True,9.15,-0.36,-1.75,7.04,
4Q27,bull,True,9.15,-0.36,-1.75,7.04,
