country,region,market,snapshot_date,horizon,listing_nights,listings,blocked_nights,blocked_rate,median_min_nights
argentina,ciudad-autónoma-de-buenos-aires,buenos-aires,2026-07-24,h000_030,905926,29609,471557,0.52052,2.0
argentina,ciudad-autónoma-de-buenos-aires,buenos-aires,2026-07-24,h031_060,888270,29609,301555,0.33949,2.0
argentina,ciudad-autónoma-de-buenos-aires,buenos-aires,2026-07-24,h061_090,888270,29609,259899,0.29259,2.0
argentina,ciudad-autónoma-de-buenos-aires,buenos-aires,2026-07-24,h091_180,2664810,29609,798045,0.29948,2.0
argentina,ciudad-autónoma-de-buenos-aires,buenos-aires,2026-07-24,h181_372,5460019,29609,1998406,0.36601,2.0
australia,sa,barossa-valley,2026-06-29,h000_030,11049,360,4577,0.41425,2.0
australia,sa,barossa-valley,2026-06-29,h031_060,10800,360,3722,0.34463,2.0
australia,sa,barossa-valley,2026-06-29,h061_090,10800,360,3021,0.27972,2.0
australia,sa,barossa-valley,2026-06-29,h091_180,32400,360,9369,0.28917,2.0
australia,sa,barossa-valley,2026-06-29,h181_372,66351,360,25629,0.38626,2.0
australia,vic,barwon-south-west-vic,2026-06-29,h000_030,214152,7095,90788,0.42394,2.0
australia,vic,barwon-south-west-vic,2026-06-29,h031_060,212850,7095,68084,0.31987,2.0
australia,vic,barwon-south-west-vic,2026-06-29,h061_090,212850,7095,66328,0.31162,2.0
australia,vic,barwon-south-west-vic,2026-06-29,h091_180,638550,7095,237704,0.37226,2.0
australia,vic,barwon-south-west-vic,2026-06-29,h181_372,1311277,7095,712910,0.54368,2.0
australia,qld,brisbane,2026-07-14,h000_030,197098,6358,119196,0.60475,2.0
australia,qld,brisbane,2026-07-14,h031_060,190740,6358,79177,0.4151,2.0
australia,qld,brisbane,2026-07-14,h061_090,190740,6358,68337,0.35827,2.0
australia,qld,brisbane,2026-07-14,h091_180,572220,6358,225648,0.39434,2.0
australia,qld,brisbane,2026-07-14,h181_372,1169872,6358,628164,0.53695,2.0
australia,vic,melbourne,2026-06-16,h000_030,690380,25728,358154,0.51878,2.0
australia,vic,melbourne,2026-06-16,h031_060,771840,25728,355500,0.46059,2.0
australia,vic,melbourne,2026-06-16,h061_090,771840,25728,321136,0.41607,2.0
australia,vic,melbourne,2026-06-16,h091_180,2315520,25728,1133870,0.48968,2.0
australia,vic,melbourne,2026-06-16,h181_372,4807588,25728,2917310,0.60681,2.0
australia,nsw,mid-north-coast,2026-07-16,h000_030,160897,5280,60619,0.37676,2.0
australia,nsw,mid-north-coast,2026-07-16,h031_060,158400,5280,41591,0.26257,2.0
australia,nsw,mid-north-coast,2026-07-16,h061_090,158400,5280,50382,0.31807,2.0
australia,nsw,mid-north-coast,2026-07-16,h091_180,475200,5280,173767,0.36567,2.0
australia,nsw,mid-north-coast,2026-07-16,h181_372,974304,5280,385909,0.39609,2.0
australia,vic,mornington-peninsula,2026-06-22,h000_030,133518,4458,43794,0.328,2.0
australia,vic,mornington-peninsula,2026-06-22,h031_060,133740,4458,31767,0.23753,2.0
australia,vic,mornington-peninsula,2026-06-22,h061_090,133740,4458,29150,0.21796,2.0
australia,vic,mornington-peninsula,2026-06-22,h091_180,401220,4458,119805,0.2986,2.0
australia,vic,mornington-peninsula,2026-06-22,h181_372,824016,4458,368079,0.44669,2.0
australia,nsw,northern-rivers,2026-06-24,h000_030,185773,6367,94518,0.50878,2.0
australia,nsw,northern-rivers,2026-06-24,h031_060,191010,6367,71937,0.37661,2.0
australia,nsw,northern-rivers,2026-06-24,h061_090,191010,6367,65995,0.34551,2.0
australia,nsw,northern-rivers,2026-06-24,h091_180,573030,6367,223554,0.39013,2.0
australia,nsw,northern-rivers,2026-06-24,h181_372,1182526,6367,537616,0.45463,2.0
australia,qld,sunshine-coast,2026-07-26,h000_030,216908,7281,132286,0.60987,2.0
australia,qld,sunshine-coast,2026-07-26,h031_060,218430,7281,109689,0.50217,2.0
australia,qld,sunshine-coast,2026-07-26,h061_090,218430,7281,105104,0.48118,3.0
australia,qld,sunshine-coast,2026-07-26,h091_180,655290,7281,304374,0.46449,3.0
australia,qld,sunshine-coast,2026-07-26,h181_372,1348507,7281,608210,0.45102,2.0
australia,nsw,sydney,2026-06-16,h000_030,559642,20573,272591,0.48708,2.0
australia,nsw,sydney,2026-06-16,h031_060,617190,20573,245950,0.3985,3.0
australia,nsw,sydney,2026-06-16,h061_090,617190,20573,235066,0.38086,3.0
australia,nsw,sydney,2026-06-16,h091_180,1851570,20573,849862,0.459,3.0
australia,nsw,sydney,2026-06-16,h181_372,3839976,20573,2243032,0.58413,3.0
australia,tas,tasmania,2026-06-15,h000_030,194639,6618,97292,0.49986,2.0
australia,tas,tasmania,2026-06-15,h031_060,198540,6618,72275,0.36403,2.0
australia,tas,tasmania,2026-06-15,h061_090,198540,6618,59731,0.30085,2.0
australia,tas,tasmania,2026-06-15,h091_180,595620,6618,206305,0.34637,2.0
australia,tas,tasmania,2026-06-15,h181_372,1227681,6618,570093,0.46437,2.0
australia,wa,western-australia,2026-06-28,h000_030,353278,11724,168763,0.47771,2.0
australia,wa,western-australia,2026-06-28,h031_060,351720,11724,101456,0.28846,2.0
australia,wa,western-australia,2026-06-28,h061_090,351720,11724,90968,0.25864,2.0
australia,wa,western-australia,2026-06-28,h091_180,1055160,11724,336156,0.31858,2.0
australia,wa,western-australia,2026-06-28,h181_372,2167383,11724,896662,0.41371,2.0
austria,vienna,vienna,2026-06-20,h000_030,357801,13306,211877,0.59216,2.0
austria,vienna,vienna,2026-06-20,h031_060,399180,13306,204292,0.51178,2.0
austria,vienna,vienna,2026-06-20,h061_090,399180,13306,178019,0.44596,2.0
austria,vienna,vienna,2026-06-20,h091_180,1197540,13306,543470,0.45382,2.0
austria,vienna,vienna,2026-06-20,h181_372,2477951,13306,1283851,0.51811,2.0
belgium,vlg,antwerp,2026-06-29,h000_030,76840,2536,45255,0.58895,2.0
belgium,vlg,antwerp,2026-06-29,h031_060,76080,2536,34008,0.447,2.0
belgium,vlg,antwerp,2026-06-29,h061_090,76080,2536,28916,0.38007,2.0
belgium,vlg,antwerp,2026-06-29,h091_180,228240,2536,86718,0.37994,2.0
belgium,vlg,antwerp,2026-06-29,h181_372,468400,2536,224100,0.47844,2.0
belgium,bru,brussels,2026-06-27,h000_030,148938,5111,97811,0.65672,2.0
belgium,bru,brussels,2026-06-27,h031_060,153330,5111,74663,0.48694,2.0
belgium,bru,brussels,2026-06-27,h061_090,153330,5111,66883,0.4362,2.0
belgium,bru,brussels,2026-06-27,h091_180,459990,5111,194055,0.42187,2.0
belgium,bru,brussels,2026-06-27,h181_372,949927,5111,460332,0.4846,2.0
belgium,vlg,ghent,2026-06-29,h000_030,42447,1386,29017,0.68361,2.0
belgium,vlg,ghent,2026-06-29,h031_060,41580,1386,22187,0.5336,2.0
belgium,vlg,ghent,2026-06-29,h061_090,41580,1386,19408,0.46676,2.0
belgium,vlg,ghent,2026-06-29,h091_180,124740,1386,52710,0.42256,2.0
belgium,vlg,ghent,2026-06-29,h181_372,255543,1386,137751,0.53905,2.0
belize,bz,belize,2026-06-29,h000_030,111432,3608,36984,0.3319,2.0
belize,bz,belize,2026-06-29,h031_060,108240,3608,21298,0.19677,2.0
belize,bz,belize,2026-06-29,h061_090,108240,3608,16130,0.14902,2.0
belize,bz,belize,2026-06-29,h091_180,324720,3608,52907,0.16293,2.0
belize,bz,belize,2026-06-29,h181_372,664288,3608,146959,0.22123,2.0
brazil,rj,rio-de-janeiro,2026-06-24,h000_030,1416983,48729,512137,0.36143,2.0
brazil,rj,rio-de-janeiro,2026-06-24,h031_060,1461870,48729,429073,0.29351,2.0
brazil,rj,rio-de-janeiro,2026-06-24,h061_090,1461870,48729,440038,0.30101,2.0
brazil,rj,rio-de-janeiro,2026-06-24,h091_180,4385610,48729,1657799,0.37801,2.0
brazil,rj,rio-de-janeiro,2026-06-24,h181_372,9059752,48729,5125107,0.5657,2.0
brazil,sp,são-paulo,2026-06-14,h000_030,1261077,42378,405056,0.3212,1.0
