country,segment,airbnb_party_nights_mm,airbnb_contestable_mm,hotel_party_nights_mm,p_airbnb_in_pool,airbnb_share_all_lodging
France,solo,12.955271682839573,4.923003239479038,53.16880078206381,0.08474522908005033,0.19592368104241964
France,pair,18.358699580557243,6.976305840611753,45.52284491738649,0.1328841655509811,0.2873865953749472
France,3-4,15.692072825839436,5.9629876738189855,15.174281639128829,0.28210775883743444,0.5083876310579254
France,5+,6.866293991904976,2.609191716923891,4.352313338354781,0.3748028186728716,0.6120451308946913
France,TOTAL,53.87233808114123,20.471488470833666,118.21824067693392,0.14760637717463726,0.31304641119764576
Spain,solo,8.330088957122813,3.165433803706669,87.67298621238588,0.03484686108747702,0.08676898049791339
Spain,pair,11.804430226322784,4.485683486002658,75.065145274764,0.05638763990118144,0.13588681835074817
Spain,3-4,10.089820249315007,3.834131694739703,25.021715091588007,0.1328719175399963,0.2873648261561755
Spain,5+,4.414947147275091,1.6776799159645348,7.176770995261676,0.18947306081255363,0.38087081595558114
Spain,TOTAL,34.639286580035694,13.162928900413563,194.93661757399957,0.06325303982357314,0.15088380772223495
Italy,solo,6.49394342297606,2.467698500730903,69.58786732693366,0.034247160124075665,0.08535474325555226
Italy,pair,9.20245899230899,3.4969344170774166,59.58076251221974,0.055438524031672834,0.13378929906188086
Italy,3-4,7.865788971079753,2.988999809010306,19.860254170739914,0.13081389053923856,0.28369677313297004
Italy,5+,3.441790014177312,1.3078802053873786,5.696351971452533,0.18672713473319683,0.37664002371485233
Italy,TOTAL,27.003981400542116,10.261512932206005,154.72523598134586,0.062195982403306406,0.14859460569730856
Germany,solo,3.057010423629832,1.1616639609793362,72.41291260009508,0.01578893165650823,0.040506340819624564
Germany,pair,4.332038521152107,1.6461746380378006,61.99955127486017,0.025864653351438942,0.06530882999298383
Germany,3-4,3.7028038756216346,1.407065472736221,20.666517091620054,0.06374431828788436,0.1519453037119543
Germany,5+,1.6202155245238115,0.6156818993190484,5.927605677441411,0.09409366348282504,0.21466002985099286
Germany,TOTAL,12.712068344927385,4.830585971072407,161.00658664401672,0.02912848726795577,0.07317618447907286
