ym,market,flight,source,party_size_final,visitors_final,acc_plan_to_stay_in_hotel_final,acc_hotel_only_final,acc_plan_to_stay_in_condo_final,acc_condo_only_final,acc_plan_to_stay_in_timeshare_final,acc_timeshare_only_final,acc_cruise_ship_final,acc_friends_relatives_final,acc_bed_breakfast_final,acc_other_final,acc_rental_house_final,acc_hostel_final,acc_camp_site_beach_final,acc_private_room_in_private_home_final,acc_shared_room_space_in_private_home_final
2013-01,all,total,annual-2013-highlights.xls,2.0756763262017186,649607.9734883311,404636.1113901575,350347.08779250795,125373.46254938978,96847.19901849683,56526.65891993604,41641.07804518077,11598.775018669468,58576.12756907253,7880.863841819844,9972.232859544509,,,,,
2013-02,all,total,annual-2013-highlights.xls,2.0736464036110314,638908.4858619754,401160.7912460017,350931.5245441951,117505.12975580036,91950.48806800123,52344.06610257775,40026.86366646639,10026.64612129911,61270.41000036508,7602.962183139383,8526.03570891039,,,,,
2013-03,all,total,annual-2013-highlights.xls,2.240405519785389,734354.1275620528,449773.69267381623,397693.58593728644,144208.02394799277,116130.82906613179,68645.17619088551,53519.58873305381,6994.100327695275,63674.46626811031,8343.189444409192,8765.176252684703,,,,,
2013-04,all,total,annual-2013-highlights.xls,2.0863175084196133,630137.9615686166,393717.1265287147,346383.62119036843,117000.19172310486,92792.93552888719,57851.08155506978,45267.05892842475,10762.27643142717,55848.48617465285,6849.121629003085,7763.64823244964,,,,,
2013-05,all,total,annual-2013-highlights.xls,2.069499653899953,633425.7457728039,400157.32160131785,352529.3614338117,105748.9347796686,84149.29774985882,61424.45606966945,48100.74690869948,13174.104894343025,60161.97392576613,5933.560516315712,8460.82922344836,,,,,
2013-06,all,total,annual-2013-highlights.xls,2.393697788295044,711328.6587306544,442225.6458609763,382471.2076655426,132477.63750437193,101625.11410354936,76639.059941229,58984.56416964541,11123.696213897132,57829.44274888728,5731.917683958658,9656.794855358543,,,,,
2013-07,all,total,annual-2013-highlights.xls,2.453621360506582,752864.6815014952,472059.92260328657,406805.2872846186,141988.95052778453,105528.1915634668,74574.62339696227,55829.03486584957,10141.216416011255,67864.60075509346,6501.62217343356,9769.666439719484,,,,,
2013-08,all,total,annual-2013-highlights.xls,2.417007368706493,738696.6595254523,474129.5255968495,416327.3539723628,132017.3937656165,100660.78002571975,75352.94947150708,58106.71766187805,10360.261116325855,59088.68055037986,6360.127567065353,9057.373250331417,,,,,
2013-09,all,total,annual-2013-highlights.xls,2.067600048843644,585891.4762617743,389532.55778774456,346772.4604097501,94237.6500843051,73077.39407999425,60757.969040484335,48714.758253611086,9992.337478111813,41651.105226941494,6122.394784404416,7754.172913673598,,,,,
2013-10,all,total,annual-2013-highlights.xls,2.05470188705578,615612.6744669003,405680.7915187662,361338.997254896,104545.66368279804,81625.90834918429,58294.49987889068,46013.23067802824,10551.712333044246,46164.16717143848,5897.451912001929,6853.447395820408,,,,,
2013-11,all,total,annual-2013-highlights.xls,2.0722812433830984,609049.4739481502,383395.64486096264,338787.59351700783,108778.16491585999,86645.73808582156,60610.96420496106,47175.61865207653,9340.94298562226,53357.19164619339,6132.6125681179565,7243.05556432652,,,,,
2013-12,all,total,annual-2013-highlights.xls,2.2053915175181547,703595.6302793898,425524.1747471668,374359.4053279641,135292.72122500697,107723.08040940996,55670.67463103486,43100.33410649056,10049.57412859592,76439.07555240755,6549.878896970746,10430.433464581305,,,,,
