period,revenue,adj_ebitda,interest_income,interest_expense,tax_provision,other_income_expense,change_unearned_fees,other_wc_and_noncash_residual,cfo,capex,fcf,fcf_check_gap,adj_ebitda_margin_pct,fcf_margin_pct,ttm_revenue,ttm_adj_ebitda,ttm_fcf,ttm_adj_ebitda_margin_pct,ttm_fcf_margin_pct,ttm_fcf_to_adj_ebitda_pct,net_income,sbc,da,other_addbacks,unearned_fees_end,funds_payable_end,cash_taxes_paid_10k,source_letter
1Q21,886.9,-58.6,3.1,-421.9,-6.3,-300.1,538.3,740.0,494.4,-7.7,486.7,-0.0,-6.6,54.9,,,,,,,-1172.2,229.5,38.3,120.6,946.2,4014.9,,1Q21
2Q21,1335.2,217.4,2.9,-6.5,-11.2,-2.1,537.7,53.1,791.3,-7.7,783.6,-0.0,16.3,58.7,,,,,,,-68.2,232.8,35.5,0.3,1483.9,6301.7,,2Q21
3Q21,2237.4,1101.3,3.0,-6.6,-16.6,2.2,-591.5,31.5,523.2,-5.5,517.7,0.0,49.2,23.1,,,,,,,833.9,210.8,33.7,4.8,892.4,3940.5,,3Q21
4Q21,1532.4,333.4,3.8,-2.5,-17.7,-4.6,11.3,57.2,380.8,-4.5,376.4,-0.0,21.8,24.6,5991.9,1593.4,2164.4,26.6,36.1,135.8,54.5,225.7,30.8,1.3,903.7,3715.5,,4Q21
1Q22,1509.0,229.1,4.7,-5.8,-10.7,-1.9,844.0,142.6,1202.0,-6.0,1196.0,0.0,15.2,79.3,6614.0,1881.1,2873.7,28.4,43.4,152.8,-18.8,194.9,29.2,10.1,1747.7,6104.7,,1Q22
2Q22,2104.0,711.2,20.3,-7.5,-4.3,1.5,233.1,-154.6,799.7,-5.0,794.7,0.0,33.8,37.8,7382.8,2374.9,2884.8,32.2,39.1,121.5,378.8,247.1,26.0,69.3,1980.9,7465.5,,2Q22
3Q22,2884.0,1457.0,58.4,-5.6,-55.6,13.6,-760.6,258.4,965.6,-5.6,960.0,0.0,50.5,33.3,8029.4,2730.7,3327.1,34.0,41.4,121.8,1214.3,234.4,12.8,6.3,1220.3,4805.4,,3Q22
4Q22,1902.0,506.0,103.0,-5.0,-25.0,12.0,-38.3,-89.7,463.0,-8.0,455.0,0.0,26.6,23.9,8399.0,2903.3,3405.7,34.6,40.5,117.3,319.0,254.0,13.0,5.0,1182.0,4783.0,,4Q22
1Q23,1818.0,262.0,146.0,-4.0,-13.0,-7.0,990.0,213.0,1587.0,-6.0,1581.0,0.0,14.4,87.0,8708.0,2936.2,3790.7,33.7,43.5,129.1,117.0,240.0,11.0,16.0,2172.0,7760.0,,1Q23
2Q23,2484.0,819.0,191.0,-2.0,-26.0,-36.0,175.0,-212.0,909.0,-9.0,900.0,0.0,33.0,36.2,9088.0,3044.0,3896.0,33.5,42.9,128.0,650.0,304.0,9.0,-17.0,2347.0,9144.0,,2Q23
3Q23,3397.0,1834.0,192.0,-6.0,2695.0,-3.0,-880.0,-2507.0,1325.0,-15.0,1310.0,0.0,54.0,38.6,9601.0,3421.0,4246.0,35.6,44.2,124.1,4374.0,286.0,8.0,44.0,1467.0,5986.0,,3Q23
4Q23,2218.0,738.0,192.0,-71.0,34.0,-8.0,-40.0,-782.0,63.0,-17.0,46.0,0.0,33.3,2.1,9917.0,3653.0,3837.0,36.8,38.7,105.0,-349.0,290.0,16.0,928.0,1427.0,5869.0,,4Q23
1Q24,2142.0,424.0,202.0,-0.0,-29.0,-10.0,1007.0,329.0,1923.0,-14.0,1909.0,0.0,19.8,89.1,10241.0,3815.0,4165.0,37.3,40.7,109.2,264.0,295.0,14.0,14.0,2434.0,8737.0,,1Q24
2Q24,2748.0,894.0,226.0,-0.0,-126.0,-42.0,187.0,-88.0,1051.0,-8.0,1043.0,0.0,32.5,38.0,10505.0,3890.0,4308.0,37.0,41.0,110.7,555.0,382.0,14.0,1.0,2621.0,10342.0,,3Q24
3Q24,3732.0,1958.0,207.0,-0.0,-367.0,3.0,-964.0,241.0,1078.0,-4.0,1074.0,0.0,52.5,28.8,10840.0,4014.0,4072.0,37.0,37.6,101.4,1368.0,362.0,15.0,56.0,1657.0,6573.0,,3Q24
4Q24,2480.0,765.0,183.0,-0.0,-161.0,9.0,-41.0,-289.0,466.0,-8.0,458.0,0.0,30.8,18.5,11102.0,4041.0,4484.0,36.4,40.4,111.0,461.0,368.0,22.0,-55.0,1616.0,5931.0,,1Q25
1Q25,2272.0,417.0,173.0,-0.0,-19.0,-38.0,1107.0,149.0,1789.0,-8.0,1781.0,0.0,18.4,78.4,11232.0,4034.0,4356.0,35.9,38.8,108.0,154.0,358.0,25.0,-4.0,2723.0,9175.0,,1Q25
2Q25,3096.0,1043.0,190.0,-0.0,-137.0,-23.0,134.0,-232.0,975.0,-13.0,962.0,0.0,33.7,31.1,11580.0,4183.0,4275.0,36.1,36.9,102.2,642.0,424.0,21.0,-14.0,2857.0,11067.0,,2Q25
3Q25,4095.0,2051.0,180.0,-0.0,-418.0,-13.0,-1037.0,593.0,1356.0,-7.0,1349.0,0.0,50.1,32.9,11943.0,4276.0,4550.0,35.8,38.1,106.4,1374.0,399.0,22.0,5.0,1820.0,7209.0,,3Q25
4Q25,2778.0,786.0,162.0,-0.0,-52.0,-38.0,-77.0,-255.0,526.0,-5.0,521.0,0.0,28.3,18.8,12241.0,4297.0,4613.0,35.1,37.7,107.4,341.0,411.0,23.0,83.0,1743.0,6959.0,,4Q25
1Q26,2678.0,519.0,155.0,-21.0,-121.0,61.0,990.0,125.0,1708.0,-4.0,1704.0,0.0,19.4,63.6,12647.0,4399.0,4536.0,34.8,35.9,103.1,160.0,410.0,22.0,1.0,2733.0,10550.0,,2Q26
2Q26,3608.0,1261.0,183.0,-37.0,-81.0,-7.0,98.0,-147.0,1270.0,-17.0,1253.0,0.0,35.0,34.7,13159.0,4617.0,4827.0,35.1,36.7,104.5,816.0,487.0,17.0,-1.0,2831.0,12224.0,,2Q26
FY2021,5991.9,1593.4,12.7,-437.6,-51.8,-304.7,495.8,881.8,2189.7,-25.3,2164.4,-0.0,26.6,36.1,,,,,,,-352.0,898.8,138.3,126.9,903.7,3715.5,17,
FY2022,8399.0,2903.3,186.4,-23.9,-95.6,25.2,278.3,156.6,3430.3,-24.6,3405.7,0.0,34.6,40.5,,,,,,,1893.3,930.4,81.0,90.7,1182.0,4783.0,68,
FY2023,9917.0,3653.0,721.0,-83.0,2690.0,-54.0,245.0,-3288.0,3884.0,-47.0,3837.0,0.0,36.8,38.7,,,,,,,4792.0,1120.0,44.0,971.0,1427.0,5869.0,132,
FY2024,11102.0,4041.0,818.0,0.0,-683.0,-40.0,189.0,193.0,4518.0,-34.0,4484.0,0.0,36.4,40.4,,,,,,,2648.0,1407.0,65.0,16.0,1616.0,5931.0,350,
FY2025,12241.0,4297.0,705.0,0.0,-626.0,-112.0,127.0,255.0,4646.0,-33.0,4613.0,0.0,35.1,37.7,,,,,,,2511.0,1592.0,91.0,70.0,1743.0,6959.0,232,
