quarter,north_america_usd_m,emea_usd_m,latam_usd_m,apac_usd_m,total_usd_m,basis
2022Q4,964,556,189,193,1902,derived_FY2022_10K_minus_9M_10Q
2023Q1,925,458,235,200,1818,10-Q
2023Q2,1192,941,163,188,2484,10-Q
2023Q3,1478,1533,178,208,3397,10-Q
2023Q4,1043,683,248,244,2218,derived_FY2023_10K_minus_9M_10Q
2024Q1,1015,567,307,253,2142,10-Q
2024Q2,1308,1048,185,207,2748,10-Q
2024Q3,1572,1726,199,235,3732,10-Q
2024Q4,1111,794,278,297,2480,derived_FY2024_10K_minus_9M_10Q
2025Q1,1054,597,343,278,2272,10-Q
2025Q2,1377,1233,231,255,3096,10-Q
2025Q3,1619,1969,235,272,4095,10-Q
2025Q4,1146,930,351,351,2778,derived_FY2025_10K_minus_9M_10Q
2026Q1,1138,747,451,342,2678,10-Q
2026Q2,1594,1425,291,298,3608,10-Q
