source,q,hotel,bookings,party_size,share_1,share_3plus,share_kids,los
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2015Q3,City Hotel,3681,1.8361858190709046,0.2529204020646563,0.06818799239337137,0.040206465634338495,2.731866340668297
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2015Q3,Resort Hotel,3135,2.1381180223285488,0.07464114832535886,0.16427432216905902,0.09728867623604466,5.278149920255183
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2015Q4,City Hotel,3974,1.7564167086059386,0.31353799698037244,0.053095118268746855,0.032460996477101156,2.776799194765979
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2015Q4,Resort Hotel,3036,1.8122529644268774,0.28096179183135706,0.07312252964426877,0.04413702239789196,3.4782608695652173
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2016Q1,City Hotel,4295,1.8481955762514553,0.2817229336437718,0.10919674039580908,0.061466821885913854,2.783469150174622
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2016Q1,Resort Hotel,3287,1.827806510495893,0.28445390933982356,0.08457560085184058,0.05202312138728324,2.8996045025859445
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2016Q2,City Hotel,6458,1.914679467327346,0.21384329513781355,0.1099411582533292,0.0549705791266646,2.7703623412821305
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2016Q2,Resort Hotel,3661,1.9035782573067468,0.21742693253209505,0.08276427205681508,0.05490303195848129,4.276973504506965
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2016Q3,City Hotel,6505,2.1391237509607994,0.13282090699461951,0.22352036894696387,0.1180630284396618,3.0362797847809375
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2016Q3,Resort Hotel,3160,2.190506329113924,0.07879746835443038,0.1971518987341772,0.12310126582278481,5.204430379746835
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2016Q4,City Hotel,5405,1.8899167437557818,0.25050878815911193,0.11988899167437558,0.06475485661424607,2.928214616096207
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2016Q4,Resort Hotel,3528,1.8514739229024944,0.24801587301587302,0.07341269841269842,0.047619047619047616,3.495181405895692
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2017Q1,City Hotel,5054,1.86406806489909,0.27324891175306687,0.11574990106846063,0.060546102097348634,3.001582904629996
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2017Q1,Resort Hotel,3458,1.762001156737999,0.33516483516483514,0.06766917293233082,0.048582995951417005,3.474551764025448
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2017Q2,City Hotel,6478,1.9691262735412165,0.18786662550169805,0.13013275702377278,0.06344550787280025,2.987187403519605
"Antonio, de Almeida & Nunes 2019 hotel booking demand (Portugal, 2 hotels, completed stays)",2017Q2,Resort Hotel,3461,1.9373013579890206,0.18173938168159492,0.08725801791389771,0.06096503900606761,4.500144466917076
